,type,id,lat,lon,tags
0,node,262495882,36.3033738,59.6239586,{'amenity': 'taxi'}
1,node,264625292,36.2604619,59.6803664,"{'amenity': 'fuel', 'name': 'پمپ بنزین'}"
2,node,266219155,36.3202436,59.5218189,"{'amenity': 'school', 'name': 'هنرستان فنی'}"
3,node,266360127,36.3103916,59.5089446,{'amenity': 'parking'}
4,node,286499684,36.2880721,59.5581399,"{'amenity': 'fuel', 'name': 'پمپ بنزین میدان تلویزیون'}"
5,node,286961069,36.3292009,59.5830029,{'amenity': 'fountain'}
6,node,287263918,36.3611467,59.5320481,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام سجاد', 'name:en': 'Emam Sajjad Mosque', 'religion': 'muslim'}"
7,node,289323363,36.2852918,59.5988244,"{'amenity': 'bank', 'branch': 'ده دی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'website': 'http://www.bankmillat.ir'}"
8,node,314329179,36.2874143,59.6145559,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد گوهرشاد', 'name:en': 'Gowharshad Mosque', 'name:ru': 'Мечеть Гохаршад', 'religion': 'muslim', 'wikidata': 'Q2393680'}"
9,node,344462509,36.2906552,59.5854877,"{'addr:street': 'خیابان کوهسنگی', 'amenity': 'cinema', 'name': 'سینما آفریقا', 'name:en': 'Cinema Africa', 'wikidata': 'Q25433183'}"
10,node,344463542,36.301873,59.5932674,"{'amenity': 'bank', 'name': 'بانک مسکن', 'name:en': 'Maskan', 'operator': 'Maskan Bank'}"
11,node,344463563,36.3013282,59.5920795,"{'amenity': 'bank', 'bci': '8555', 'branch': 'تختی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
