,type,id,lat,lon,tags
0,node,1728737489,36.2885182,59.6107353,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد صدیقی\u200cها', 'religion': 'muslim'}"
1,node,2994094046,36.2829682,59.6117415,"{'amenity': 'bank', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
2,node,3002597654,36.28735,59.6038437,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'حسینیه تهرانی\u200cها', 'religion': 'muslim'}"
3,node,4078834690,36.2896185,59.6055846,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'religion': 'muslim'}"
4,node,4466264495,36.2905954,59.6068893,"{'amenity': 'bank', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Bank Tejarat'}"
5,node,4466270792,36.290249,59.6071262,"{'amenity': 'bank', 'branch': 'اندرزگو', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
6,node,5002063126,36.2829839,59.6115849,"{'addr:street': 'میدان بیت المقدس', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه صندلیه', 'name:en': 'sandaliyeh Pharmacy'}"
7,node,5059517422,36.2888127,59.6083251,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک شهر', 'brand:en': 'Shahr Bank', 'brand:wikidata': 'Q5941033', 'brand:wikipedia': 'fa:بانک شهر', 'drive_through': 'yes', 'name': 'بانک شهر', 'name:ar': 'بنك شهر', 'name:en': 'Shahr Bank'}"
8,node,5481980324,36.2850296,59.6110705,"{'addr:street': 'میدان بیت المقدس', 'amenity': 'car_rental', 'name:ar': 'باب الجواد مكان الباص 62 للذهاب الى المراكز الطبية وبيت جبار'}"
9,node,5564583616,36.2850931,59.6106201,"{'amenity': 'parking', 'capacity': '20'}"
10,node,5767448754,36.2820357,59.6108728,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'خراسان'}"
11,node,5992930185,36.2862596,59.6092059,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name:ar': 'صدلية ام ميساء الاهواز'}"
12,node,6016863787,36.2823018,59.6119056,"{'amenity': 'restaurant', 'name': 'رستوران بهشت', 'name:en': 'Bahasht Resturant', 'source:name': 'map.ir'}"
13,node,6016869285,36.2824385,59.6115245,"{'addr:street': 'امام رضا ۲', 'amenity': 'restaurant', 'name': 'رستوران کریم', 'name:en': 'Kareem Restaurant', 'source:name': 'map.ir'}"
14,node,6049701500,36.288122,59.6084856,"{'addr:city': 'مشهد', 'addr:housenumber': '344', 'addr:street': 'شهید اندرزگو', 'amenity': 'bureau_de_change', 'currency:CAD': 'yes', 'currency:EUR': 'yes', 'currency:GBP': 'yes', 'currency:INR': 'yes', 'currency:USD': 'yes', 'currency:others': 'yes', 'name': 'صرافی برکچیان', 'name:ar': 'صرافه سید هاشم و سید محمد برکچیان', 'name:en': 'Barakchian Exchange', 'phone': '+985132250169', 'wheelchair': 'yes'}"
15,node,6360741089,36.2909773,59.6058046,{'amenity': 'motorcycle_parking'}
16,node,6360741187,36.2885727,59.6085289,"{'amenity': 'pharmacy', 'name': 'داروخانه شبانه روزی دکتر فرهادی', 'name:en': 'Dr Farhadi drugstore', 'opening_hours': '24/7'}"
17,node,6360753185,36.28692,59.6094077,{'amenity': 'pharmacy'}
18,node,6362264485,36.2882482,59.6030525,{'amenity': 'fast_food'}
19,node,6422132185,36.2838792,59.6121151,"{'amenity': 'fountain', 'name': 'ميدان بيت المقدس (فلكة آب)', 'name:ar': 'نافورة باب الامام الرضا (ع) فلكة آب ميدان بيت المقدس'}"
20,node,6425756785,36.2858876,59.6105828,"{'amenity': 'car_rental', 'name': 'قرب فلكة آب', 'name:ar': 'مكان الباص رقم 76 يذهب الى احمد اباد مشهد'}"
21,node,6710227585,36.2827608,59.6116678,"{'amenity': 'restaurant', 'name:ar': 'مطعم عراقي'}"
22,node,7326461462,36.2890172,59.6081337,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'Sepah Bank', 'name': 'بانک سپه'}"
23,node,7326461465,36.2906971,59.6068221,"{'amenity': 'pharmacy', 'dispensing': 'yes'}"
24,node,7326461469,36.2864293,59.6098544,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'باب الجواد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'phone': '+98 51 3222 0271'}"
25,node,7326461474,36.2842586,59.6116166,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک قرض الحسنه مهر ایران', 'name:en': 'Mehr Iran Bank'}"
26,node,8117453225,36.2880231,59.6074258,"{'amenity': 'school', 'name': 'دبیرستان پسرانه آیت الله طالقانی دوره دوم.'}"
27,node,9537240428,36.2861069,59.6104059,"{'amenity': 'place_of_worship', 'description': 'باب الجواد', 'name': 'باب الجواد'}"
28,node,9975980219,36.2898219,59.605751,"{'amenity': 'restaurant', 'name': 'رستوران رضايي', 'name:ar': 'مطعم رضايي', 'name:en': 'resturant redaiy'}"
29,node,10250921509,36.2900376,59.6056971,"{'amenity': 'bar', 'name:ar': 'راس فرع رسول'}"
