,type,id,lat,lon,tags
0,node,2614629930,36.3014005,59.6059662,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': '۱۲ امامی\u200cها', 'name:ar': '12 الأئمة', 'name:en': '12 emamiha', 'religion': 'muslim'}"
1,node,3002597657,36.3009896,59.6192149,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
2,node,3179634067,36.3050137,59.6117699,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'حسینیه حضرت رضا', 'religion': 'muslim'}"
3,node,3294177314,36.3030517,59.608635,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
4,node,3316899443,36.3026243,59.6098202,"{'amenity': 'bank', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
5,node,3316899444,36.3030286,59.6098742,"{'amenity': 'bank', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
6,node,3316899445,36.3003344,59.6073202,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
7,node,3734592784,36.3001499,59.6112248,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه امام رضا۱', 'religion': 'muslim'}"
8,node,3914908607,36.3042558,59.6102106,"{'alt_name': 'مسجد حاجی سرکه', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام حسین', 'religion': 'muslim'}"
9,node,3962094781,36.299787,59.6116915,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد الهادی علیه\u200cالسلام', 'religion': 'muslim'}"
