,type,id,lat,lon,tags
0,node,286499684,36.2880721,59.5581399,"{'amenity': 'fuel', 'name': 'پمپ بنزین میدان تلویزیون'}"
1,node,344462509,36.2906552,59.5854877,"{'addr:street': 'خیابان کوهسنگی', 'amenity': 'cinema', 'name': 'سینما آفریقا', 'name:en': 'Cinema Africa', 'wikidata': 'Q25433183'}"
2,node,425564678,36.2851088,59.579301,{'amenity': 'telephone'}
3,node,475074072,36.2957716,59.5732712,"{'amenity': 'cafe', 'name': 'خانه چای', 'name:en': 'T House'}"
4,node,648952222,36.2973592,59.5690862,"{'addr:city': 'مشهد', 'amenity': 'bank', 'atm': 'yes', 'bic': '9301', 'branch': 'مشهد', 'brand': 'بانک سامان', 'brand:en': 'Saman Bank', 'brand:wikidata': 'Q4117676', 'brand:wikipedia': 'en:Saman Bank', 'fax': '+98 51 38443914', 'name': 'بانک سامان', 'name:en': 'Saman Bank', 'operator': 'Saman Bank', 'phone': '+98 51 38461940-3'}"
5,node,648952233,36.2964511,59.5729796,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک اقتصاد نوین', 'brand:en': 'EN Bank', 'brand:wikidata': 'Q5323768', 'brand:wikipedia': 'en:EN Bank', 'fax': '+98-511-8454361', 'name': 'بانک اقتصاد نوین', 'name:en': 'EN Bank', 'operator': 'Eghtesad Novin', 'phone': '+98-511-8454362-7'}"
6,node,648952241,36.2946509,59.5769797,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
7,node,648952243,36.2945246,59.5772925,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'operator': 'Mellat Bank'}"
8,node,648952246,36.2947682,59.5767753,"{'amenity': 'bank', 'atm': 'yes', 'bic': '8546', 'branch': 'احمدآباد', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
9,node,648952248,36.2949226,59.5764912,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک پارسیان', 'brand:en': 'Parsian Bank', 'brand:wikidata': 'Q2410404', 'brand:wikipedia': 'en:Parsian Bank', 'name': 'بانک پارسیان', 'name:en': 'Parsian Bank', 'operator': 'Parsian Bank'}"
10,node,648952249,36.2950956,59.5772533,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
11,node,648952250,36.295305,59.5768211,"{'addr:city': 'مشهد', 'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک سرمایه', 'brand:en': 'Sarmayeh Bank', 'brand:wikidata': 'Q7424291', 'brand:wikipedia': 'en:Sarmayeh Bank', 'name': 'بانک سرمایه', 'name:en': 'Sarmayeh Bank', 'operator': 'Sarmayeh Bank'}"
12,node,648952252,36.2888383,59.5789291,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالنبی', 'religion': 'muslim'}"
13,node,648952253,36.2932991,59.582205,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'قائم', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
14,node,648952254,36.2929901,59.5831477,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک گردشگری'}"
15,node,658405603,36.2834987,59.5754699,"{'amenity': 'bank', 'atm': 'no', 'name': 'ملت', 'operator': 'Mellat Bank'}"
16,node,663006125,36.293102,59.568005,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ثامن', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
17,node,663800791,36.2900433,59.5855237,"{'amenity': 'parking', 'fee': 'yes', 'name': 'پارکینگ زیست خاور', 'parking': 'multi-storey'}"
18,node,663800795,36.2920145,59.5854989,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1805', 'branch': 'تقی آباد', 'brand': 'بانک اقتصاد نوین', 'brand:en': 'EN Bank', 'brand:wikidata': 'Q5323768', 'brand:wikipedia': 'en:EN Bank', 'fax': '+98-511-8642052', 'name': 'بانک اقتصاد نوین', 'name:en': 'EN Bank', 'operator': 'Eghtesad Novin Bank', 'phone': '+98-511-8661422-5'}"
19,node,663800796,36.2924955,59.5847264,"{'amenity': 'bank', 'atm': 'yes', 'bic': '663', 'branch': 'میدان شریعتی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
20,node,667297578,36.2940423,59.5769596,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر جهانشاهی', 'name:en': 'Dr. Jahanshahi drugstore'}"
21,node,667297579,36.2945498,59.5764362,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر نصیری', 'name:en': 'Dr. Nasiri drugstore'}"
22,node,667327775,36.2938238,59.5791742,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک پاسارگاد', 'brand:en': 'Bank Pasargad', 'brand:wikidata': 'Q4855962', 'brand:wikipedia': 'en:Bank Pasargad', 'name': 'بانک پاسارگاد', 'name:en': 'Bank Pasargad', 'operator': 'Pasargad Bank'}"
23,node,677097431,36.2971283,59.5693317,"{'addr:city': 'مشهد', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر کمالی', 'name:en': 'Dr. Kamali Drugstore'}"
24,node,687715517,36.2869829,59.5743891,"{'amenity': 'bank', 'atm': 'yes', 'bic': '136', 'branch': 'کوهسنگی', 'brand': 'بانک سینا', 'brand:en': 'Sina Bank', 'brand:wikidata': 'Q10860246', 'brand:wikipedia': 'en:Sina Bank', 'name': 'بانک سینا', 'name:en': 'Sina Bank', 'operator': 'Sina Bank'}"
25,node,687715533,36.2893572,59.5803413,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'الندشت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
26,node,1088223893,36.2943961,59.5712476,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد توفیق', 'name:en': 'Towfigh Mosque', 'religion': 'muslim'}"
