,type,id,lat,lon,tags
0,node,658405611,36.3134078,59.5627071,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1801', 'fax': '+98-511-7640050', 'name': 'اقتصاد نوین', 'name:en': 'Eghtesad Novin-Sajad branch', 'operator': 'Eghtesad Novin', 'phone': '+98-511-7681011-12'}"
1,node,658439769,36.3144545,59.5614859,"{'access': 'yes', 'amenity': 'parking', 'capacity': '24', 'capacity:disabled': '24', 'email': 'info@optimpark.com', 'fee': 'yes', 'name': 'پارکینگ مکانیزه پیام', 'name:en': 'Payam mechanized parking', 'name:fa': 'پارکینگ مکانیزه پیام', 'operator': 'Mashhad Municipality', 'operator:type': 'government', 'park_ride': 'yes', 'parking': 'multi-storey', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'phone': '+982128111113', 'surface': 'steel', 'website': 'https://optimpark.com/'}"
2,node,667296553,36.3139027,59.5612836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'بولوار سجاد', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
3,node,667296554,36.314261,59.5615282,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'هدایت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
4,node,670076280,36.311378,59.5619812,"{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'رستوران ایران ایتالیا', 'name:en': 'Iran-Italia Restaurant'}"
5,node,670899452,36.3144902,59.5637083,"{'amenity': 'library', 'name': 'کتابخانه هجرت', 'name:en': 'Hejrat Library', 'phone': '+98 511 7630094'}"
6,node,701969192,36.3189039,59.5654504,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'بولوار ارشاد', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran'}"
7,node,722560971,36.3196948,59.5627955,"{'access': 'destination', 'amenity': 'parking', 'parking': 'surface'}"
8,node,841764754,36.3113376,59.5622302,"{'amenity': 'fast_food', 'name': 'پیتزا و ساندویچ ۲ در ۱', 'name:en': 'pizza & sandwich 2x1'}"
9,node,841764760,36.3114154,59.5617689,"{'amenity': 'cafe', 'name': 'AX'}"
10,node,841772837,36.3142683,59.5605994,"{'amenity': 'cafe', 'name': 'فانوس طلایی'}"
11,node,1081996502,36.3141837,59.5758046,"{'amenity': 'library', 'name': 'کتابخانه شهید ربانی', 'name:en': 'Shahid Rabani Library', 'phone': '+98 511 726017'}"
12,node,3374407976,36.3096789,59.575687,"{'amenity': 'school', 'name': 'دبیرستان و مرکز پیش\u200cدانشگاهی پسرانه ۱ سما', 'name:en': 'SAMA1 Highschool'}"
13,node,3730227093,36.3134541,59.5628646,"{'addr:city': 'مشهد', 'addr:housenumber': 'واحد 11', 'addr:street': 'نبش بیستون مجتمع تک طبقه منهای یک', 'amenity': 'internet_cafe', 'description': 'نمایندگی رسمی صبانت در خراسان رضوي', 'internet_access': 'service', 'name': 'تکنیک رایانه (صبانت مشهد)', 'name:en': 'Sabanet Technic Rayaneh', 'opening_hours': 'Sa-Th 09:00-13:00', 'phone': '+98 51 3761 5917;+98 51 3761 2317', 'website': 'http://www.ctechnic.com'}"
14,node,3947423591,36.3152759,59.5643484,{'amenity': 'parking'}
15,node,4080480400,36.3147935,59.5757699,"{'amenity': 'bank', 'name': 'بانک مهر اقتصاد'}"
16,node,4080480401,36.3143674,59.5758356,"{'amenity': 'clinic', 'healthcare': 'centre', 'name': 'درمانگاه المنتظر'}"
17,node,4224193290,36.3100119,59.5745848,"{'amenity': 'clinic', 'name': 'درمانگاه شرکت نفت', 'name:en': 'NIOC Clinic'}"
18,node,4240967603,36.3171591,59.5637827,"{'addr:street': 'بولوار خیام', 'amenity': 'bank', 'name': 'پست بانک خراسان رضوی'}"
19,node,4408345389,36.3113688,59.5616485,"{'addr:street': 'خیابان فرهاد', 'amenity': 'fast_food', 'name': 'خانه پیتزا', 'name:en': 'pizza house'}"
20,node,4417954286,36.3143215,59.5608329,"{'amenity': 'bank', 'brand': 'بانک سرمایه', 'brand:en': 'Sarmayeh Bank', 'brand:wikidata': 'Q7424291', 'brand:wikipedia': 'en:Sarmayeh Bank', 'name': 'بانک سرمایه', 'name:en': 'Sarmayeh Bank'}"
21,node,4434767890,36.318003,59.5769134,{'amenity': 'atm'}
22,node,4873436921,36.3175556,59.5632651,"{'amenity': 'bank', 'name': 'پست بانک میدیریت شعب خراسان رضوی', 'name:en': 'Post bank Sarparasti khorasan'}"
23,node,4873438221,36.3176111,59.5633124,"{'amenity': 'bank', 'name': 'بانک رفاه کارگران'}"
24,node,4946696622,36.3204285,59.5720661,"{'addr:street': 'بلوار ارشاد، ارشاد ۱.۱۶', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه غدیر باباعلی ۳', 'name:en': 'Ghadir baba ali 3', 'religion': 'muslim'}"
25,node,4948814522,36.3117958,59.5617652,"{'addr:street': 'خیابان فرهاد', 'amenity': 'restaurant', 'name': 'کافه غذا', 'name:en': 'Cafe Ghaza', 'phone': '+98 51 3764 3693'}"
26,node,5018300527,36.3218756,59.5689369,"{'addr:street': 'خیام ۳۵', 'amenity': 'townhall', 'name': 'شهرداری منطقه یک مشهد', 'office': 'government', 'phone': '+98 51 3761 0928'}"
27,node,5018312322,36.3217241,59.5690677,"{'amenity': 'bank', 'name': 'بانک شهر', 'name:en': 'Shahr Bank'}"
28,node,5254203429,36.310521,59.5668358,"{'addr:street': 'خیابان دستغیب ۱۹', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر قشمشم', 'name:en': 'Dr. Ghashamsham Pharmacy', 'opening_hours': '24/7'}"
29,node,5254253621,36.3126863,59.5637459,"{'addr:street': 'بولوار شهید آیت الله دستغیب', 'amenity': 'bank', 'name': 'بانک ملت', 'name:en': 'Mellat'}"
30,node,5259148824,36.3176675,59.5649755,"{'amenity': 'atm', 'opening_hours': '24/7'}"
31,node,5268385782,36.3098885,59.5625183,"{'amenity': 'fire_station', 'name': 'آتش\u200cنشانی'}"
32,node,5841796786,36.3137451,59.5632889,"{'addr:city': 'مشهد', 'addr:street': 'بیستون', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک ایرانا', 'name:ar': 'مستشفی ایرانا', 'name:en': 'Irana Clinic', 'name:fa': 'ساختمان ایرانا', 'opening_hours': 'Sa-Th 08:00-18:00', 'opening_hours:covid19': 'open'}"
33,node,6066352085,36.3112131,59.5623845,"{'amenity': 'cafe', 'cuisine': 'cake;coffee_shop', 'internet_access': 'wlan', 'name': 'کافه تکسین', 'name:en': 'Taksin caffe', 'name:fr': 'Taksin café', 'opening_hours': 'Mo-Su 08:30-00:00', 'source:name': 'map.ir'}"
34,node,7065776885,36.3198074,59.5607679,"{'amenity': 'atm', 'operator': 'Bank Refah Gargaran'}"
35,node,7426831439,36.3146378,59.5608357,{'amenity': 'bicycle_rental'}
36,node,7426831442,36.3112867,59.5744291,"{'amenity': 'bicycle_rental', 'bicycle_rental': 'docking_station'}"
37,node,7426831443,36.3158794,59.5756629,{'amenity': 'bicycle_rental'}
38,node,8114346283,36.3238805,59.5640993,{'amenity': 'fountain'}
39,node,8786478946,36.3172885,59.5640972,{'amenity': 'clinic'}
40,node,8866831884,36.3114513,59.5625345,"{'amenity': 'car_wash', 'name': 'كارواش سينا', 'name:en': 'Sina Car Wash', 'phone': '+98 903 095 4340; +98 933 130 4235'}"
41,node,9388587787,36.3170663,59.5740095,"{'addr:city': 'شهر مشهد', 'addr:street': 'خیابان ارشاد - ارشاد ۱/۴', 'amenity': 'cafe', 'cuisine': 'coffee_shop;قهوه;کیک;باقلوا', 'internet_access': 'no', 'name': 'کافی شاپ اوهانا', 'opening_hours': 'sa-fr 10:00-22:00', 'opening_hours:covid19': 'open', 'outdoor_seating': 'yes', 'phone': '+98 933 352 3083', 'website': 'https://www.instagram.com/coffe_ohana'}"
42,node,9891214660,36.3173577,59.5641589,"{'amenity': 'bank', 'name': 'بانک توسعه صادرات ایران'}"
43,node,9928888735,36.3218405,59.5683247,"{'amenity': 'parking', 'capacity': '12', 'email': 'info@optimpark.com', 'name': 'پارکینگ مکانیزه خیام', 'name:en': 'Khayyam Mechanized Parking', 'name:fa': 'پارکینگ مکانیزه خیام', 'parking': 'multi-storey', 'phone': '+982128111113', 'website': 'https://optimpark.com'}"
44,node,10077518130,36.3119085,59.560367,"{'addr:street': 'فرهادد ۲۲', 'amenity': 'cafe', 'cuisine': 'coffee_shop', 'internet_access': 'no', 'name': 'کافی شاپ پینات', 'outdoor_seating': 'yes', 'phone': '+9891540373'}"
45,node,10182550732,36.3112218,59.571999,"{'amenity': 'cafe', 'name': 'کافه آزادی'}"
