,type,id,lat,lon,tags
0,node,2010637214,36.3337883,59.5886876,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
1,node,2559090259,36.3335996,59.5832278,"{'amenity': 'fuel', 'brand': 'Independent', 'name': 'جایگاه اختصاصی ۱۶۵'}"
2,node,4409041889,36.3452907,59.5765475,"{'amenity': 'atm', 'name': 'عابر بانک', 'name:en': 'ATM', 'opening_hours': '24/7'}"
3,node,4423580294,36.3418794,59.5751432,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'بانک مسکن'}"
4,node,4423606089,36.3431751,59.5739453,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'بانک ملت'}"
5,node,5018148402,36.3364335,59.5817025,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد محسن ابن علی (علیه\u200cالسلام)', 'religion': 'muslim'}"
6,node,5104410022,36.3419385,59.5890778,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر شعبانی', 'name:en': 'Pharmacy'}"
7,node,5104410024,36.341472,59.588545,"{'amenity': 'atm', 'operator': 'بانک انصار'}"
8,node,5323257595,36.3373702,59.589715,"{'amenity': 'restaurant', 'name': 'رستوران خسروی'}"
9,node,5350314548,36.3396909,59.5868161,"{'amenity': 'restaurant', 'name': 'پیتزا گپ'}"
10,node,5350343376,36.3403316,59.5875492,"{'amenity': 'events_venue', 'building': 'yes', 'name': 'تالار عروسی مروارید'}"
11,node,5350357908,36.3390065,59.5851548,"{'amenity': 'fast_food', 'name': 'پیتزا بلوط'}"
12,node,5350357909,36.3389488,59.5850896,"{'amenity': 'fast_food', 'name': 'پیتزا ژابیز'}"
13,node,5350357910,36.3396965,59.5859689,"{'amenity': 'restaurant', 'name': 'کباب و حلیم ملک'}"
14,node,5350371946,36.3387874,59.584505,"{'amenity': 'restaurant', 'name': 'حلیم نیشابوری اصیل'}"
15,node,5350536173,36.3379361,59.5866098,"{'amenity': 'restaurant', 'name': 'کباب مخصوص عبداالهی'}"
16,node,5350574182,36.3376532,59.5864794,"{'amenity': 'atm', 'operator': 'خود پرداز بانک رفاه کارگران'}"
17,node,5350586087,36.3376946,59.5883676,"{'amenity': 'fast_food', 'name': 'ساندویچ سن استین'}"
18,node,5350586091,36.3376838,59.5881905,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر اکملی'}"
19,node,5350594151,36.337682,59.5876954,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک زنان و زایمان'}"
20,node,5350594936,36.3376737,59.5879012,"{'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'palliative', 'name': 'مرکز درمان اعتیاد پردیسان'}"
21,node,5350594937,36.3376746,59.5878529,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی گوهر سلامت'}"
22,node,5350603447,36.3373706,59.5882778,{'amenity': 'car_wash'}
23,node,5350604568,36.3373616,59.5879128,"{'amenity': 'fast_food', 'name': 'پیتزا یک ، دو ، سه'}"
24,node,5350606870,36.3373641,59.5878848,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک درمان اعتیاد مهر افروزان'}"
25,node,5350606874,36.3373854,59.5876649,"{'amenity': 'atm', 'name': 'خود پرداز', 'operator': 'خود پرداز بانک وسسه ملل'}"
26,node,8827817091,36.3383672,59.5844419,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک ملی شعبه خیام شمالی'}"
27,node,9921955285,36.339882,59.5869186,"{'addr:city': 'شهر مشهد', 'addr:country': 'IR', 'addr:street': 'بولوار خیام بعد از خیام 61', 'amenity': 'restaurant', 'cuisine': 'persian;arabic;arab;iranian', 'diet:halal': 'yes', 'name': 'پسران کریم', 'name:en': 'pesaranekarim', 'opening_hours': 'Mo-Su 12:00-16:00', 'phone': '+98 51 3753 0013', 'website': 'https://www.pesaranekarim.rest/', 'wikidata': 'Q112756217'}"
