,type,id,lat,lon,tags
0,node,648517322,36.2747633,59.5911352,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۴', 'name:en': 'FireStation No. 4'}"
1,node,655159563,36.2739861,59.5922638,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان امام خمینی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
2,node,655159564,36.2737476,59.5926576,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان امام خمینی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
3,node,1183434611,36.2715102,59.595575,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'دهم مهتاب', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
4,node,1183434798,36.2726115,59.5944944,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'امام خمینی', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
5,node,1183434820,36.2696131,59.5974716,"{'amenity': 'bank', 'atm': 'yes', 'branch': '۱۵ خرداد', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
6,node,1219647700,36.2718283,59.5952624,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه روشن', 'name:en': 'Roshan'}"
7,node,1219647704,36.2725806,59.5902484,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'عدل خمینی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
8,node,2900604804,36.2652845,59.587058,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه سیستانی\u200cها', 'religion': 'muslim'}"
9,node,2989282187,36.2731689,59.5932341,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک توسعه تعاون', 'brand:wikidata': 'Q5684450', 'brand:wikipedia': 'fa:بانک توسعه تعاون', 'name': 'بانک توسعه تعاون', 'name:en': 'Tose-e-Taavon'}"
10,node,2990257267,36.2714151,59.5900606,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه اطمینان'}"
11,node,2990257268,36.2725153,59.5927371,"{'amenity': 'place_of_worship', 'contact:email': 'masjed79@gmail.com', 'contact:phone': '+98 51 3852 2769', 'denomination': 'shia', 'name': 'مسجد ابا عبدالله', 'religion': 'muslim', 'website': 'http://masjed-a.blogfa.com/'}"
12,node,2990257269,36.2697652,59.5885482,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر هدایتفر', 'name:en': 'Hedayat far'}"
13,node,2990420185,36.2710776,59.5898954,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابوالفضل', 'religion': 'muslim'}"
14,node,2990420186,36.2691595,59.5971961,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک مهر اقتصاد', 'brand:wikidata': 'Q5942921', 'brand:wikipedia': 'fa:بانک مهر اقتصاد', 'name': 'بانک مهر اقتصاد', 'name:en': 'Mehr Eqtesad Bank'}"
