,type,id,lat,lon,tags
0,node,651567794,36.28148,59.5997421,"{'amenity': 'hospital', 'name': 'بیمارستان سینا', 'name:en': 'Sina Hospital', 'wikidata': 'Q574872'}"
1,node,2449458793,36.2821951,59.6008362,"{'amenity': 'college', 'name': 'مکتب نرجس'}"
2,node,2991275316,36.2789836,59.6083166,"{'amenity': 'bank', 'brand': 'بانک سینا', 'brand:en': 'Sina Bank', 'brand:wikidata': 'Q10860246', 'brand:wikipedia': 'en:Sina Bank', 'name': 'بانک سینا', 'name:en': 'Sina Bank'}"
3,node,2991275319,36.2801617,59.6086928,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک اقتصاد نوین', 'brand:en': 'EN Bank', 'brand:wikidata': 'Q5323768', 'brand:wikipedia': 'en:EN Bank', 'name': 'بانک اقتصاد نوین', 'name:en': 'EN Bank'}"
4,node,2994094048,36.2817094,59.6099774,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد جفایی', 'religion': 'muslim'}"
5,node,2994117415,36.2812843,59.6096105,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه غفاریان'}"
6,node,2994117416,36.2813632,59.6097203,"{'amenity': 'bank', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
7,node,2994117417,36.2814911,59.6098513,"{'amenity': 'bank', 'brand': 'بانک ایران زمین', 'brand:wikidata': 'Q5934423', 'brand:wikipedia': 'en:Iran Zamin Bank', 'name': 'بانک ایران زمین'}"
8,node,3745190491,36.2803094,59.6051916,"{'amenity': 'clinic', 'name': 'مرکز روانشناختی و مشاوره خانواده ناحیه ۲ مشهد', 'phone': '+98 51 3859 9699'}"
9,node,3750584436,36.2792577,59.6077315,"{'amenity': 'restaurant', 'name': 'أبو الباچه'}"
10,node,3750584437,36.2789301,59.6074968,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
11,node,3889999770,36.2802661,59.6007095,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه و مجتمع فرهنگی مذهبی حضرت زینب (س)', 'religion': 'muslim'}"
12,node,4435938977,36.2792802,59.6064166,"{'addr:street': 'خیابان دانش', 'amenity': 'marketplace', 'name': 'سرای بلور', 'name:en': 'سوق سرای بلور'}"
13,node,4465973770,36.2806215,59.608398,"{'amenity': 'toilets', 'level': '0'}"
14,node,4681501989,36.2799447,59.609244,"{'addr:street': 'امام رضا ۱۰', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک داندانپزشکى امام رضا ع', 'name:ar': 'مركز الإمام الرضا ع لطب الأسنان', 'name:en': 'Imam Reza Dentistry', 'opening_hours': 'Sa-Th 07:00-11:00', 'phone': '+989396306771'}"
15,node,4736213225,36.2832714,59.6025476,"{'amenity': 'library', 'name': 'قلم'}"
16,node,5002073722,36.2855829,59.6017202,"{'addr:housenumber': '4', 'addr:street': 'برادران شهید طوسی', 'amenity': 'police', 'name': 'فرماندهی پلیس دیپلماتیک', 'name:en': 'diplomatic police', 'opening_hours': '24/7'}"
17,node,5008628022,36.2799019,59.6084492,{'amenity': 'ice_cream'}
18,node,5074988121,36.2810231,59.6100645,"{'addr:street': 'امام رضا ۱۰', 'amenity': 'bank', 'branch': 'خیابان امام رضا (ع)', 'brand': 'بانک پارسیان', 'brand:en': 'Parsian Bank', 'brand:wikidata': 'Q2410404', 'brand:wikipedia': 'en:Parsian Bank', 'name': 'بانک پارسیان', 'name:en': 'Parsian Bank'}"
19,node,9537240428,36.2861069,59.6104059,"{'amenity': 'place_of_worship', 'description': 'باب الجواد', 'name': 'باب الجواد'}"
20,node,9928930462,36.2810262,59.6078222,"{'access': 'yes', 'amenity': 'parking', 'capacity': '200', 'email': 'info@optimpark.com', 'name': 'پارکینگ مکانیزه امام رضا (ع)', 'name:en': 'Imam Reza Mechanized Parking', 'name:fa': 'پارکینگ مکانیزه امام رضا (ع)', 'parking': 'multi-storey', 'phone': '+982128111113', 'website': 'https://optimpark.com/'}"
