,type,id,lat,lon,tags
0,node,648952222,36.2973592,59.5690862,"{'addr:city': 'مشهد', 'amenity': 'bank', 'atm': 'yes', 'bic': '9301', 'branch': 'مشهد', 'brand': 'بانک سامان', 'brand:en': 'Saman Bank', 'brand:wikidata': 'Q4117676', 'brand:wikipedia': 'en:Saman Bank', 'fax': '+98 51 38443914', 'name': 'بانک سامان', 'name:en': 'Saman Bank', 'operator': 'Saman Bank', 'phone': '+98 51 38461940-3'}"
1,node,649201566,36.3062437,59.5724595,"{'amenity': 'university', 'name': 'دانشگاه آزاد علوم پایه', 'name:en': 'Azad University'}"
2,node,677097431,36.2971283,59.5693317,"{'addr:city': 'مشهد', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر کمالی', 'name:en': 'Dr. Kamali Drugstore'}"
3,node,679718762,36.3046817,59.5653599,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد المهدی', 'religion': 'muslim'}"
4,node,841752280,36.3059599,59.5659102,"{'amenity': 'fast_food', 'cuisine': 'chicken', 'name': 'مرغ بریان افشین', 'name:en': 'Afshin Grilled Chicken'}"
5,node,1088548438,36.2978348,59.5698157,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank', 'operator': 'Refah'}"
6,node,1088548480,36.2981662,59.5704822,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'راهنمایی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'operator': 'Mellat Bank'}"
7,node,1750032578,36.3045324,59.5748304,"{'amenity': 'clinic', 'name': 'درمانگاه الغدیر', 'name:en': 'Al-Qadir clinic', 'opening_hours': '24/7', 'phone': '+98 511 8418118'}"
8,node,2318590042,36.3024564,59.5770653,"{'amenity': 'pharmacy', 'dispensing': 'no', 'name': 'داروخانه دکتر امیرى', 'name:en': 'Dr. Amiri Pharmacy'}"
9,node,2989283897,36.2980141,59.5714057,"{'amenity': 'college', 'name': 'مجتمع تعلیم و تربیت عباس زادگان'}"
10,node,3074635618,36.3002639,59.5696374,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر کیانی فر'}"
11,node,3074635619,36.3005326,59.5699871,"{'amenity': 'bank', 'name': 'بانک گردشگری', 'name:en': 'Gardeshgari Bank'}"
12,node,3074635620,36.3008582,59.5698886,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
13,node,3074637797,36.298195,59.570388,"{'amenity': 'bank', 'branch': 'احمد آباد کد ۲۰۳۹', 'brand': 'بانک انصار', 'brand:wikidata': 'Q5862675', 'brand:wikipedia': 'fa:بانک انصار', 'name': 'بانک انصار'}"
14,node,3074640950,36.2998287,59.5693028,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه ولیعصر', 'name:en': 'Vali Asr Mosque', 'religion': 'muslim'}"
15,node,3203898576,36.3065467,59.5684206,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'فلسطین', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank', 'operator': 'Refah'}"
16,node,3956315395,36.3003313,59.5738135,"{'amenity': 'dentist', 'name': 'دندانپزشکی دکتر صادقی'}"
17,node,4367651607,36.298915,59.5680759,"{'amenity': 'bank', 'branch': 'احمدآباد', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan', 'opening_hours': 'Sa-Th 08:00-13:30'}"
18,node,4417954259,36.3052989,59.5657128,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
19,node,4417954261,36.3069955,59.5672129,"{'amenity': 'bank', 'brand': 'بانک سپه', 'name': 'بانک سپه'}"
