,type,id,lat,lon,tags
0,node,659720454,36.3294271,59.5268836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
1,node,667327776,36.3299546,59.5306638,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1004', 'branch': 'آزادشهر', 'brand': 'بانک پاسارگاد', 'brand:en': 'Bank Pasargad', 'brand:wikidata': 'Q4855962', 'brand:wikipedia': 'en:Bank Pasargad', 'fax': '+98-511-6066005', 'name': 'بانک پاسارگاد', 'name:en': 'Bank Pasargad', 'phone': '+98-511-6066001-3'}"
2,node,1750032581,36.3315406,59.5176589,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه چمران', 'name:en': 'Chamran clinic', 'opening_hours': '24/7', 'phone': '+98 511 6065157'}"
3,node,2478638935,36.3298722,59.52302,"{'amenity': 'cafe', 'name': 'سنت سرای شن های سفید', 'name:en': 'White sands Cafe'}"
4,node,4214819289,36.3306801,59.5293948,"{'amenity': 'cafe', 'name': 'کافی شاپ', 'name:en': 'Coffee shop'}"
5,node,4235441394,36.3315619,59.5178787,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه\u200cروزی دکتر بنی اسد', 'name:en': 'Pharmacy', 'opening_hours': '24/7'}"
6,node,4235478789,36.3317857,59.5171923,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر مولوی', 'name:en': 'Dr.Molavi Pharmacy'}"
7,node,4364633390,36.3385769,59.5311566,"{'addr:housenumber': '120', 'addr:postcode': '9187157954', 'addr:street': 'بولوار جلال آل احمد', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر پیشاهنگ', 'name:en': 'Dr. Pishahang drugstore'}"
8,node,4540097839,36.3329489,59.5150512,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد غدیر باباعلی', 'religion': 'muslim'}"
9,node,4540097840,36.3308238,59.5194799,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
10,node,4584886690,36.3287316,59.5268023,"{'amenity': 'bank', 'brand': 'بانک مهر اقتصاد', 'brand:wikidata': 'Q5942921', 'brand:wikipedia': 'fa:بانک مهر اقتصاد', 'name': 'بانک مهر اقتصاد', 'name:en': 'Mehr Eqtesad Bank'}"
11,node,5163104022,36.3359833,59.522061,"{'addr:street': 'بولوار مهران', 'amenity': 'clinic', 'name': 'درمانگاه', 'name:en': 'Clinic'}"
12,node,5217964221,36.3285677,59.5311226,"{'amenity': 'community_centre', 'name': 'شرکت طوس تجهیز', 'name:en': 'toostajhiz co'}"
13,node,5227169322,36.3285961,59.5311301,"{'amenity': 'clinic', 'name': 'شرکت طوس تجهیز', 'name:en': 'toos tajhiz co', 'opening_hours': 'Sa-Th 09:00-14:00', 'phone': '+985136068050'}"
14,node,5317032028,36.3324413,59.5150396,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
15,node,5791861080,36.3385209,59.5310645,"{'amenity': 'fast_food', 'name': 'پیتزا و ساندویچ شب رو', 'name:en': 'Shabro Fast Food'}"
16,node,5871416987,36.3289334,59.5273607,{'amenity': 'toilets'}
17,node,5940439998,36.3324437,59.5167451,"{'amenity': 'restaurant', 'name': 'کبابی بناب اصلی', 'name:en': 'kababi banab'}"
18,node,6166452922,36.3293531,59.5268912,"{'amenity': 'atm', 'operator': 'بانک کشاورزی'}"
19,node,6166452923,36.3308585,59.5209762,"{'amenity': 'atm', 'operator': 'Ansar Bank'}"
20,node,6166452924,36.3309241,59.5196184,"{'amenity': 'atm', 'operator': 'Saderat Bank'}"
21,node,6166452925,36.3322639,59.5155653,"{'amenity': 'atm', 'operator': 'Qarz Al-Hasane Mehr Bank'}"
