,type,id,lat,lon,tags
0,node,667345816,36.2782973,59.6156427,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۲۴', 'name:en': 'Firestation No. 24'}"
1,node,1219618439,36.273583,59.6041089,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'خیابان تهران', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat- Tehran street branch', 'operator': 'Tejarat Bank'}"
2,node,1750032626,36.2835299,59.6142174,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه خیریه حضرت علی بن موسی الرضا', 'name:en': 'aliebn mosalreza', 'opening_hours': '24/7', 'phone': '+98 511 2217123'}"
3,node,2991275314,36.2777089,59.6072311,"{'amenity': 'bank', 'name': 'بانک کشاورزی'}"
4,node,2991275316,36.2789836,59.6083166,"{'amenity': 'bank', 'brand': 'بانک سینا', 'brand:en': 'Sina Bank', 'brand:wikidata': 'Q10860246', 'brand:wikipedia': 'en:Sina Bank', 'name': 'بانک سینا', 'name:en': 'Sina Bank'}"
5,node,2991275319,36.2801617,59.6086928,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک اقتصاد نوین', 'brand:en': 'EN Bank', 'brand:wikidata': 'Q5323768', 'brand:wikipedia': 'en:EN Bank', 'name': 'بانک اقتصاد نوین', 'name:en': 'EN Bank'}"
6,node,2991275735,36.274305,59.6041879,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
7,node,2991275923,36.2834121,59.6124405,"{'amenity': 'police', 'emergency': 'police', 'name': 'ایستگاه پلیس راهنمایی و رانندگی'}"
8,node,2992609154,36.2726507,59.604091,"{'amenity': 'bank', 'brand': 'بانک انصار', 'brand:wikidata': 'Q5862675', 'brand:wikipedia': 'fa:بانک انصار', 'name': 'بانک انصار'}"
9,node,2994086548,36.2746707,59.6040245,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
10,node,2994086549,36.2782979,59.6078058,"{'amenity': 'bank', 'name': 'بانک ملت'}"
11,node,2994086560,36.2755667,59.6048146,"{'amenity': 'bank', 'name': 'بانک ملی'}"
12,node,2994086561,36.2757042,59.6049436,"{'amenity': 'bank', 'name': 'بانک سپه'}"
13,node,2994094046,36.2829682,59.6117415,"{'amenity': 'bank', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
14,node,2994094047,36.2838851,59.6127966,"{'amenity': 'atm', 'name': 'بانک تجارت'}"
15,node,2994094048,36.2817094,59.6099774,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد جفایی', 'religion': 'muslim'}"
