,type,id,lat,lon,tags
0,node,690985456,36.3163145,59.6285665,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'گاز', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
1,node,697038913,36.3200393,59.6284512,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه امام حسن مجتبی', 'name:en': 'Imam Hasan-e Mojtaba Mosque', 'religion': 'muslim'}"
2,node,2559089245,36.3198888,59.6192781,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'سمزقند', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
3,node,4555365697,36.3125104,59.6371668,"{'addr:street': 'رسالت ۴۰', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی روح الله', 'name:en': 'Rooh-O-Allah clinic', 'opening_hours': '24/7', 'phone': '+98 51 3271 0008'}"
4,node,4555434189,36.3123288,59.6371633,"{'addr:street': 'رسالت ۴۰', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر اکبریان', 'name:en': 'Dr. َAkbarian drugstore'}"
5,node,5323444342,36.3136595,59.6354642,"{'amenity': 'restaurant', 'name': 'اغذیه دانیال'}"
6,node,5323444355,36.3141544,59.6336233,"{'amenity': 'school', 'female': 'yes', 'name': 'مدرسه دخترانه'}"
7,node,5323444367,36.3116326,59.6369806,"{'amenity': 'bank', 'atm': 'yes', 'name': 'موسسه اعتباری ملل'}"
8,node,5323444368,36.3102387,59.6366452,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
9,node,5323444370,36.3078127,59.6338568,"{'amenity': 'school', 'name': 'دبیرستان دخترانه تدین'}"
10,node,5323444371,36.3140831,59.6358053,"{'addr:street': 'بولوارحبیب ابن مظاهر', 'amenity': 'internet_cafe', 'name': 'کافی نت سارسل', 'name:en': 'Sarsel internet coffee'}"
11,node,5323444373,36.314778,59.636236,"{'amenity': 'kindergarten', 'name': 'مهد کودک ملائکه'}"
12,node,5333555656,36.314076,59.635802,"{'addr:city': 'مشهد', 'addr:street': 'رسالت ۴۲', 'amenity': 'internet_cafe', 'name': 'کافی نت یاس نبی'}"
13,node,5349617827,36.315377,59.6345606,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد چهارده معصوم', 'name:en': '14 Masoom mosque', 'religion': 'muslim'}"
14,node,5349632567,36.3141063,59.6352407,"{'amenity': 'car_rental', 'name': 'Rookesh Barook'}"
15,node,5349645880,36.3165306,59.6278511,"{'amenity': 'restaurant', 'name': 'کبابی زیتون', 'name:en': 'Zeytoon'}"
16,node,5349655333,36.3196132,59.6204508,"{'amenity': 'car_sharing', 'name': 'Namayeshgah Fooladi'}"
17,node,5349655411,36.319949,59.6208057,"{'amenity': 'bank', 'name': 'Bank Keshavarzi'}"
18,node,5349674115,36.3135191,59.6356843,"{'amenity': 'marketplace', 'name': 'فروشگاه اتکا', 'name:en': 'Forooshgah Etka'}"
19,node,5349677987,36.3141612,59.6358795,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'دکتر قلوبی', 'name:en': 'Doctor Gholoobi'}"
20,node,5349678690,36.3144724,59.6360827,"{'amenity': 'bank', 'name': 'Bank Mellat'}"
21,node,5349691382,36.314612,59.6340098,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد سید', 'name:en': 'Seyyed mosque', 'religion': 'muslim'}"
22,node,5349693445,36.3175464,59.6320225,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حاجی حبیب', 'name:ar': 'مسجد حاجي حبيب', 'name:en': 'Masjede Haj Habib', 'religion': 'muslim'}"
23,node,5349696337,36.3195521,59.6196424,"{'amenity': 'cafe', 'name': 'Abmive Babakhan'}"
24,node,5349700337,36.3197773,59.6198111,"{'amenity': 'bank', 'name': 'بانک ثامن'}"
25,node,5349701273,36.3178757,59.6187276,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد', 'name:ar': 'مسجد', 'name:en': 'Masjid', 'religion': 'muslim'}"
26,node,5349701680,36.3177376,59.6180622,"{'amenity': 'bank', 'name': 'Bank Mehr'}"
27,node,5582899921,36.3088054,59.628777,"{'addr:street': 'ابوذر غربی ۱۴', 'amenity': 'restaurant', 'name': 'پرند', 'name:en': 'parand'}"
28,node,6206286186,36.3060486,59.6343133,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر انصاریان', 'name:en': 'Ansarian'}"
29,node,8083880538,36.3182469,59.6239377,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
30,node,8083880539,36.3181845,59.6240724,"{'amenity': 'bank', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank'}"
31,node,8083880540,36.3175677,59.6255462,"{'amenity': 'bank', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
32,node,8083880541,36.3179512,59.6257698,"{'amenity': 'bank', 'brand': 'بانک قوامین', 'brand:en': 'Ghavamin Bank', 'brand:wikidata': 'Q10860253', 'brand:wikipedia': 'en:Ghavamin Bank', 'name': 'بانک قوامین', 'name:en': 'Ghavamin Bank'}"
33,node,8083880542,36.3166366,59.6290098,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
