amenity,count
atm,45
bank,52
bench,2
bicycle_parking,1
biergarten,1
cafe,29
car_rental,2
car_wash,8
casino,1
cinema,1
clinic,20
college,1
community_centre,1
dentist,4
doctors,12
driving_school,1
fast_food,33
fire_station,3
fuel,4
ice_cream,6
internet_cafe,3
kindergarten,4
library,3
marketplace,1
music_school,1
nursing_home,2
parking,3
pharmacy,32
place_of_worship,11
police,3
post_office,1
restaurant,39
school,19
shower,1
social_centre,1
studio,2
taxi,4
telephone,3
theatre,1
toilets,10
university,3
veterinary,4
