,type,id,lat,lon,tags
0,node,286499684,36.2880721,59.5581399,"{'amenity': 'fuel', 'name': 'پمپ بنزین میدان تلویزیون'}"
1,node,289323363,36.2852918,59.5988244,"{'amenity': 'bank', 'branch': 'ده دی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'website': 'http://www.bankmillat.ir'}"
2,node,344462509,36.2906552,59.5854877,"{'addr:street': 'خیابان کوهسنگی', 'amenity': 'cinema', 'name': 'سینما آفریقا', 'name:en': 'Cinema Africa', 'wikidata': 'Q25433183'}"
3,node,425564678,36.2851088,59.579301,{'amenity': 'telephone'}
4,node,475074072,36.2957716,59.5732712,"{'amenity': 'cafe', 'name': 'خانه چای', 'name:en': 'T House'}"
5,node,626927515,36.2878252,59.5995097,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'بانک صادرات'}"
6,node,626927530,36.2888512,59.5934926,"{'amenity': 'fast_food', 'name': 'گوگولی برگر', 'name:en': 'Googooli Burger'}"
7,node,626935230,36.2928107,59.6077904,{'amenity': 'university'}
8,node,645591519,36.2922621,59.5907277,"{'amenity': 'school', 'name': 'دبیرستان حکمت', 'name:en': 'Hekmat Highschool'}"
9,node,645591523,36.2919955,59.5879391,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'دانشگاه', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
10,node,648517322,36.2747633,59.5911352,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۴', 'name:en': 'FireStation No. 4'}"
11,node,648952222,36.2973592,59.5690862,"{'addr:city': 'مشهد', 'amenity': 'bank', 'atm': 'yes', 'bic': '9301', 'branch': 'مشهد', 'brand': 'بانک سامان', 'brand:en': 'Saman Bank', 'brand:wikidata': 'Q4117676', 'brand:wikipedia': 'en:Saman Bank', 'fax': '+98 51 38443914', 'name': 'بانک سامان', 'name:en': 'Saman Bank', 'operator': 'Saman Bank', 'phone': '+98 51 38461940-3'}"
12,node,648952233,36.2964511,59.5729796,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک اقتصاد نوین', 'brand:en': 'EN Bank', 'brand:wikidata': 'Q5323768', 'brand:wikipedia': 'en:EN Bank', 'fax': '+98-511-8454361', 'name': 'بانک اقتصاد نوین', 'name:en': 'EN Bank', 'operator': 'Eghtesad Novin', 'phone': '+98-511-8454362-7'}"
13,node,648952241,36.2946509,59.5769797,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
14,node,648952243,36.2945246,59.5772925,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'احمدآباد', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'operator': 'Mellat Bank'}"
15,node,648952246,36.2947682,59.5767753,"{'amenity': 'bank', 'atm': 'yes', 'bic': '8546', 'branch': 'احمدآباد', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
