amenity,count
atm,58
bank,89
bench,2
bicycle_parking,2
bicycle_rental,1
biergarten,1
bureau_de_change,3
cafe,55
car_rental,2
car_wash,12
casino,1
cinema,1
clinic,32
college,5
community_centre,4
conference_centre,3
courthouse,2
dentist,6
doctors,17
driving_school,1
events_venue,1
fast_food,50
fire_station,7
food_court,1
fountain,2
fuel,6
hospital,1
ice_cream,8
internet_cafe,5
kindergarten,4
library,8
marketplace,1
music_school,1
nursing_home,2
parking,10
parking_entrance,3
pharmacy,49
place_of_worship,20
police,9
post_office,2
register_office,1
restaurant,64
school,43
shelter,92
shower,1
social_centre,1
studio,2
taxi,6
telephone,5
theatre,3
toilets,19
university,4
veterinary,3
waste_basket,3
