amenity,count
atm,11
bank,46
bicycle_parking,2
bicycle_rental,1
bureau_de_change,2
cafe,34
car_wash,9
casino,1
clinic,15
college,4
community_centre,3
conference_centre,3
courthouse,2
dentist,1
doctors,6
events_venue,1
fast_food,22
fire_station,3
fountain,2
fuel,3
ice_cream,4
internet_cafe,2
kindergarten,1
library,7
nursing_home,1
parking,5
parking_entrance,3
pharmacy,19
place_of_worship,7
police,7
post_office,2
register_office,1
restaurant,34
school,28
shelter,21
shower,1
social_centre,1
studio,1
taxi,2
telephone,3
theatre,2
toilets,12
university,1
veterinary,2
waste_basket,3
