,type,id,lat,lon,tags
0,node,516164903,36.3282683,59.501213,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۵', 'name:en': 'Fire Station No. 5'}"
1,node,659720449,36.3302971,59.5025986,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'ملی'}"
2,node,875819758,36.3264688,59.4928131,"{'amenity': 'fuel', 'compressed_air': 'no', 'fuel:cng': 'yes', 'name': 'پمپ گاز حافظ'}"
3,node,985613713,36.3458905,59.5091915,"{'amenity': 'fuel', 'fuel:cng': 'yes'}"
4,node,1290359721,36.3401321,59.4625669,{'amenity': 'atm'}
5,node,1290365303,36.3331946,59.484706,"{'amenity': 'pharmacy', 'name': 'داروخانه', 'name:en': 'Pharmacy'}"
6,node,1434015469,36.341074,59.4903056,"{'amenity': 'college', 'building': 'yes', 'name': 'دانشگاه علمی کاربردی زندان'}"
7,node,1750032589,36.3378852,59.4956763,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه فردوس', 'name:en': 'Ferdows clinic', 'opening_hours': '24/7', 'phone': '+98 511 8686155'}"
8,node,1750032597,36.33397,59.4787166,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی لادن', 'name:en': 'NewshaNik Office', 'opening_hours': 'Sa-Th 09:00-21:00', 'operator': 'دفتر نمایندگی شرکت نیوشانیک', 'phone': '+98 511 8694604'}"
9,node,1750032599,36.3261983,59.5036285,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'وکیل آباد', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
10,node,1750032602,36.3378077,59.4697011,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'فارغ التحصیلان', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
11,node,1750032616,36.3338986,59.4789217,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'وکیل آباد', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
12,node,1750032624,36.3261369,59.503791,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'وکیل آباد', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
13,node,2341194466,36.3418351,59.4799521,{'amenity': 'toilets'}
14,node,2341194735,36.3369579,59.5012689,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'آشکده یاران گناباد', 'name:en': 'Ash Kadeh Yarane Gonabad'}"
15,node,2376021803,36.3397168,59.4848323,"{'amenity': 'fast_food', 'cuisine': 'burger,_pizza_, sandwich', 'name': 'کامبادن'}"
16,node,2460095131,36.3467597,59.5143887,"{'amenity': 'cafe', 'name': 'سنت سرای سندروس'}"
17,node,2509636808,36.3293757,59.4968594,"{'addr:city': 'Mashhad', 'addr:country': 'IR', 'addr:housenumber': '37', 'addr:street': 'وکیل اباد', 'amenity': 'fast_food', 'name': 'فست فود لادیز'}"
18,node,2559090264,36.3259832,59.5044238,"{'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'کلینیک دندانپزشکی ایرانیان', 'opening_hours': '24/7'}"
19,node,2627748726,36.3309021,59.4695605,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر نوذری'}"
20,node,2627748730,36.3291037,59.473474,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy'}"
21,node,2627750732,36.3307215,59.468762,"{'amenity': 'marketplace', 'name': 'پروتئینی'}"
22,node,2627751245,36.33182,59.4698221,"{'amenity': 'taxi', 'name': 'تاکسی تلفنی', 'name:en': 'Taxi Agency'}"
23,node,2627770478,36.334531,59.4655411,"{'amenity': 'restaurant', 'name': 'کترینگ آق بابا', 'name:en': 'Agh Baba'}"
24,node,2631615319,36.3356837,59.4715857,"{'amenity': 'atm', 'name': 'ای تی ام بانک شهر'}"
25,node,2681922262,36.3293828,59.4996539,"{'addr:city': 'Mashhad', 'addr:housename': 'کلبه محبت', 'addr:street': 'وکیل آباد ۳۵', 'amenity': 'restaurant', 'capacity': '40', 'cuisine': 'غذاهای_گیاهی', 'diet:vegetarian': 'yes', 'name': 'کلبه محبت', 'name:en': 'loving hunt', 'phone': '+98-51-38690334'}"
26,node,4109094089,36.3504034,59.4737602,"{'amenity': 'veterinary', 'name': 'غ'}"
27,node,4114109590,36.3283286,59.4855181,{'amenity': 'internet_cafe'}
28,node,4159815389,36.3262481,59.5007762,{'amenity': 'police'}
29,node,4199830895,36.3356517,59.4766692,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک انصار'}"
30,node,4199830896,36.3358641,59.4770228,"{'amenity': 'restaurant', 'name': 'رستوران طلائیه', 'name:en': 'Talaeeye Restaurant'}"
31,node,4199833596,36.3363842,59.4771344,"{'amenity': 'clinic', 'name': 'درمانگاه شبانه روزی ولی عصر (عج)', 'name:en': 'Vali Asr Boarding Clinic'}"
