,type,id,lat,lon,tags
0,node,676994790,36.3679445,59.5089552,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر موسوی', 'name:en': 'Dr.Mousavi Drugstore'}"
1,node,3261948890,36.3710164,59.5023306,"{'amenity': 'school', 'name': 'دبستان آیات', 'name:en': 'Ayat School'}"
2,node,3261949238,36.3709246,59.5017625,"{'amenity': 'school', 'name': 'مرکز توانبخشی معلولان ذهنی مهرآوران', 'name:en': 'Zehn Avaran Helply center'}"
3,node,3737110700,36.3965001,59.5011317,"{'addr:city': 'مشهد', 'amenity': 'fuel', 'fuel:cng': 'yes', 'name': 'جایگاه سی ان جی', 'opening_hours': '24/7'}"
4,node,3749571934,36.3940491,59.4994944,"{'amenity': 'toilets', 'name': 'توالت عمومی', 'unisex': 'yes'}"
5,node,4147825389,36.3705752,59.5137928,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر وحیدی منش'}"
6,node,4201764491,36.3759716,59.4724001,"{'addr:street': 'بولوار الهیه', 'amenity': 'dentist', 'email': 'hafezdentalclinic@gmail.com', 'internet_access': 'wlan', 'name': 'درمانگاه دندانپزشکی حافظ شرق', 'name:en': 'Hafez E Sharq dental clinic', 'opening_hours': 'Mo-Su 08:40-13:00', 'phone': '+98 51 3531 0898'}"
7,node,4383006991,36.3719738,59.5136648,"{'addr:street': 'میدان حجاب', 'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank', 'opening_hours': 'Sa-Th 07:30-13:00'}"
8,node,4392730498,36.3755366,59.5188614,"{'amenity': 'atm', 'name': 'عابر بانک', 'opening_hours': '24/7'}"
9,node,4392730499,36.3719529,59.5137018,"{'addr:street': 'میدان حجاب', 'amenity': 'bank', 'name': 'پست بانک', 'name:en': 'Post Bank', 'opening_hours': 'Sa-Th 07:30-13:00'}"
10,node,4395003296,36.3720454,59.5136732,{'amenity': 'bank'}
11,node,4395014391,36.3720486,59.5136351,{'amenity': 'bank'}
12,node,4395074289,36.3720905,59.5135004,{'amenity': 'fast_food'}
13,node,4395074290,36.3720583,59.51358,"{'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank'}"
14,node,4515160924,36.3732053,59.5035164,{'amenity': 'bicycle_rental'}
15,node,4690336101,36.3712424,59.4810103,"{'amenity': 'atm', 'operator': 'ATM Sepah Bank'}"
16,node,4690336496,36.3750226,59.4793101,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'ATM Tejarat Bank'}"
17,node,4697671390,36.3684793,59.5033189,"{'addr:housenumber': '43', 'addr:street': 'فلاحی ۵۰/۱۴ (راستی۴۰)', 'amenity': 'car_rental', 'name': 'آژانس ایزین', 'name:en': 'Izin taxi', 'phone': '+98 51 3620 4060'}"
18,node,4712886789,36.3740365,59.4771141,"{'amenity': 'townhall', 'name': 'شهرداری منطقه ۱۲', 'name:en': 'Municipality District 12', 'office': 'government'}"
19,node,4781456521,36.3681439,59.5088112,"{'amenity': 'atm', 'operator': 'Aiandeh Bank ATM'}"
20,node,4782443223,36.3761628,59.4723113,"{'amenity': 'atm', 'opening_hours': 'Mo-Su 09:00-22:00', 'operator': 'Hekmat Bank ATM'}"
21,node,4782453221,36.3761867,59.4723388,"{'addr:street': 'الهیه ۲۵', 'amenity': 'dentist', 'email': 'hafezdentalclinic@gmail.com', 'internet_access': 'wlan', 'name': 'درمانگاه دندانپزشکی حافظ شرق', 'name:en': 'Hafez E Sharq dental clinic', 'opening_hours': 'Sa-Th 09:00-13:00', 'phone': '+98 51 3531 0898'}"
22,node,5183135722,36.3800879,59.4862245,"{'amenity': 'restaurant', 'delivery': 'yes', 'name': 'رستوران مادرجون', 'name:en': 'Madar Joon Restaurant', 'outdoor_seating': 'no', 'smoking': 'no', 'takeaway': 'yes'}"
