,type,id,lat,lon,tags
0,node,264625292,36.2604619,59.6803664,"{'amenity': 'fuel', 'name': 'پمپ بنزین'}"
1,node,667345815,36.2593348,59.626362,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۲۰', 'name:en': 'FireStation No. 20'}"
2,node,1806003643,36.269571,59.6584139,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان بار رضوی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
3,node,4263353894,36.2624969,59.6769711,"{'amenity': 'pharmacy', 'name': 'داروخانه'}"
4,node,4347367142,36.2667864,59.6321877,"{'amenity': 'arts_centre', 'name': 'فرهنگسرای غدیر', 'name:en': 'Ghadir Cultural Center'}"
5,node,4804509421,36.2595561,59.6387379,"{'amenity': 'marketplace', 'name': 'بازار شهرک بهشتی', 'name:ar': 'سوبر ماركت بهشتي'}"
6,node,4809045226,36.2648467,59.6680476,"{'amenity': 'atm', 'operator': 'پارسا نان گندم'}"
7,node,4886592121,36.2662816,59.66757,"{'addr:street': 'بولوار حر', 'amenity': 'police', 'name': 'کلانتری رجایی', 'name:en': 'Police officers rejaee'}"
8,node,5311797300,36.2648244,59.656545,"{'amenity': 'restaurant', 'name': 'رستوران'}"
9,node,5311797307,36.2654016,59.6584564,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد امام حسن مجتبی', 'religion': 'muslim'}"
10,node,5322626574,36.2624425,59.6628906,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر تهرانی'}"
11,node,5322626575,36.2626325,59.6626304,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد بقیع', 'religion': 'muslim'}"
12,node,5324237220,36.262928,59.6526058,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد موسی ابن جعفر', 'religion': 'muslim'}"
13,node,5324240539,36.2657071,59.6555178,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد ابالفضل', 'name:en': 'Abolfazl Mosque', 'religion': 'muslim'}"
14,node,5324240578,36.2685392,59.6618955,"{'amenity': 'restaurant', 'name': 'رستوران سازگار'}"
15,node,5325990033,36.2700001,59.6583935,"{'amenity': 'bank', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran'}"
16,node,5695447968,36.2689853,59.6955019,"{'addr:city': 'مشهد', 'amenity': 'fuel', 'fuel:Benzin': 'yes', 'fuel:cng': 'yes', 'fuel:gasoil': 'yes', 'name': 'پمپ بنزین'}"
17,node,6368109290,36.2643677,59.6715631,{'amenity': 'police'}
18,node,6879765368,36.2618992,59.6891718,{'amenity': 'school'}
19,node,7005678182,36.2635134,59.638845,"{'amenity': 'internet_cafe', 'contact:instagram': 'https://www.instagram.com/cafenetmehran/', 'name': 'کافی نت مهران', 'source': 'map.ir'}"
20,node,8008542845,36.2582713,59.6805307,"{'amenity': 'library', 'name': 'کتابخانه دهخدا'}"
21,node,8114071920,36.2612715,59.6807507,"{'amenity': 'place_of_worship', 'name': 'مسجد صاحب الزمان', 'religion': 'muslim'}"
22,node,8115506869,36.2635597,59.6499451,"{'amenity': 'fire_station', 'name': 'ایستگاه ۱۶ آتش نشانی'}"
23,node,8115560422,36.2586938,59.6434718,"{'amenity': 'place_of_worship', 'name': 'مسجد جواد ائمه', 'religion': 'muslim'}"
24,node,8128808013,36.2540601,59.624603,"{'amenity': 'place_of_worship', 'religion': 'muslim'}"
25,node,8786437947,36.2609325,59.6417579,{'amenity': 'clinic'}
26,node,8786489716,36.266071,59.6729413,"{'amenity': 'clinic', 'name': 'مرکز بهداشت ساختمان'}"
27,node,9123866481,36.2656914,59.6676698,"{'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general;paediatrics;dentist;dermatology', 'name': 'درمانگاه شبانه روزی باب الحوائج'}"
28,node,9284581800,36.2687639,59.6956615,"{'amenity': 'vending_machine', 'currency:IRR': 'yes', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'vending': 'fuel'}"
29,node,9284581801,36.2692293,59.6953078,"{'access': 'yes', 'amenity': 'toilets', 'unisex': 'yes'}"
