,type,id,lat,lon,tags
0,node,697038913,36.3200393,59.6284512,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه امام حسن مجتبی', 'name:en': 'Imam Hasan-e Mojtaba Mosque', 'religion': 'muslim'}"
1,node,706667936,36.3237508,59.6223038,"{'amenity': 'bank', 'atm': 'no', 'branch': 'خواجه ربیع', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
2,node,1791445589,36.336948,59.6254884,"{'addr:city': 'مشهد', 'addr:street': 'بولوار خواجه ربیع', 'amenity': 'fire_station', 'name': 'ایستگاه ۲۹ آتش نشانی'}"
3,node,2559089245,36.3198888,59.6192781,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'سمزقند', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
4,node,2559089247,36.3217441,59.6205129,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'سمرقند', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank'}"
5,node,3168068194,36.3289286,59.6239336,"{'amenity': 'place_of_worship', 'name': 'مسجد فاطمه الزهرا', 'religion': 'muslim'}"
6,node,3607664144,36.3239759,59.6338906,{'amenity': 'fast_food'}
7,node,3612319953,36.3234684,59.6354219,{'amenity': 'fast_food'}
8,node,3733174956,36.3231326,59.6416019,"{'addr:street': 'رسالت ۵۵/۳', 'amenity': 'office', 'name': 'پلیس +۱۰', 'office': 'government'}"
9,node,3824186357,36.3245494,59.6423028,"{'amenity': 'internet_cafe', 'internet_access:fee': '2400', 'name': 'کافی نت جامع'}"
10,node,3824186358,36.3212176,59.640833,"{'access': 'yes', 'amenity': 'shower', 'name': 'عدالتیان'}"
11,node,3824186457,36.324966,59.6417561,"{'amenity': 'internet_cafe', 'internet_access': 'کافینت ریحان', 'internet_access:fee': '2400'}"
12,node,3824186557,36.3212386,59.6413267,"{'amenity': 'internet_cafe', 'internet_access': 'wired', 'internet_access:fee': '2400', 'name': 'کافی نت قائم'}"
13,node,3842463966,36.3245312,59.642447,"{'amenity': 'restaurant', 'cuisine': 'coffee_shop'}"
14,node,3844166060,36.3248766,59.6320397,"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'no', 'operator': 'شهرداری مشهد', 'wheelchair': 'no'}"
15,node,4105434796,36.3297238,59.6242877,"{'addr:street': 'میدان امام حسین', 'amenity': 'veterinary', 'email': 'beheshtifar.pharmacy@gmail.com', 'name': 'داروخانه دامپزشکی دکتر بهشتی فر - کلینیک دکتر شاکری', 'phone': '+98 51 3739 2626 ; +98 915 204 2272'}"
16,node,4537298890,36.3392256,59.6339459,"{'amenity': 'atm', 'opening_hours': '24/7'}"
17,node,4558075698,36.3388733,59.6265616,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه پارس'}"
18,node,4558103789,36.338817,59.6318884,{'amenity': 'cafe'}
19,node,4780470626,36.3390805,59.6315406,"{'amenity': 'atm', 'operator': 'sarmaie ATM'}"
20,node,4783989944,36.3415475,59.634065,"{'addr:street': 'یوسف زاده ۶/۱۰ مسجد ابوالفظلی باغو', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد ابوالفظلی باغو', 'name:en': 'Abolfazli BAGOO Mosque', 'opening_hours': '24/7', 'religion': 'muslim'}"
21,node,4783995423,36.3351453,59.6383797,"{'amenity': 'school', 'name': 'دبیرستان نیمه اول یاوران اسلام'}"
22,node,4783996521,36.3346945,59.6389815,"{'amenity': 'school', 'name': 'کارودانش پژوهش'}"
23,node,4784056421,36.3406796,59.6282934,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
24,node,4811377621,36.3206451,59.6146177,"{'addr:street': 'مطهری ۵۱', 'amenity': 'fast_food', 'cuisine': 'sandwich;hotdog;burger'}"
25,node,4851628971,36.3258573,59.6421345,{'amenity': 'police'}
26,node,5218103422,36.3204375,59.6157016,"{'amenity': 'toilets', 'operator': 'پارک مطهری'}"
27,node,5326249317,36.340138,59.6271964,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام جعفر صادق(ع)', 'religion': 'muslim'}"
28,node,5326263520,36.3390076,59.6271892,"{'amenity': 'bank', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
29,node,5349655333,36.3196132,59.6204508,"{'amenity': 'car_sharing', 'name': 'Namayeshgah Fooladi'}"
30,node,5349655411,36.319949,59.6208057,"{'amenity': 'bank', 'name': 'Bank Keshavarzi'}"
31,node,5349696337,36.3195521,59.6196424,"{'amenity': 'cafe', 'name': 'Abmive Babakhan'}"
32,node,5349700337,36.3197773,59.6198111,"{'amenity': 'bank', 'name': 'بانک ثامن'}"
33,node,5352172990,36.3295778,59.624192,"{'amenity': 'internet_cafe', 'name': 'کافی نت'}"
34,node,5352173021,36.3299449,59.6248861,"{'amenity': 'police', 'name': 'کلانتری خواجه ربیع'}"
35,node,5352193323,36.3386566,59.626792,"{'amenity': 'bank', 'name': 'موسسه ملل'}"
36,node,5352210580,36.3405075,59.6283795,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
37,node,5352210969,36.3406662,59.6284054,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'کبابی'}"
38,node,5352215616,36.3404918,59.6288028,"{'amenity': 'fast_food', 'name': 'پیتزا ساندویچ آریا'}"
39,node,5352222520,36.339856,59.6286623,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه روزی', 'opening_hours': '24/7'}"
40,node,5352224343,36.3404621,59.6276849,"{'amenity': 'fast_food', 'name': 'اغذیه'}"
41,node,5352231249,36.3408525,59.6265226,"{'amenity': 'school', 'name': 'مدرسه ابتدایی دخترانه'}"
42,node,5352263865,36.3385181,59.6262538,"{'amenity': 'cafe', 'name': 'کافی شاپ'}"
43,node,6280455285,36.340234,59.6105325,"{'addr:street': '۲۲ بهمن ۴', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر خباز', 'name:en': 'Dr. Khabaz pharmacy', 'operator': 'dr.khabaz'}"
44,node,8084864979,36.3342562,59.6275805,{'amenity': 'toilets'}
45,node,8084864986,36.3319005,59.6271099,"{'amenity': 'toilets', 'name': 'دستشویی'}"
46,node,8085180768,36.3361775,59.6159637,"{'amenity': 'place_of_worship', 'name': 'مسجد امام رضا', 'religion': 'muslim'}"
47,node,8115493086,36.3279671,59.6451494,"{'amenity': 'fire_station', 'name': 'ایستگاه ۳۷ آتش نشانی'}"
48,node,8772995647,36.3463489,59.632857,"{'amenity': 'clinic', 'name': 'مرکز سلامت گلشاد'}"
49,node,10182073867,36.3465187,59.6269711,"{'addr:city': 'مشهد', 'addr:housenumber': 'نبش27', 'addr:street': 'بولوار ۲۲ بهمن', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دامپزشکی دکتر شاکری', 'name:en': 'Dr.Shakeri', 'opening_hours': 'Su-Fr 09:00-20:30'}"
50,node,10282097181,36.350114,59.6282571,"{'amenity': 'fuel', 'name': 'پمپ بنزین'}"
51,node,10282104109,36.3499747,59.628507,"{'amenity': 'fuel', 'name': 'جایگاه CNG'}"
52,node,10767267805,36.3465626,59.6269946,"{'addr:housenumber': '1', 'addr:street': 'بلوار ۲۲ بهمن(جاده کلات)-نبش بهمن ۲۷', 'amenity': 'veterinary', 'email': 'Dr.hamedshakeri@gmail.com', 'name': 'داروخانه دامپزشکی دکتر شاکری(حامی)', 'name:ar': 'شاکری صيدلية بيطرية(حامی)', 'name:en': 'Dr.Hamed Shakeri Vet Pharmacy(HAMI)', 'opening_hours': 'Sa-Fr 09:00-20:30', 'phone': '+989152042272'}"
