,type,id,lat,lon,tags
0,node,286961069,36.3292009,59.5830029,{'amenity': 'fountain'}
1,node,584116803,36.3480738,59.5621279,"{'amenity': 'parking', 'parking': 'surface', 'surface': 'asphalt'}"
2,node,667345812,36.3247499,59.5857413,"{'amenity': 'fire_station', 'name': 'ساختمان مرکزی آتش نشانی', 'name:en': 'Central FireStation Building'}"
3,node,779046580,36.3474368,59.5497958,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
4,node,1842625965,36.3428267,59.5548291,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد جوادالائمه', 'religion': 'muslim'}"
5,node,2010637214,36.3337883,59.5886876,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
6,node,2458533347,36.3249053,59.5623696,"{'amenity': 'bank', 'brand': 'بانک سپه', 'brand:en': 'Sepah Bank', 'brand:wikipedia': 'en:Sepah Bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank'}"
7,node,2458533606,36.3251159,59.5623936,"{'amenity': 'bank', 'name': 'عسکریه'}"
8,node,2559089243,36.3255727,59.5488795,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'فرامرز عباسی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
9,node,2559089838,36.3251208,59.5573096,"{'amenity': 'pharmacy', 'dispensing': 'no', 'opening_hours': '24/7'}"
10,node,2559090259,36.3335996,59.5832278,"{'amenity': 'fuel', 'brand': 'Independent', 'name': 'جایگاه اختصاصی ۱۶۵'}"
11,node,2584915909,36.3272165,59.5495035,"{'access': 'yes', 'amenity': 'toilets', 'fee': 'no'}"
12,node,2584916597,36.3261604,59.5489305,"{'amenity': 'cafe', 'cuisine': 'coffee_shop', 'name': 'دهکده', 'name:en': 'Dehkadeh'}"
13,node,2989282079,36.3343576,59.5505488,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام علی', 'name:en': 'Imam Ali Mosque', 'religion': 'muslim'}"
