amenity,count
atm,9
bank,95
bicycle_rental,5
bureau_de_change,3
bus_station,1
cafe,36
car_wash,3
cinema,2
clinic,60
college,9
community_centre,1
conference_centre,2
courthouse,1
culture_center,1
dentist,9
doctors,24
events_venue,2
fast_food,31
fire_station,2
fountain,2
fuel,2
hospital,3
internet_cafe,1
kindergarten,1
library,8
music_school,8
nursing_home,3
parking,6
parking_entrance,1
pharmacy,41
place_of_worship,12
police,4
post_box,1
post_office,1
pub,1
recycling,1
restaurant,35
school,47
taxi,7
telephone,1
toilets,4
townhall,1
university,2
