,type,id,lat,lon,tags
0,node,768619032,36.3173383,59.5026545,{'amenity': 'car_wash'}
1,node,894280710,36.3087002,59.4995619,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام حسن مجتبی', 'name:en': 'Imam Hassan Mosque', 'religion': 'muslim'}"
2,node,1750032622,36.3167558,59.4779489,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه سروش', 'name:en': 'Soroosh clinic', 'opening_hours': '24/7', 'phone': '+98 511 8677226'}"
3,node,2266718706,36.2991105,59.4788468,{'amenity': 'parking'}
4,node,2266718773,36.2998675,59.4827994,{'amenity': 'fast_food'}
5,node,2278077919,36.314926,59.4817143,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
6,node,2278077920,36.3164784,59.4777838,{'amenity': 'atm'}
7,node,2278078283,36.3151292,59.4842352,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
8,node,2278079536,36.3149346,59.4852656,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank'}"
9,node,2278080162,36.3148655,59.4873362,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank'}"
10,node,2278080723,36.314792,59.4886881,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
11,node,2278081142,36.3147834,59.4890636,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
12,node,2278085830,36.3164518,59.4779002,{'amenity': 'telephone'}
13,node,2278118131,36.3164568,59.4777731,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر مقدم'}"
14,node,2278118689,36.3150514,59.4836562,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه\u200cروزی دکتر شیرازی', 'name:en': '24H Dr. Shahbazi Pharmacy', 'opening_hours': '24/7'}"
15,node,2427124564,36.3104046,59.5044933,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان هنرستان', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
16,node,2634897868,36.3151819,59.4809245,"{'amenity': 'restaurant', 'name': 'کباب شاندیز', 'name:en': 'Shandiz Kebab', 'phone': '+98 915 313 6556'}"
17,node,2634908215,36.3168149,59.4847375,"{'amenity': 'bench', 'backrest': 'yes'}"
18,node,2634908216,36.3166771,59.4847829,"{'amenity': 'bench', 'backrest': 'yes'}"
