,type,id,lat,lon,tags
0,node,2260295141,36.3523199,59.5169332,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
1,node,2460095131,36.3467597,59.5143887,"{'amenity': 'cafe', 'name': 'سنت سرای سندروس'}"
2,node,2631664551,36.353771,59.5201469,"{'amenity': 'bank', 'name': 'بانک سپه'}"
3,node,3261949666,36.34905,59.5204304,"{'amenity': 'school', 'name': 'مرکز توانبخشی معلولان ذهنی هدایت'}"
4,node,4135141018,36.3510796,59.5204124,"{'amenity': 'pharmacy', 'name': 'داروخانه شبانه\u200cروزی دکتر فراهی', 'name:en': 'Farahi Drugstore', 'opening_hours': '24/7'}"
5,node,4147824789,36.3510522,59.5215018,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر محبوبه جعفری', 'name:en': 'Jafari Drugstore'}"
6,node,4147824889,36.3513623,59.520996,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر صائب'}"
7,node,4382994793,36.3515302,59.5211876,"{'addr:street': 'امامیه ۱۵', 'amenity': 'clinic', 'name': 'درمانگاه اصحاب الحسین (ع)', 'name:en': ""As'hab Al'Hosein Clinic"", 'opening_hours': '24/7'}"
8,node,4661016289,36.3536454,59.5196106,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'Bank shahr'}"
9,node,4687022713,36.3561111,59.5191169,"{'addr:housenumber': '237', 'addr:street': 'بولوار امامیه', 'amenity': 'fast_food', 'cuisine': 'burger;sandwich;breakfast;steak_house;pasta;diner;chicken;kebab;barbecue', 'email': 'lavij@gmail.com', 'internet_access': 'wlan', 'name': 'ساندویچ لاویج', 'name:en': 'Lavij sandwich', 'opening_hours': 'Mo-Su 07:30-23:59', 'phone': '+98 51 3662 0951'}"
10,node,5321726441,36.3540698,59.5187049,"{'amenity': 'driving_school', 'name': 'آموزشگاه رانندگی جمهوری'}"
11,node,6590459085,36.3511127,59.5138275,"{'addr:street': 'ادیب ۱۹', 'amenity': 'car_wash', 'name': 'کارواش', 'name:en': 'carwash'}"
12,node,6590459385,36.349525,59.517209,"{'addr:street': 'شریعتی ۴۰', 'amenity': 'place_of_worship', 'name': 'مسجد'}"
13,node,7474663762,36.3516718,59.514659,"{'addr:street': 'کبابی سید یوسف بلوار شریعتی نبش شریعتی ۵۰', 'amenity': 'restaurant', 'description': 'کبابی سید یوسف', 'name': 'کبابی سید یوسف', 'opening_hours': 'Mo-Su 09:00-12:00', 'phone': '+989905647144'}"
14,node,8751339252,36.3523204,59.5186787,"{'amenity': 'cafe', 'contact:instagram': 'https://www.instagram.com/wood_coffee_/', 'name': 'Wood Coffee', 'phone': '+98 915 307 0397; +98 933 915 7743; +98 513 663 9932'}"
15,node,10113891710,36.3557871,59.5309424,"{'amenity': 'school', 'name': 'هنرستان فنی و حرفه ای دخترانه مهدی زاده نیا'}"
16,node,10561849803,36.3515518,59.5152973,"{'addr:city': 'مشهد', 'addr:housenumber': '۴۶', 'addr:street': 'بولوار شریعتی', 'amenity': 'cafe', 'coffee': 'yes', 'cuisine': 'coffee_shop', 'ele': '۱۰۰ متر', 'fixme': 'add proper tag:  diet:کتاب = yes', 'name': 'کافه کتاب کاژه', 'opening_hours': '۰۸:۰۰ الی ۲۴:۰۰', 'phone': '+98 51 3661 7000'}"
