,type,id,lat,lon,tags
0,node,2183190617,36.3413947,59.4409161,"{'amenity': 'restaurant', 'name': 'رستوران گل سرخ هتل ثامن', 'name:en': 'Rose'}"
1,node,4739530717,36.3499799,59.4502582,"{'amenity': 'restaurant', 'name': 'رستوران ارشاد', 'name:en': 'Ershad Restaurant'}"
2,node,4965322323,36.3611247,59.4430926,"{'amenity': 'parking', 'name': 'پارکینگ شهید پرتویی', 'name:en': 'Partoei Parking'}"
3,node,5268385496,36.3420873,59.4654533,"{'amenity': 'school', 'name': 'پیش دبستانی و دبستان دخترانه سما ۸', 'name:en': 'Sama 8 school complex'}"
4,node,5779839463,36.3557173,59.435936,"{'addr:street': 'Shandiz Road-Samen Aeme 7', 'amenity': 'restaurant', 'name': 'رستوران \u200cتی\u200cرکس', 'name:en': 'T-Rex Restaurant', 'phone': '+98 51 3559 3305'}"
5,node,5817730600,36.3444608,59.465409,"{'amenity': 'place_of_worship', 'name': 'نمازخانه', 'name:en': 'Praying Room', 'religion': 'muslim'}"
6,node,5817730823,36.3445606,59.4652767,"{'amenity': 'toilets', 'name': 'سرویس های بهداشتی'}"
7,node,5950841162,36.3636717,59.4654267,"{'amenity': 'atm', 'cash_in': 'yes', 'drive_through': 'no'}"
8,node,5999176885,36.3652531,59.4206726,"{'addr:street': 'مشهد - شاندیز', 'amenity': 'college', 'name': 'دانشگاه', 'name:en': 'Shandiz university', 'name:fa': 'موسسه آموزش عالی شاندیز', 'website': 'http://www.shandiz.ac.ir'}"
9,node,6209798885,36.3720056,59.4599477,{'amenity': 'atm'}
10,node,6484973697,36.3656691,59.460297,"{'amenity': 'toilets', 'opening_hours': 'Su, Fr 00:00-24:00', 'operator': 'toilet (WashStand)'}"
11,node,7112511035,36.369386,59.4647053,"{'amenity': 'cafe', 'name': 'هفت تیر کافی شاپ', 'name:en': 'Haft Teer Coffee Shop'}"
12,node,7904367221,36.3437989,59.4538906,"{'amenity': 'clinic', 'name': 'پایگاه سلامت شهری پژوهش'}"
13,node,7996764082,36.3570188,59.4335652,"{'amenity': 'restaurant', 'name': 'تالار تیراژه'}"
14,node,7996797585,36.3608397,59.4275848,"{'amenity': 'restaurant', 'name': 'تالار یلدا'}"
15,node,7996797594,36.3605697,59.4275761,"{'amenity': 'restaurant', 'name': 'تالار ایرن'}"
16,node,7996797595,36.357237,59.4330779,"{'amenity': 'restaurant', 'name': 'تالار قصر مرسده'}"
17,node,8081635126,36.3409526,59.4561197,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسین', 'religion': 'muslim'}"
18,node,8398182405,36.3503823,59.4627473,"{'access': 'yes', 'amenity': 'toilets', 'unisex': 'yes'}"
19,node,9124112968,36.3605034,59.4223999,"{'amenity': 'courthouse', 'name': 'دادگستری طرقبه شاندیز'}"
