,type,id,lat,lon,tags
0,node,286499684,36.2880721,59.5581399,"{'amenity': 'fuel', 'name': 'پمپ بنزین میدان تلویزیون'}"
1,node,344462509,36.2906552,59.5854877,"{'addr:street': 'خیابان کوهسنگی', 'amenity': 'cinema', 'name': 'سینما آفریقا', 'name:en': 'Cinema Africa', 'wikidata': 'Q25433183'}"
2,node,425564678,36.2851088,59.579301,{'amenity': 'telephone'}
3,node,648952252,36.2888383,59.5789291,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالنبی', 'religion': 'muslim'}"
4,node,658405577,36.2826029,59.5719142,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر هادیزاده', 'name:en': 'Pharmacy'}"
5,node,658405601,36.2832649,59.573936,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر رامیار اسلامی', 'name:en': 'Pharmacy'}"
6,node,658405603,36.2834987,59.5754699,"{'amenity': 'bank', 'atm': 'no', 'name': 'ملت', 'operator': 'Mellat Bank'}"
7,node,663006115,36.2767123,59.575465,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه امام محمد تقی', 'religion': 'muslim'}"
8,node,663006123,36.2802533,59.5737722,"{'amenity': 'bank', 'atm': 'yes', 'bic': '2818', 'branch': 'امیر کبیر', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
9,node,663800791,36.2900433,59.5855237,"{'amenity': 'parking', 'fee': 'yes', 'name': 'پارکینگ زیست خاور', 'parking': 'multi-storey'}"
10,node,667008066,36.2747319,59.5760595,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
11,node,667008088,36.283282,59.5776953,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
12,node,687715517,36.2869829,59.5743891,"{'amenity': 'bank', 'atm': 'yes', 'bic': '136', 'branch': 'کوهسنگی', 'brand': 'بانک سینا', 'brand:en': 'Sina Bank', 'brand:wikidata': 'Q10860246', 'brand:wikipedia': 'en:Sina Bank', 'name': 'بانک سینا', 'name:en': 'Sina Bank', 'operator': 'Sina Bank'}"
13,node,687715533,36.2893572,59.5803413,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'الندشت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
14,node,691948355,36.2818737,59.5598356,"{'amenity': 'community_centre', 'name': 'فرهنگسرای شهر آینه کوهسنگی', 'name:en': 'Farhangsaraye Shahr Ayeneh Koohsangi'}"
15,node,691948357,36.283165,59.5609351,"{'amenity': 'toilets', 'fee': 'no'}"
16,node,691948360,36.2826397,59.5616517,"{'amenity': 'restaurant', 'name': 'رستوران کوهسنگی', 'name:en': 'Koohsangi', 'name:fa': 'رستوران کوهسنگی جبل النور'}"
17,node,1750032586,36.2875189,59.5779354,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر پیروز', 'name:en': 'Dr. Pirooz pharmacy', 'opening_hours': '24/7', 'phone': '+98 511 8412228'}"
18,node,1750032590,36.2815167,59.572764,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی حیان', 'name:en': 'Hayyan clinic', 'opening_hours': '24/7', 'phone': '+98 511 8425647'}"
19,node,2427123773,36.2845165,59.5783982,"{'amenity': 'atm', 'operator': 'Hekmat Iranian Bank'}"
20,node,2427124538,36.2903887,59.5849209,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'زیست خاور', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'operator': 'Tejarat Bank'}"
21,node,2427124547,36.2899008,59.5830843,"{'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر شفیعی نیک', 'name:en': 'Pharmacy'}"
22,node,2427124554,36.2893143,59.580234,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'رستوران درویش'}"
23,node,2493167498,36.2897294,59.5853571,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابراهیم', 'religion': 'muslim'}"
24,node,2559089244,36.2891342,59.5797651,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'کوهسنگی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
25,node,2559089246,36.2886499,59.5783903,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'کوهسنگی', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'operator': 'Tejarat Bank'}"
26,node,2559090261,36.2891045,59.5796545,"{'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه کوهسنگی', 'name:en': 'Pharmacy'}"
27,node,3203898617,36.28372,59.5653862,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'کوهسنگی', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank', 'operator': 'Refah'}"
28,node,3260509871,36.2760534,59.5679548,"{'amenity': 'school', 'name': 'مرکز جامع توانبخشی معلولان ذهنی روان کودک'}"
29,node,3390327987,36.2871095,59.55794,"{'amenity': 'fuel', 'name': 'جایگاه CNG'}"
30,node,3698775792,36.2895786,59.5558087,"{'amenity': 'bank', 'branch': 'صداوسیما', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank'}"
31,node,3751781534,36.2889484,59.5832078,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر دهستانی', 'name:en': 'Pharmacy'}"
32,node,3751782112,36.2883365,59.5835511,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر محسنی رضوی', 'name:en': 'Pharmacy'}"
33,node,3847629098,36.2848041,59.5685848,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شاهد', 'name:en': 'Shahed clinic'}"
34,node,3847639151,36.2847327,59.5683944,"{'amenity': 'clinic', 'healthcare': 'physiotherapist', 'name': 'فیزیوتراپی ایثارگران'}"
35,node,3916383415,36.2899687,59.5833035,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
36,node,3932115824,36.2756099,59.5735863,"{'addr:city': 'مشهد', 'addr:housenumber': '4/6', 'addr:street': 'جهان آرا', 'amenity': 'place_of_worship', 'name': 'مسجد علی اصغری', 'name:en': 'Mosque Ali Asghari', 'religion': 'muslim'}"
37,node,3932121332,36.2746658,59.5706384,{'amenity': 'taxi'}
