,type,id,lat,lon,tags
0,node,652482835,36.2379566,59.6087908,"{'amenity': 'clinic', 'name': 'درمانگاه آرین فردوس', 'name:en': 'Arian Ferdows Clinic', 'opening_hours': '24/7', 'phone': '+98 511 3870376'}"
1,node,667339024,36.2374185,59.6239748,"{'addr:city': 'مشهد', 'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۹', 'name:en': 'FireStation No. 9'}"
2,node,1750032579,36.2452189,59.6049758,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالزهرا', 'name:en': 'Al-Zahra Mosque', 'religion': 'muslim'}"
3,node,1750032587,36.2404382,59.6044696,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر سبزی', 'name:en': 'Dr. Sabzi pharmacy', 'opening_hours': '24/7', 'phone': '+98 511 3856013'}"
4,node,1750032593,36.2420679,59.6048938,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه امام هادی', 'name:en': 'Imam Hadi clinic', 'opening_hours': '24/7', 'phone': '+98 511 3850489'}"
5,node,1750032601,36.2472694,59.6014481,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'المهدی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
6,node,1750032611,36.2461315,59.6034371,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'سیدی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
7,node,1750032615,36.2480314,59.6009216,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'المهدی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
8,node,3416903469,36.2619477,59.6051728,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
9,node,3416907373,36.2618516,59.6052985,"{'amenity': 'bank', 'brand': 'بانک ایران زمین', 'brand:wikidata': 'Q5934423', 'brand:wikipedia': 'en:Iran Zamin Bank', 'name': 'بانک ایران زمین'}"
10,node,5604200526,36.258728,59.6125227,{'amenity': 'atm'}
11,node,6357958885,36.2555688,59.6003141,"{'addr:street': 'میدان حافظ', 'amenity': 'car_wash', 'name': 'کارواش', 'name:en': 'Karwash', 'name:fa': 'کارواش نانوبخارسعید', 'opening_hours': 'Mo-Su 09:00-20:00'}"
12,node,6387825282,36.2518031,59.6085093,"{'amenity': 'toilets', 'name': 'سرویس های بهداشتی'}"
13,node,6387825457,36.2521721,59.6080038,"{'amenity': 'place_of_worship', 'name': 'مصلی الزهراء (س)'}"
14,node,6417917186,36.2485719,59.600505,"{'amenity': 'atm', 'operator': 'خانه'}"
15,node,8041955433,36.2565398,59.6227142,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'Sepah', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'website': 'www.banksepah.ir'}"
16,node,8041955438,36.2540481,59.6200025,"{'amenity': 'car_wash', 'operator': 'ETKA'}"
17,node,8075704375,36.2618455,59.6052642,"{'amenity': 'bank', 'name': 'بانک قرض الحسنه رسالت', 'name:en': 'Gharzolhasaneh Resalat Bank', 'phone': '+98 2128390', 'website': 'https://www.rqbank.ir'}"
18,node,8078924790,36.2572921,59.6047463,"{'amenity': 'police', 'name': 'کلانتری کوی پلیس'}"
19,node,8080024317,36.2619705,59.599961,"{'amenity': 'place_of_worship', 'name': 'مسجد الرسول', 'religion': 'muslim'}"
20,node,8128808013,36.2540601,59.624603,"{'amenity': 'place_of_worship', 'religion': 'muslim'}"
21,node,8851830536,36.260447,59.5992541,"{'addr:city': 'مشهد', 'addr:housenumber': 'هنرستان دیانت', 'addr:street': 'انتهای امام رضا 66', 'amenity': 'school', 'name': 'هنرستان کارو دانش دخترانه دیانت'}"
