amenity,count
arts_centre,3
atm,139
bank,395
bar,2
bench,12
bicycle_parking,3
bicycle_rental,12
biergarten,1
bureau_de_change,14
bus_station,6
cafe,100
car_rental,7
car_sharing,1
car_wash,27
casino,2
charging_station,1
cinema,4
clinic,144
clock,1
college,15
community_centre,6
conference_centre,7
courthouse,6
culture_center,1
dentist,20
doctors,66
drinking_water,10
driving_school,3
events_venue,5
fast_food,134
fire_station,28
food_court,2
fountain,15
fuel,28
hospital,13
ice_cream,21
internet_cafe,19
kindergarten,8
library,28
marketplace,7
motorcycle_parking,5
music_school,9
nursing_home,13
office,1
parking,29
parking_entrance,5
pharmacy,170
place_of_worship,186
police,42
post_box,2
post_office,8
pub,1
publication,1
recycling,5
register_office,1
restaurant,193
school,143
shelter,92
shower,3
social_centre,1
social_facility,1
studio,3
taxi,32
telephone,21
theatre,3
toilets,60
townhall,3
university,7
vending_machine,1
veterinary,7
waste_basket,6
waste_disposal,2
water_point,1
