highway,count,length
busway,9,2793.316
construction,344,174987.067
corridor,1,11.292
cycleway,54,50543.458
footway,6037,425692.586
living_street,257,32741.958
motorway,40,58359.657
motorway_link,12,5458.035
path,101,28190.669
pedestrian,248,41996.538
primary,981,396284.26
primary_link,401,31713.956
proposed,2,847.842
raceway,2,498.397
residential,24212,3838461.309
rest_area,2,49.166
road,8,2194.695
secondary,1460,539086.788
secondary_link,477,27766.564
service,3571,525652.457
steps,431,6995.154
tertiary,1891,772359.659
tertiary_link,229,6409.64
track,511,295773.648
trunk,449,205772.976
trunk_link,510,102585.78
unclassified,1291,577905.773
