,type,id,lat,lon,tags
0,node,694204508,36.321788,59.4775246,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسین', 'name:en': 'Emam Hosein mosque', 'religion': 'muslim'}"
1,node,875819758,36.3264688,59.4928131,"{'amenity': 'fuel', 'compressed_air': 'no', 'fuel:cng': 'yes', 'name': 'پمپ گاز حافظ'}"
2,node,1750032622,36.3167558,59.4779489,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه سروش', 'name:en': 'Soroosh clinic', 'opening_hours': '24/7', 'phone': '+98 511 8677226'}"
3,node,2278077919,36.314926,59.4817143,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
4,node,2278077920,36.3164784,59.4777838,{'amenity': 'atm'}
5,node,2278078283,36.3151292,59.4842352,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
6,node,2278079536,36.3149346,59.4852656,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank'}"
7,node,2278080162,36.3148655,59.4873362,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank'}"
8,node,2278080723,36.314792,59.4886881,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
9,node,2278081142,36.3147834,59.4890636,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
