,type,id,lat,lon,tags
0,node,667008066,36.2747319,59.5760595,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
1,node,667345807,36.2614403,59.5877427,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۱۱', 'name:en': 'FireStation No. 11'}"
2,node,1219647704,36.2725806,59.5902484,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'عدل خمینی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
3,node,2900604804,36.2652845,59.587058,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد و حسینیه سیستانی\u200cها', 'religion': 'muslim'}"
4,node,2990257267,36.2714151,59.5900606,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه اطمینان'}"
5,node,2990257269,36.2697652,59.5885482,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر هدایتفر', 'name:en': 'Hedayat far'}"
6,node,2990420185,36.2710776,59.5898954,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابوالفضل', 'religion': 'muslim'}"
7,node,2990878923,36.27375,59.5909464,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
8,node,2993500937,36.2648886,59.584824,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد الرسول', 'religion': 'muslim'}"
9,node,2993500938,36.2649567,59.5846724,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مجتمع فرهنگی و حسینیه جوادالائمه', 'religion': 'muslim'}"
10,node,2994386724,36.2673418,59.5848957,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد المهدی', 'name:en': 'Almahdi Mosque', 'religion': 'muslim'}"
11,node,3065095577,36.2763913,59.5904396,"{'amenity': 'police', 'emergency': 'police', 'name': 'کلانتری ۱۸ شهید فیاض بخش'}"
12,node,3068489862,36.2761265,59.5902299,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه چهارده معصوم', 'religion': 'muslim'}"
13,node,3068490041,36.2760848,59.5902848,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه شهید محمد حسین دلدار', 'religion': 'muslim'}"
14,node,3260509871,36.2760534,59.5679548,"{'amenity': 'school', 'name': 'مرکز جامع توانبخشی معلولان ذهنی روان کودک'}"
15,node,3413951312,36.2692116,59.5881584,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه\u200cروز ی دکتر بهزاد'}"
16,node,3413951313,36.2690427,59.5880581,"{'amenity': 'restaurant', 'name': 'رستوران پاسارگاد'}"
17,node,3423102690,36.2704724,59.5898647,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'دکتر حسن پور، قاسمی'}"
18,node,3750584434,36.2700852,59.5874745,"{'amenity': 'place_of_worship', 'name': 'جواد الائمه', 'religion': 'muslim'}"
19,node,3847639152,36.2693922,59.5888189,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'مرکز خدمات جامع سلامت امام خمینی', 'source': 'map.ir'}"
20,node,3881862898,36.2753299,59.5896815,"{'amenity': 'school', 'name': 'دبستان و پیش\u200cدبستان زهراء مرضیه'}"
21,node,3881864449,36.2754427,59.5894658,"{'amenity': 'kindergarten', 'name': 'مهد کودک کوثر'}"
22,node,3881867634,36.2764461,59.5901683,"{'amenity': 'police', 'name': 'پلیس +۱۰'}"
23,node,3920599380,36.2653887,59.5906827,"{'amenity': 'school', 'name': 'دبیرستان دخترانه هفتم تیر'}"
24,node,3932115824,36.2756099,59.5735863,"{'addr:city': 'مشهد', 'addr:housenumber': '4/6', 'addr:street': 'جهان آرا', 'amenity': 'place_of_worship', 'name': 'مسجد علی اصغری', 'name:en': 'Mosque Ali Asghari', 'religion': 'muslim'}"
25,node,3932121332,36.2746658,59.5706384,{'amenity': 'taxi'}
