,type,id,lat,lon,tags
0,node,776533575,36.300416,59.6450895,{'amenity': 'parking'}
1,node,1750033043,36.30104,59.6370319,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه\u200cروزی ریحانه', 'opening_hours': '24/7', 'phone': '+98 51 3270 3595'}"
2,node,3420876593,36.2987675,59.6402121,"{'amenity': 'bank', 'name': 'موسسه عسگریه'}"
3,node,3420876693,36.2983768,59.6402684,"{'amenity': 'place_of_worship', 'name': 'مسجد جامع رضوی', 'religion': 'muslim'}"
4,node,3421286705,36.2968354,59.6377981,{'amenity': 'bank'}
5,node,3422065093,36.3006447,59.6436183,"{'amenity': 'bank', 'name': 'بانک رفاه کارگران'}"
6,node,4282128191,36.2999156,59.6439481,{'amenity': 'atm'}
7,node,5081333208,36.3009027,59.6390912,"{'amenity': 'pharmacy', 'name': 'داروخانه شبانه\u200cروزی'}"
8,node,5081351870,36.3010209,59.6389543,"{'amenity': 'place_of_worship', 'name': 'مسجد فقیه آیت الله سبزواری', 'religion': 'muslim'}"
9,node,5310067023,36.2994847,59.6338187,"{'amenity': 'library', 'name': 'کتابخانه آیت الله قزوینی', 'name:en': 'Ghazvini Library'}"
10,node,5314541223,36.295071,59.6445964,"{'amenity': 'fast_food', 'name': 'پیتزا بزرگی', 'name:en': 'Bozorgi pizza'}"
11,node,5314541224,36.2953634,59.6443035,"{'amenity': 'bank', 'name': 'انصار', 'name:en': 'Ansar Bank'}"
12,node,5317031958,36.2936923,59.6452307,"{'amenity': 'fast_food', 'name': 'فست فود', 'office': 'educational_institution'}"
13,node,5323255060,36.2977176,59.641557,"{'amenity': 'bank', 'name': 'تجارت', 'name:en': 'Tejarat Bank'}"
14,node,5323255061,36.2976981,59.6415917,"{'amenity': 'bank', 'name': 'بانک مهر اقتصاد'}"
15,node,5323255062,36.2975129,59.6417421,"{'amenity': 'bank', 'name': 'سپه', 'name:en': 'Sepah Bank'}"
16,node,5323255075,36.2988435,59.6403027,"{'amenity': 'fast_food', 'name': 'پیتزا بزرگی'}"
17,node,5323255077,36.2973631,59.6385755,"{'amenity': 'restaurant', 'name': 'ghasr abooreyhan۱'}"
18,node,5323255078,36.2977397,59.6385118,"{'amenity': 'restaurant', 'name': 'رستوران درویشی'}"
19,node,5323255081,36.2977682,59.6369617,"{'amenity': 'ice_cream', 'name': 'بستنی و آبمیوه فروشی'}"
20,node,5323255082,36.2979308,59.6367776,"{'amenity': 'ice_cream', 'name': 'بستنی غدیر و قادر'}"
21,node,5323255084,36.2998219,59.6349408,"{'amenity': 'pharmacy', 'name': 'داروخانه'}"
22,node,5323269092,36.2992089,59.6408241,"{'amenity': 'restaurant', 'name': 'رستوران رضوی'}"
23,node,5323293953,36.3004045,59.63893,"{'amenity': 'bank', 'name': 'بانک رسالت', 'shop': 'supermarket'}"
24,node,5323313098,36.2983329,59.6401468,"{'amenity': 'restaurant', 'name': 'رستوران رضوی'}"
25,node,5323336635,36.2970223,59.6372944,"{'amenity': 'fast_food', 'name': 'فست فود'}"
26,node,6206286185,36.3009704,59.6363297,"{'amenity': 'bank', 'name': 'بانک مسکن'}"
27,node,6883981685,36.2994487,59.6457774,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین(ع)', 'name:en': 'emam hoseyn hospital'}"
28,node,6883981785,36.2993786,59.6457036,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین (ع)'}"
29,node,6883981885,36.2993826,59.6457135,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین (ع)'}"
30,node,8155265325,36.3016162,59.6370158,"{'amenity': 'bank', 'atm': 'yes', 'bic': '8603', 'branch': 'فجر', 'brand': 'bmi', 'name': 'بانک ملی ایران', 'name:en': 'Melli Bank', 'opening_hours': 'Sa-We 07:30-13:30; Th 07:30-12:30', 'website': 'www.bmi.ir'}"
31,node,8155265331,36.3011752,59.6372411,"{'amenity': 'bank', 'atm': 'yes', 'bic': '4805', 'branch': 'شعبه طبرسی', 'name': 'بانک آینده', 'name:en': 'Ayandeh Bank'}"
32,node,8880370575,36.2995486,59.6401289,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک ایران زمین شعبه مفتح', 'name:en': 'Iran Zamin bank - Mofateh branch'}"
33,node,8880410037,36.300275,59.639581,"{'amenity': 'bank', 'atm': 'yes', 'bic': '8527', 'name': 'بانک ملی شعبه مفتح', 'name:en': 'Melli Bank - Mofateh branch'}"
34,node,8880411297,36.3002465,59.6392403,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک صادرات شعبه سیمتری طلاب', 'name:en': 'Sadearat Bank - Simetri Tolab branch', 'operator': 'Sadearat Bank'}"
35,node,8880415684,36.2992663,59.6404374,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1080', 'name': 'بانک رفاه کارگران شعبه شهید مفتح', 'name:en': 'Refah Kargaran Bank - Mofateh branch', 'operator': 'Refah Kargaran Bank'}"
36,node,9189642717,36.300157,59.6443993,{'amenity': 'doctors'}
