,type,id,lat,lon,tags
0,node,1791445589,36.336948,59.6254884,"{'addr:city': 'مشهد', 'addr:street': 'بولوار خواجه ربیع', 'amenity': 'fire_station', 'name': 'ایستگاه ۲۹ آتش نشانی'}"
1,node,3168068194,36.3289286,59.6239336,"{'amenity': 'place_of_worship', 'name': 'مسجد فاطمه الزهرا', 'religion': 'muslim'}"
2,node,4105434796,36.3297238,59.6242877,"{'addr:street': 'میدان امام حسین', 'amenity': 'veterinary', 'email': 'beheshtifar.pharmacy@gmail.com', 'name': 'داروخانه دامپزشکی دکتر بهشتی فر - کلینیک دکتر شاکری', 'phone': '+98 51 3739 2626 ; +98 915 204 2272'}"
3,node,4558075698,36.3388733,59.6265616,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه پارس'}"
4,node,4558103789,36.338817,59.6318884,{'amenity': 'cafe'}
5,node,4780470626,36.3390805,59.6315406,"{'amenity': 'atm', 'operator': 'sarmaie ATM'}"
6,node,4784056421,36.3406796,59.6282934,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
7,node,5326249317,36.340138,59.6271964,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام جعفر صادق(ع)', 'religion': 'muslim'}"
8,node,5326263520,36.3390076,59.6271892,"{'amenity': 'bank', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
9,node,5352172990,36.3295778,59.624192,"{'amenity': 'internet_cafe', 'name': 'کافی نت'}"
10,node,5352173021,36.3299449,59.6248861,"{'amenity': 'police', 'name': 'کلانتری خواجه ربیع'}"
11,node,5352193323,36.3386566,59.626792,"{'amenity': 'bank', 'name': 'موسسه ملل'}"
12,node,5352210580,36.3405075,59.6283795,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
13,node,5352210969,36.3406662,59.6284054,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'کبابی'}"
14,node,5352215616,36.3404918,59.6288028,"{'amenity': 'fast_food', 'name': 'پیتزا ساندویچ آریا'}"
15,node,5352222520,36.339856,59.6286623,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه روزی', 'opening_hours': '24/7'}"
16,node,5352224343,36.3404621,59.6276849,"{'amenity': 'fast_food', 'name': 'اغذیه'}"
17,node,5352231249,36.3408525,59.6265226,"{'amenity': 'school', 'name': 'مدرسه ابتدایی دخترانه'}"
18,node,5352263865,36.3385181,59.6262538,"{'amenity': 'cafe', 'name': 'کافی شاپ'}"
19,node,6280455285,36.340234,59.6105325,"{'addr:street': '۲۲ بهمن ۴', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر خباز', 'name:en': 'Dr. Khabaz pharmacy', 'operator': 'dr.khabaz'}"
20,node,8084864979,36.3342562,59.6275805,{'amenity': 'toilets'}
21,node,8084864986,36.3319005,59.6271099,"{'amenity': 'toilets', 'name': 'دستشویی'}"
22,node,8085180768,36.3361775,59.6159637,"{'amenity': 'place_of_worship', 'name': 'مسجد امام رضا', 'religion': 'muslim'}"
23,node,10182073867,36.3465187,59.6269711,"{'addr:city': 'مشهد', 'addr:housenumber': 'نبش27', 'addr:street': 'بولوار ۲۲ بهمن', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دامپزشکی دکتر شاکری', 'name:en': 'Dr.Shakeri', 'opening_hours': 'Su-Fr 09:00-20:30'}"
24,node,10282097181,36.350114,59.6282571,"{'amenity': 'fuel', 'name': 'پمپ بنزین'}"
25,node,10282104109,36.3499747,59.628507,"{'amenity': 'fuel', 'name': 'جایگاه CNG'}"
26,node,10767267805,36.3465626,59.6269946,"{'addr:housenumber': '1', 'addr:street': 'بلوار ۲۲ بهمن(جاده کلات)-نبش بهمن ۲۷', 'amenity': 'veterinary', 'email': 'Dr.hamedshakeri@gmail.com', 'name': 'داروخانه دامپزشکی دکتر شاکری(حامی)', 'name:ar': 'شاکری صيدلية بيطرية(حامی)', 'name:en': 'Dr.Hamed Shakeri Vet Pharmacy(HAMI)', 'opening_hours': 'Sa-Fr 09:00-20:30', 'phone': '+989152042272'}"
