,type,id,lat,lon,tags
0,node,667345817,36.2969601,59.6654833,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۱۸', 'name:en': 'FireStation No. 18'}"
1,node,723151440,36.3016774,59.6645953,{'amenity': 'car_wash'}
2,node,2202218923,36.3001154,59.6600749,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
3,node,5072717721,36.3029949,59.6508901,"{'addr:street': 'وحید', 'amenity': 'bank', 'branch': 'دریا', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
4,node,5072718021,36.3031847,59.6512222,"{'amenity': 'bank', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
5,node,5323226072,36.2992488,59.6516742,{'amenity': 'fast_food'}
6,node,5323226073,36.2994044,59.6512183,"{'amenity': 'fast_food', 'name': 'سعید'}"
7,node,5323226083,36.2987667,59.6511913,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد حضرت رفیه', 'religion': 'muslim'}"
8,node,5323226084,36.297691,59.6511515,"{'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank', 'source:name': 'map.ir'}"
9,node,5323255056,36.2991704,59.6503382,{'amenity': 'pharmacy'}
10,node,5323268805,36.2967212,59.6532876,"{'amenity': 'cafe', 'name': 'آبمیوه'}"
11,node,5323268806,36.2971861,59.6531918,"{'amenity': 'bank', 'name': 'بانک صادرات', 'name:en': 'Saderat Bank'}"
12,node,6799464187,36.299438,59.6604775,"{'amenity': 'hospital', 'name': 'بيمارستان ٢٢بهمن', 'name:en': '22th bahman hospital'}"
13,node,8897776095,36.2961966,59.6532027,"{'addr:city': 'مشهد', 'addr:street': 'علامه طباطبایی 23', 'amenity': 'school', 'grades': '10-12', 'name': 'دبیرستان جماران'}"
14,node,8897776096,36.2958854,59.6526018,"{'addr:city': 'مشهد', 'addr:street': 'طباطبایی ۲۳ + نبوت ۳۸', 'amenity': 'school', 'grades': '7-9', 'name': 'دبیرستان خواجه نصیرالدین طوسی'}"
15,node,8897776115,36.2952919,59.6569693,"{'amenity': 'place_of_worship', 'name': 'مسجد فاطمه الزهرا س', 'religion': 'muslim'}"
16,node,8897776116,36.2955835,59.6547263,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسین ع', 'religion': 'muslim'}"
17,node,8898041101,36.295431,59.6519054,"{'amenity': 'school', 'name': 'دبستان پسرانه شهید خطیبی'}"
18,node,8898041102,36.298745,59.6512603,"{'amenity': 'atm', 'currency:rial': 'yes', 'name': 'خودپرداز بانک سپه', 'operator': 'Sepah Bank'}"
19,node,8898041103,36.2976617,59.6511613,"{'amenity': 'atm', 'operator': 'Sepah Bank'}"
20,node,8898041104,36.2971514,59.6531861,"{'amenity': 'atm', 'operator': 'Saderat Bank'}"
21,node,8898041105,36.2971877,59.6528491,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر جعفری نژاد'}"
22,node,8898146459,36.2965643,59.6534151,{'amenity': 'bench'}
23,node,8898146460,36.2965274,59.6533389,{'amenity': 'bench'}
24,node,8898146461,36.2965307,59.6534486,{'amenity': 'bench'}
