,type,id,lat,lon,tags
0,node,1081996447,36.2774301,59.6274019,"{'amenity': 'library', 'name': 'کتابخانه شهید نواب صفوی', 'name:en': 'Shahid Navab Safavi Library', 'phone': '+98 511 3647584'}"
1,node,1243748971,36.2815124,59.6272896,"{'addr:street': 'سرخس ۲', 'amenity': 'fuel', 'fuel:cng': 'yes', 'name': 'جایگاه سوخت گاز طبیعی وحدت', 'name:en': 'CNG'}"
2,node,2133038628,36.2810957,59.6245518,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر میرمعصومی', 'name:en': 'Dr. Mirmasoumi Pharmacy'}"
3,node,3838947149,36.2810583,59.6253514,"{'addr:city': 'مشهد', 'addr:street': 'خیابان سرخس', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد شایسته', 'religion': 'muslim'}"
4,node,3838950182,36.2817793,59.630043,"{'addr:street': 'گلریز۲', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد سجادیه', 'religion': 'muslim'}"
5,node,3838950665,36.2815302,59.6319212,"{'addr:street': 'سرخس 12 (no,12 sarakhs)', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام هادی ع', 'religion': 'muslim', 'subdenomination': 'ithna ashari'}"
6,node,3903707398,36.2801053,59.6295782,"{'addr:street': 'خیابان سرخس', 'amenity': 'bank', 'atm': 'yes', 'branch': 'گلریز', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
7,node,3903707399,36.2800813,59.6303489,"{'amenity': 'atm', 'name': 'بانک ملی ایران', 'operator': 'بانک ملی ایران'}"
8,node,3903707400,36.2801329,59.6301445,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'opening_hours': '24/7'}"
9,node,3903707401,36.2802323,59.6307182,"{'amenity': 'atm', 'operator': 'بانک صادرات ایران'}"
10,node,3903707404,36.2806553,59.6304373,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه تخصصی و فوق تخصصی امام زمان عج', 'name:en': 'Imam Zaman Clinic'}"
11,node,3903707405,36.2792424,59.6345404,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'جلالیه', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
12,node,3903707406,36.2792938,59.6353984,"{'amenity': 'bank', 'atm': 'no', 'branch': 'جلالیه', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
13,node,3903707410,36.2797007,59.632221,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر احراری'}"
14,node,3903707411,36.2808976,59.6276471,"{'addr:street': 'خیابان سرخس', 'amenity': 'bank', 'atm': 'yes', 'branch': 'عدالت', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'بانک سپه'}"
15,node,3903707412,36.2810875,59.626114,"{'amenity': 'atm', 'name': 'بانک سامان', 'operator': 'بانک سامان'}"
16,node,3936277736,36.2797211,59.6283472,"{'amenity': 'school', 'name': 'هنرستان محمودیه ۵'}"
17,node,3936277737,36.280203,59.6290197,"{'amenity': 'school', 'name': 'هنرستان تختی'}"
18,node,3936277738,36.28038,59.6284546,"{'amenity': 'school', 'name': 'دبستان عبداللهیان', 'name:en': 'Abdullahian High school'}"
19,node,3936277739,36.2805456,59.6278335,"{'amenity': 'school', 'name': 'هنرستان شهید احمدی روشن'}"
20,node,3936277740,36.2805494,59.62767,"{'amenity': 'school', 'name': 'دبیرستان شاهد مهدی هاشمی'}"
21,node,3936277744,36.2802189,59.6315063,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'مطب دکتر مریم میرپور'}"
22,node,3936277745,36.2807498,59.6316608,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه نقویه', 'religion': 'muslim'}"
23,node,3951602272,36.2799453,59.6309148,"{'addr:street': 'خیابان سرخس', 'amenity': 'fast_food', 'name': 'اغذیه مظفر'}"
24,node,3994242072,36.2814117,59.6350414,"{'addr:street': 'چمن ۷۶', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام جعفر صادق (ع)', 'religion': 'muslim'}"
25,node,4736784244,36.2813611,59.6248816,"{'amenity': 'restaurant', 'name': 'رستوران'}"
26,node,4826662746,36.2797819,59.630353,{'amenity': 'restaurant'}
27,node,8008557754,36.2862482,59.6304676,"{'amenity': 'courthouse', 'name': 'مجتمع قضایی بهشتی'}"
28,node,10837209195,36.2839343,59.6251738,"{'amenity': 'police', 'name': 'کلانتری ۴۲ شهید نواب صفوی'}"
