,type,id,lat,lon,tags
0,node,516164903,36.3282683,59.501213,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۵', 'name:en': 'Fire Station No. 5'}"
1,node,875819758,36.3264688,59.4928131,"{'amenity': 'fuel', 'compressed_air': 'no', 'fuel:cng': 'yes', 'name': 'پمپ گاز حافظ'}"
2,node,2509636808,36.3293757,59.4968594,"{'addr:city': 'Mashhad', 'addr:country': 'IR', 'addr:housenumber': '37', 'addr:street': 'وکیل اباد', 'amenity': 'fast_food', 'name': 'فست فود لادیز'}"
3,node,2681922262,36.3293828,59.4996539,"{'addr:city': 'Mashhad', 'addr:housename': 'کلبه محبت', 'addr:street': 'وکیل آباد ۳۵', 'amenity': 'restaurant', 'capacity': '40', 'cuisine': 'غذاهای_گیاهی', 'diet:vegetarian': 'yes', 'name': 'کلبه محبت', 'name:en': 'loving hunt', 'phone': '+98-51-38690334'}"
4,node,4114109590,36.3283286,59.4855181,{'amenity': 'internet_cafe'}
5,node,4159815389,36.3262481,59.5007762,{'amenity': 'police'}
6,node,4370698572,36.3283638,59.4968757,"{'addr:housenumber': '05138935580', 'addr:street': 'بزرگراه وکیل آباد', 'amenity': 'driving_school', 'name': 'آموزشگاه رانندگی فداچ', 'opening_hours': 'Sa-Th 07:00-22:00', 'phone': '+98 51 3893 5580'}"
7,node,4511484090,36.3252734,59.5002961,"{'amenity': 'fast_food', 'name': 'چیلی چیز', 'name:en': 'Chilli cheese'}"
8,node,4582299242,36.3286604,59.4961354,"{'addr:street': 'وکیل آباد ۲۸', 'amenity': 'bank', 'brand:wikidata': 'Q10860253', 'name': 'بانک سپه', 'name:en': 'Sepah Bank', 'old_name': 'بانک قوامین'}"
9,node,5140711324,36.3217528,59.4995793,"{'addr:housenumber': '051 3869 3773', 'addr:street': 'صارمی ۳۳', 'amenity': 'school', 'name': 'دانشگاه علوم و فنون هوایی مشهد', 'name:en': 'Aviation University of Mashhad'}"
10,node,5165190521,36.3285569,59.4946183,"{'addr:street': 'نبش حافظ ۲', 'amenity': 'fast_food', 'cuisine': 'pizza', 'drive_through': 'no', 'name': 'پیتزا بیرون\u200cبر سی\u200cسی'}"
11,node,5346672422,36.3315388,59.4937211,"{'addr:street': 'صدف ۳', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'فیزیوتراپی پویان', 'phone': '+98 51 3892 4573'}"
12,node,5715722930,36.3283427,59.5001059,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک سلامت کودک', 'name:en': 'Child Health Clinic'}"
13,node,5932836634,36.3287031,59.4958431,"{'amenity': 'fast_food', 'branch': 'مشهد', 'cuisine': 'sandwich', 'delivery': 'yes', 'name': 'عطاویچ', 'name:en': 'Atavich', 'outdoor_seating': 'no', 'phone': '+98 51 3868 7701', 'takeaway': 'yes'}"
14,node,6131310086,36.3311367,59.4913416,"{'amenity': 'fast_food', 'name': 'فست فود گاجره', 'name:en': 'Fastfood gajereh'}"
15,node,6269880901,36.3292536,59.4964989,"{'amenity': 'restaurant', 'name:ar': 'مطعم اقاج باشي'}"
16,node,6329570028,36.3283177,59.4969348,"{'addr:city': 'مشهد', 'addr:housenumber': '740', 'addr:street': 'بزرگراه وکیل آباد', 'amenity': 'fast_food', 'cuisine': 'pizza;italian', 'delivery': 'yes', 'drive_through': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'yes', 'name': 'firewoodpizza پیتزا هیزمی', 'operator': 'mrebrahimi', 'phone': '+985138698901', 'takeaway': 'yes', 'website': 'www.pizzahizomi.com'}"
17,node,6447935283,36.3214422,59.4965359,"{'amenity': 'cafe', 'name': 'ویتانوش'}"
