,type,id,lat,lon,tags
0,node,314329179,36.2874143,59.6145559,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد گوهرشاد', 'name:en': 'Gowharshad Mosque', 'name:ru': 'Мечеть Гохаршад', 'religion': 'muslim', 'wikidata': 'Q2393680'}"
1,node,1728737489,36.2885182,59.6107353,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد صدیقی\u200cها', 'religion': 'muslim'}"
2,node,3874510909,36.2844529,59.6208549,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
3,node,3874510916,36.2852155,59.6200403,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'place_of_worship', 'name': 'حسینیه پیروان دین نبوی', 'religion': 'muslim'}"
4,node,3874510917,36.285794,59.619366,"{'amenity': 'place_of_worship', 'name': 'مسجد قبله', 'religion': 'muslim'}"
5,node,3874510934,36.2912175,59.6136977,"{'amenity': 'university', 'name': 'مدرسه علمیه نواب'}"
6,node,3874510935,36.2915789,59.6131794,"{'amenity': 'place_of_worship', 'name': 'مسجد ملاهاشم', 'religion': 'muslim'}"
7,node,3903490952,36.2865629,59.618578,"{'amenity': 'parking_entrance', 'parking': 'underground'}"
8,node,3903707362,36.2847541,59.6206891,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه', 'religion': 'muslim'}"
9,node,3903707363,36.2850607,59.6200282,{'amenity': 'fast_food'}
10,node,3903707364,36.2852662,59.619327,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'restaurant', 'name': 'رستوران شهرما'}"
11,node,3903707365,36.2853639,59.6192483,"{'amenity': 'restaurant', 'name': 'کبابی حاج محمود'}"
12,node,3903707367,36.2847512,59.6195879,"{'amenity': 'restaurant', 'name': 'رستوران سعادت'}"
13,node,3903707413,36.284629,59.6200005,"{'amenity': 'fast_food', 'name': 'اغذیه کاکتوس'}"
14,node,3945066711,36.2845265,59.6201366,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}"
15,node,4643857692,36.2902711,59.6127763,"{'amenity': 'atm', 'operator': 'm'}"
16,node,5481980324,36.2850296,59.6110705,"{'addr:street': 'میدان بیت المقدس', 'amenity': 'car_rental', 'name:ar': 'باب الجواد مكان الباص 62 للذهاب الى المراكز الطبية وبيت جبار'}"
17,node,5564583616,36.2850931,59.6106201,"{'amenity': 'parking', 'capacity': '20'}"
18,node,6425756785,36.2858876,59.6105828,"{'amenity': 'car_rental', 'name': 'قرب فلكة آب', 'name:ar': 'مكان الباص رقم 76 يذهب الى احمد اباد مشهد'}"
19,node,6597374960,36.2909147,59.6123381,"{'amenity': 'cafe', 'name': 'Torkan'}"
20,node,8998636922,36.2861997,59.6180542,"{'amenity': 'parking_entrance', 'parking': 'underground'}"
21,node,9537288368,36.289603,59.614152,"{'amenity': 'place_of_worship', 'name': 'دارالقرآن', 'religion': 'muslim'}"
22,node,9684043840,36.2902568,59.6140621,"{'amenity': 'bus_station', 'name': 'ایستگاه زائربر', 'public_transport': 'station'}"
23,node,9684043847,36.2857665,59.618648,"{'amenity': 'bus_station', 'name': 'ایستگاه زائربر', 'public_transport': 'station'}"
24,node,9886623417,36.2897724,59.6128418,"{'amenity': 'pharmacy', 'name': 'دارالشفا', 'opening_hours': '24/7'}"
25,node,10917850707,36.2884575,59.6161701,{'amenity': 'place_of_worship'}
