,type,id,lat,lon,tags
0,node,667325421,36.301832,59.5377378,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
1,node,667325422,36.3185021,59.5311188,"{'amenity': 'telephone', 'payment:coins': 'yes', 'payment:telephone_cards': 'yes'}"
2,node,669075128,36.3054105,59.5266973,"{'amenity': 'college', 'name': 'گروه علوم و صنایع غذایی', 'name:en': 'Department of Food Science & Technology'}"
3,node,679718757,36.3167771,59.5222032,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'مرکز باروری و ناباروری نوین', 'name:en': 'Novin fertility and infertility Center'}"
4,node,1081996558,36.3169876,59.5217897,"{'amenity': 'library', 'name': 'کتابخانه فرهنگ', 'name:en': 'Farhang Public Library', 'phone': '+98 511 8839199'}"
5,node,1566661391,36.3174929,59.5227002,{'amenity': 'school'}
6,node,1750032583,36.3046433,59.5132901,"{'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر نافعی', 'name:en': ""Dr. Nafe'ee drugstore"", 'opening_hours': '24/7', 'phone': '+98 511 8828261'}"
7,node,1750032598,36.3036683,59.5152102,"{'amenity': 'bank', 'atm': 'no', 'branch': 'حر', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan', 'operator': 'Maskan Bank'}"
8,node,1750032605,36.3046124,59.5133516,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه پیروزی', 'name:en': 'Piroozi clinic', 'opening_hours': '24/7', 'phone': '+98 511 8825772'}"
9,node,3807113565,36.3058115,59.5352454,"{'amenity': 'college', 'email': 'ctpl@um.ac.ir', 'name': 'مرکز بین المللی آموزش زبان فارسی به غیرفارسی زبانان', 'name:en': 'International Center for Teaching Persian to Non-Persian', 'website': 'Ctpl.um.ac.ir'}"
10,node,3807170523,36.3038867,59.5306173,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank'}"
11,node,3807170524,36.3038938,59.5307007,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
12,node,3807170525,36.3060124,59.5329615,"{'amenity': 'atm', 'brand': 'بانک تجارت'}"
13,node,3868875594,36.3032588,59.5297293,"{'amenity': 'theatre', 'name': 'آمفی تئاتر', 'name:en': 'Amphitheater'}"
14,node,4386136190,36.3008206,59.5372096,"{'amenity': 'toilets', 'name': 'توالت عمومی'}"
15,node,4417475300,36.2995033,59.5319417,"{'amenity': 'restaurant', 'name': 'کباب رضوی', 'phone': '+98 51 3878 2338'}"
16,node,4552362890,36.3049735,59.5131971,"{'addr:street': 'شهید صارمی ۱', 'amenity': 'fast_food', 'name': 'آویشن سیب زمینی', 'name:en': 'Avishan potato', 'opening_hours': 'Mo-Su 18:00-24:00', 'phone': '+98 51 3882 8584'}"
17,node,4687830297,36.3041883,59.513381,"{'amenity': 'school', 'name': 'دبیرستان نور حیات طیبه', 'name:en': 'Light of good deed life highschool', 'opening_hours': 'Mo-Su 07:20-01:20', 'phone': '+98 51 3882 3407'}"
18,node,4915018705,36.2998301,59.5373067,"{'addr:city': 'مشهد', 'addr:street': 'رضوی ۱۹', 'amenity': 'fast_food', 'cuisine': 'regional', 'delivery': 'yes', 'description': 'شب شنبه تعطیل است.', 'drive_through': 'yes', 'name': 'آشپزخانه طباطبایی', 'name:en': 'Tabatabaei Take away food', 'opening_hours': 'Mo-Su 11:00-24:00', 'outdoor_seating': 'no', 'phone': '+98 51 3879 0258', 'smoking': 'no', 'takeaway': 'yes'}"
19,node,5020208122,36.3143457,59.5156713,"{'amenity': 'courthouse', 'name': 'مجتمع شماره ۴ شوراهای حل اختلاف مشهد'}"
20,node,5055555121,36.301047,59.5386728,"{'amenity': 'cafe', 'name': 'کافی شاپ بیسکویت', 'name:en': 'Biscuit cafe'}"
21,node,5239926163,36.3159375,59.5200993,"{'addr:city': 'مشهد', 'addr:country': 'IR', 'amenity': 'cafe', 'name': 'کافه اتحاد', 'name:en': 'Cafe Etihad'}"
22,node,5440604821,36.3171647,59.5211954,"{'addr:housenumber': '49', 'addr:street': 'کوثر ۵', 'amenity': 'pharmacy', 'email': 'alreda122@gmail.com', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر دانایی', 'name:en': 'Dr.danaee pharmacy', 'phone': '+985138824213'}"
23,node,5836454885,36.3078204,59.528291,"{'amenity': 'library', 'internet_access': 'wlan', 'name': 'آزمایشگاه اتوماسیون و بینایی ماشین', 'name:en': 'Automation & Machine Vision Lab'}"
24,node,5841594886,36.3116638,59.5135375,"{'addr:street': 'بولوار کوثر', 'amenity': 'ice_cream', 'name': 'بستنی سیاه', 'name:en': 'black ice cream', 'opening_hours': 'Mo-Su 12:00-01:30', 'phone': '+98 933 829 1373'}"
25,node,5843554686,36.3078001,59.5280137,"{'amenity': 'library', 'internet_access': 'wlan', 'name': 'آزمایشگاه ابزار اندازه گیری', 'name:en': 'Instrumentation Lab'}"
26,node,6478685480,36.3119283,59.5340747,"{'amenity': 'theatre', 'name': 'آمفی تئاتر دانشکده علوم پایه', 'theatre:type': 'amphi'}"
27,node,6478685585,36.3074965,59.5326216,"{'amenity': 'parking', 'name': 'پارکینگ دانشکده ادبیات'}"
28,node,6657032309,36.3052812,59.513095,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'مطب دکتر اکرمی نژاد', 'phone': '+98 51 3882 9951', 'website': 'www.drakraminejad.com'}"
29,node,6683184785,36.3175788,59.5358162,"{'amenity': 'shower', 'name': 'دستشوي', 'name:en': 'Bathroom'}"
30,node,6817892920,36.3023636,59.5266717,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
31,node,6817892921,36.30233,59.5270237,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
32,node,6817892922,36.3024889,59.5266529,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
33,node,6818237710,36.3123118,59.5362989,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
34,node,6818237711,36.3122087,59.5365538,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
35,node,6818237712,36.312411,59.5365992,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
36,node,6818237713,36.3124492,59.5363682,"{'amenity': 'shelter', 'shelter_type': 'lean_to'}"
37,node,6867166209,36.3030173,59.5280772,"{'amenity': 'restaurant', 'delivery': 'no', 'name': 'تریا وزنی خوابگاه فجر', 'smoking': 'no', 'takeaway': 'yes', 'wheelchair': 'yes'}"
38,node,7671113595,36.3191516,59.5248237,"{'amenity': 'cafe', 'name': 'کافه نون'}"
39,node,7904284027,36.3169777,59.5213886,"{'addr:city': 'مشهد', 'addr:country': 'IR', 'addr:street': 'کوثر ۸/۱', 'amenity': 'social_centre', 'brand': 'کانون فرهنگی تبلیغی راه نور', 'name': 'کانون فرهنگی تبلیغی راه نور', 'phone': '+98518388234', 'website': 'https://rahenoor.ir'}"
40,node,8928072811,36.3116425,59.5379984,{'amenity': 'parking_entrance'}
41,node,8928072813,36.3140947,59.5384693,{'amenity': 'parking_entrance'}
42,node,9216875026,36.3009353,59.5386578,"{'amenity': 'waste_basket', 'waste': 'trash'}"
43,node,9360724335,36.3075308,59.5158639,"{'amenity': 'shelter', 'bench': 'no', 'lit': 'yes', 'shelter_type': 'public_transport'}"
44,node,9361086701,36.3087585,59.5174387,"{'amenity': 'toilets', 'male': 'yes'}"
45,node,9363727262,36.3085657,59.5174363,"{'amenity': 'toilets', 'female': 'yes'}"
46,node,9682991575,36.3055344,59.5156439,"{'amenity': 'toilets', 'unisex': 'yes'}"
47,node,9702360718,36.3189747,59.5247081,"{'amenity': 'fast_food', 'name': 'اغذیه صمدی', 'name:en': 'Samadi food'}"
48,node,9743774055,36.3126234,59.5371254,"{'amenity': 'cafe', 'name': 'تریای دانشکده داروسازی', 'name:en': 'Pharmacy School Cafeteria'}"
49,node,9790283445,36.3155998,59.5361031,{'amenity': 'cafe'}
50,node,9895713706,36.3189354,59.5305892,"{'addr:street': '۳ وکیل آباد', 'amenity': 'studio', 'name': 'سی پلان', 'studio': 'video', 'website': 'https://instagram.com/see.pelan'}"
51,node,10003811783,36.315539,59.5255578,{'amenity': 'cafe'}
52,node,10010711991,36.3136609,59.5351481,"{'amenity': 'library', 'indoor': 'yes', 'level': '1', 'name': 'کتابخانه تخصصی گروه معارف اسلامی', 'name:en': 'Specialized Library of Islamic Teachings'}"
53,node,10010712005,36.312792,59.5352165,"{'amenity': 'conference_centre', 'indoor': 'yes', 'level': '0', 'name': 'تالار دانشجو', 'name:en': 'Daneshjoo Conference Hall'}"
54,node,10010712007,36.3126883,59.5356658,"{'addr:postcode': '9177899191', 'amenity': 'college', 'email': 'tim.pr@mums.ac.ir', 'level': '2', 'name': 'دانشکده طب ایرانی و مکمل', 'name:en': 'School of Persian and Complementary Medicine', 'phone': '+985138848930', 'website': 'https://tim.mums.ac.ir/'}"
55,node,10010712008,36.3135766,59.5350623,"{'amenity': 'conference_centre', 'indoor': 'yes', 'level': '0', 'name': 'تالار امام علی', 'name:en': 'Imam Ali Conference Hall'}"
56,node,10010712009,36.3132859,59.5359689,"{'amenity': 'conference_centre', 'indoor': 'yes', 'level': '0', 'name': 'تالار امام رضا', 'name:en': 'Imam Reza Conference Hall'}"
57,node,10010712010,36.313515,59.5355532,"{'amenity': 'library', 'indoor': 'yes', 'level': '2', 'name': 'کتابخانه دانشکده پزشکی', 'name:en': 'Library of School of Medicine', 'opening_hours': 'Sa-We 08:00-14:00', 'ref:isil': 'IR-201400054', 'website': 'https://medical.mums.ac.ir/medlib'}"
58,node,10010712011,36.3133254,59.5356734,"{'amenity': 'atm', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'indoor': 'yes', 'level': '0', 'name': 'بانک تجارت', 'name:en': 'Tejarat Bank', 'operator': 'بانک تجارت', 'operator:wikidata': 'Q7695198'}"
59,node,10010712013,36.3130472,59.5353308,"{'amenity': 'place_of_worship', 'indoor': 'yes', 'level': '0', 'name': 'نمارخانه', 'name:en': 'Prayer Hall', 'religion': 'muslim'}"
