,type,id,lat,lon,tags
0,node,1750032603,36.2897103,59.5404223,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'رودکی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'operator': 'Mellat Bank'}"
1,node,1750032609,36.2892713,59.5411844,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'خاقانی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
2,node,1750033044,36.2909151,59.5384696,"{'addr:street': 'بولوار پیروزی', 'amenity': 'bank', 'atm': 'yes', 'branch': 'رضاشهر', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'drive_through': 'yes', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
3,node,1750033049,36.2897037,59.5395226,"{'addr:street': 'بولوار پیروزی', 'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
4,node,2427123690,36.2881839,59.5429877,"{'amenity': 'pharmacy', 'dispensing': 'no', 'name': 'داروخانه دکتر شهنواز', 'name:en': 'Dr. Shahnavaz drugstore'}"
5,node,3260508485,36.2931743,59.5358975,"{'amenity': 'school', 'name': 'مرکز جامع توانبخشی معلولان ذهنی رشد'}"
6,node,4417528354,36.2875347,59.5431982,"{'amenity': 'school', 'name': 'دبیرستان بهشت', 'name:en': 'Behesht High School'}"
7,node,4417531200,36.2910653,59.5374202,"{'addr:street': 'بولوار پیروزی', 'amenity': 'register_office', 'name': 'دفتر رسمی ازدواج ۱۱۶ مشهد'}"
8,node,4417531225,36.2911936,59.5370697,"{'amenity': 'school', 'name': 'دبستان بهشت', 'name:en': 'Primary School'}"
9,node,4422402593,36.2894426,59.5402342,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر عطاران', 'name:en': 'Dr.Attaran Pharmacy'}"
10,node,4860877621,36.2897984,59.539642,"{'amenity': 'atm', 'operator': 'آشیونه'}"
11,node,4866947821,36.2800913,59.5430478,"{'amenity': 'fast_food', 'name': 'جلیز و ولیز', 'name:en': 'Jilizoviliz'}"
12,node,4989760122,36.289993,59.5390216,"{'amenity': 'clinic', 'name': 'درمانگاه شبانه روزی صحت'}"
13,node,5018738821,36.2864175,59.5057499,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک و هاسپیس دکتر خطیب', 'name:en': 'Dr.Khatib Hospice', 'phone': '+98 51 3822 9002'}"
14,node,5036468921,36.2921337,59.5386714,"{'addr:city': 'مشهد', 'addr:street': 'بولوار خاقانی', 'amenity': 'school', 'name': 'دبیرستان نمونه دولتی دانیال'}"
15,node,5054195421,36.2794899,59.5059639,"{'amenity': 'bank', 'name': 'غزال ۹', 'name:en': 'Ghazal 9'}"
16,node,5418812467,36.2881944,59.5429348,"{'addr:street': 'پیروزی ۷ (استاد حامد)', 'amenity': 'community_centre', 'name': 'Touchci', 'name:fa': 'تاچ سی - تاچسی'}"
17,node,8112527914,36.2678367,59.5435987,"{'amenity': 'fire_station', 'name': 'ایستگاه ۴۷ آتش نشانی'}"
18,node,8230629517,36.2880214,59.5107665,"{'addr:street': 'بولوار دلاوران', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر حائری', 'name:en': ""Haeri's drugstore"", 'opening_hours': '24/7', 'phone': '+98 51 3823 0838'}"
19,node,8454030528,36.293027,59.5327073,"{'amenity': 'restaurant', 'name': 'جگری چرب و چیلی'}"
20,node,9330368115,36.2877619,59.5104198,"{'addr:city': 'مشهد', 'addr:street': 'بولوار دلاوران بین 45 و 47', 'amenity': 'cafe', 'cuisine': 'coffee_shop', 'name': 'کافه کولاک', 'name:en': 'KOOLAK COFFEE', 'opening_hours': 'Mo-Su 07:00-22:00', 'opening_hours:covid19': 'open', 'phone': '+985138216743'}"
21,node,10296944145,36.2886324,59.5413709,"{'amenity': 'school', 'name': 'دبیرستان دخترانه علم و فرهنگ'}"
22,node,10737870016,36.2930686,59.5327409,"{'amenity': 'restaurant', 'name': 'جگرسرای هفت کباب'}"
