,type,id,lat,lon,tags
0,node,650315340,36.2816457,59.5995532,"{'amenity': 'hospital', 'name': 'بیمارستان فوق تخصصی ارولوژی ایرانیان'}"
1,node,651567794,36.28148,59.5997421,"{'amenity': 'hospital', 'name': 'بیمارستان سینا', 'name:en': 'Sina Hospital', 'wikidata': 'Q574872'}"
2,node,1219618256,36.2763186,59.6010924,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'بهار', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
3,node,1219618469,36.2736483,59.6028198,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'رضوی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
4,node,1750033042,36.2737653,59.6027558,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'مرکز مشاوره حسین بن علی', 'opening_hours': 'Sa-Th 09:00-21:00', 'phone': '+98 9153107953'}"
5,node,2987396683,36.2754482,59.6017556,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
6,node,2987396705,36.2751973,59.6016268,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک رفاه', 'brand:en': 'Refah Bank', 'brand:wikidata': 'Q7307083', 'brand:wikipedia': 'en:Refah Bank', 'name': 'بانک رفاه', 'name:en': 'Refah Bank'}"
7,node,2987494033,36.2753688,59.6019013,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
8,node,2991269394,36.2740387,59.6026379,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد صنعتگران', 'religion': 'muslim'}"
9,node,2991275314,36.2777089,59.6072311,"{'amenity': 'bank', 'name': 'بانک کشاورزی'}"
10,node,2991275735,36.274305,59.6041879,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
11,node,2992608753,36.278013,59.5993395,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'خیابان بهار (شهید بهشتی)', 'name': 'بانک حکمت ایرانیان'}"
12,node,2992608754,36.2778748,59.5989752,"{'amenity': 'bank', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
13,node,2994086548,36.2746707,59.6040245,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
14,node,2994086549,36.2782979,59.6078058,"{'amenity': 'bank', 'name': 'بانک ملت'}"
15,node,2994086560,36.2755667,59.6048146,"{'amenity': 'bank', 'name': 'بانک ملی'}"
16,node,2994086561,36.2757042,59.6049436,"{'amenity': 'bank', 'name': 'بانک سپه'}"
17,node,2994086563,36.2744337,59.6028865,"{'access': 'yes', 'amenity': 'toilets', 'name': 'سرویس بهداشتی عمومی'}"
18,node,2994116022,36.2788143,59.6074834,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
19,node,2994384289,36.2759081,59.6051018,"{'amenity': 'pharmacy', 'name': 'داروخانه الله یاری'}"
