,type,id,lat,lon,tags
0,node,1290365303,36.3331946,59.484706,"{'amenity': 'pharmacy', 'name': 'داروخانه', 'name:en': 'Pharmacy'}"
1,node,1434015469,36.341074,59.4903056,"{'amenity': 'college', 'building': 'yes', 'name': 'دانشگاه علمی کاربردی زندان'}"
2,node,1750032589,36.3378852,59.4956763,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه فردوس', 'name:en': 'Ferdows clinic', 'opening_hours': '24/7', 'phone': '+98 511 8686155'}"
3,node,1750032597,36.33397,59.4787166,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی لادن', 'name:en': 'NewshaNik Office', 'opening_hours': 'Sa-Th 09:00-21:00', 'operator': 'دفتر نمایندگی شرکت نیوشانیک', 'phone': '+98 511 8694604'}"
4,node,1750032616,36.3338986,59.4789217,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'وکیل آباد', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
5,node,2341194466,36.3418351,59.4799521,{'amenity': 'toilets'}
6,node,2376021803,36.3397168,59.4848323,"{'amenity': 'fast_food', 'cuisine': 'burger,_pizza_, sandwich', 'name': 'کامبادن'}"
7,node,2509636808,36.3293757,59.4968594,"{'addr:city': 'Mashhad', 'addr:country': 'IR', 'addr:housenumber': '37', 'addr:street': 'وکیل اباد', 'amenity': 'fast_food', 'name': 'فست فود لادیز'}"
8,node,2627748730,36.3291037,59.473474,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy'}"
9,node,2681922262,36.3293828,59.4996539,"{'addr:city': 'Mashhad', 'addr:housename': 'کلبه محبت', 'addr:street': 'وکیل آباد ۳۵', 'amenity': 'restaurant', 'capacity': '40', 'cuisine': 'غذاهای_گیاهی', 'diet:vegetarian': 'yes', 'name': 'کلبه محبت', 'name:en': 'loving hunt', 'phone': '+98-51-38690334'}"
10,node,4199830895,36.3356517,59.4766692,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک انصار'}"
11,node,4199830896,36.3358641,59.4770228,"{'amenity': 'restaurant', 'name': 'رستوران طلائیه', 'name:en': 'Talaeeye Restaurant'}"
12,node,4199833596,36.3363842,59.4771344,"{'amenity': 'clinic', 'name': 'درمانگاه شبانه روزی ولی عصر (عج)', 'name:en': 'Vali Asr Boarding Clinic'}"
