,type,id,lat,lon,tags
0,node,425564678,36.2851088,59.579301,{'amenity': 'telephone'}
1,node,648517322,36.2747633,59.5911352,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۴', 'name:en': 'FireStation No. 4'}"
2,node,648952252,36.2888383,59.5789291,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالنبی', 'religion': 'muslim'}"
3,node,650210480,36.281121,59.5905526,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
4,node,655159563,36.2739861,59.5922638,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان امام خمینی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
5,node,655159564,36.2737476,59.5926576,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان امام خمینی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
6,node,658405577,36.2826029,59.5719142,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر هادیزاده', 'name:en': 'Pharmacy'}"
7,node,658405601,36.2832649,59.573936,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر رامیار اسلامی', 'name:en': 'Pharmacy'}"
8,node,658405603,36.2834987,59.5754699,"{'amenity': 'bank', 'atm': 'no', 'name': 'ملت', 'operator': 'Mellat Bank'}"
9,node,663006115,36.2767123,59.575465,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه امام محمد تقی', 'religion': 'muslim'}"
10,node,663006123,36.2802533,59.5737722,"{'amenity': 'bank', 'atm': 'yes', 'bic': '2818', 'branch': 'امیر کبیر', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
11,node,664453507,36.2864795,59.5902542,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'انقلاب اسلامی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
12,node,667008066,36.2747319,59.5760595,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
13,node,667008088,36.283282,59.5776953,"{'amenity': 'telephone', 'payment:telephone_cards': 'yes'}"
14,node,687715517,36.2869829,59.5743891,"{'amenity': 'bank', 'atm': 'yes', 'bic': '136', 'branch': 'کوهسنگی', 'brand': 'بانک سینا', 'brand:en': 'Sina Bank', 'brand:wikidata': 'Q10860246', 'brand:wikipedia': 'en:Sina Bank', 'name': 'بانک سینا', 'name:en': 'Sina Bank', 'operator': 'Sina Bank'}"
15,node,687715533,36.2893572,59.5803413,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'الندشت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
16,node,1219647704,36.2725806,59.5902484,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'عدل خمینی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
17,node,1750032586,36.2875189,59.5779354,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر پیروز', 'name:en': 'Dr. Pirooz pharmacy', 'opening_hours': '24/7', 'phone': '+98 511 8412228'}"
18,node,1750032590,36.2815167,59.572764,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی حیان', 'name:en': 'Hayyan clinic', 'opening_hours': '24/7', 'phone': '+98 511 8425647'}"
19,node,2427123773,36.2845165,59.5783982,"{'amenity': 'atm', 'operator': 'Hekmat Iranian Bank'}"
20,node,2427124554,36.2893143,59.580234,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'رستوران درویش'}"
21,node,2493167496,36.285588,59.5911772,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'انقلاب اسلامی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
