,type,id,lat,lon,tags
0,node,344463542,36.301873,59.5932674,"{'amenity': 'bank', 'name': 'بانک مسکن', 'name:en': 'Maskan', 'operator': 'Maskan Bank'}"
1,node,344463563,36.3013282,59.5920795,"{'amenity': 'bank', 'bci': '8555', 'branch': 'تختی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
2,node,344463748,36.3014541,59.5924248,"{'amenity': 'bank', 'branch': 'سعدآباد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
3,node,667330140,36.306391,59.6025039,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۱', 'name:en': 'FireStation No. 1'}"
4,node,668994185,36.3064856,59.5951381,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'مطهری', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
5,node,668994186,36.306759,59.5957142,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر رحمانی', 'name:en': 'Dr. Rahmani Drugstore'}"
6,node,670899554,36.2985737,59.5914949,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'پل خاکی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
7,node,1183473358,36.2989029,59.5972923,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد صاحب الزمان', 'name:en': 'Saheb-al-Zaman Mosque', 'religion': 'muslim'}"
8,node,2614629930,36.3014005,59.6059662,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': '۱۲ امامی\u200cها', 'name:ar': '12 الأئمة', 'name:en': '12 emamiha', 'religion': 'muslim'}"
9,node,2615131100,36.3003445,59.5997795,{'amenity': 'school'}
10,node,2615131101,36.3006093,59.6013969,"{'amenity': 'place_of_worship', 'name': 'مسجد سجادیه', 'name:en': 'sajjadiye', 'religion': 'muslim'}"
11,node,2615131102,36.3001386,59.6039725,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
12,node,3179633986,36.3183832,59.5909502,{'amenity': 'fuel'}
13,node,3260501755,36.3018616,59.5938623,"{'amenity': 'school', 'name': 'مرکز آموزشی خصوصی کم توانان ذهنی روان پویا'}"
14,node,3294177314,36.3030517,59.608635,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
15,node,3316899445,36.3003344,59.6073202,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
16,node,3316924185,36.2985855,59.6047829,{'amenity': 'bank'}
17,node,3491786100,36.29869,59.6056301,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان شهدا', 'brand': 'بانک شهر', 'brand:en': 'Shahr Bank', 'brand:wikidata': 'Q5941033', 'brand:wikipedia': 'fa:بانک شهر', 'name': 'بانک شهر', 'name:en': 'Shahr Bank', 'opening_hours': '07:30-13:30', 'operator': 'شهرداری مشهد', 'wheelchair': 'yes'}"
18,node,3946843858,36.2985811,59.6058316,"{'amenity': 'restaurant', 'cuisine': 'coffee_shop', 'name:ar': 'كوفي شوب'}"
19,node,3954624162,36.3055516,59.5980641,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
20,node,3954767982,36.305633,59.5968131,"{'amenity': 'library', 'description': 'تاسیس ۱۳۵۰', 'name': 'کتابخانه عمومی علامه طباطبایی'}"
21,node,3956315398,36.3045022,59.5973616,"{'amenity': 'telephone', 'name': 'تلفن کارتی'}"
22,node,3956315399,36.3047106,59.5969533,"{'amenity': 'taxi', 'name': 'ایستگاه تاکسی بیسیم ۱۸۳۰', 'phone': '+98 51 1830'}"
23,node,3956330430,36.3034719,59.599247,"{'amenity': 'bank', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
