,type,id,lat,lon,tags
0,node,667345816,36.2782973,59.6156427,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۲۴', 'name:en': 'Firestation No. 24'}"
1,node,1750032619,36.2773568,59.6235539,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد شجره', 'name:en': 'Shajareh Mosque', 'religion': 'muslim'}"
2,node,1750032626,36.2835299,59.6142174,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه خیریه حضرت علی بن موسی الرضا', 'name:en': 'aliebn mosalreza', 'opening_hours': '24/7', 'phone': '+98 511 2217123'}"
3,node,2991275923,36.2834121,59.6124405,"{'amenity': 'police', 'emergency': 'police', 'name': 'ایستگاه پلیس راهنمایی و رانندگی'}"
4,node,2994094047,36.2838851,59.6127966,"{'amenity': 'atm', 'name': 'بانک تجارت'}"
5,node,3339389677,36.2841593,59.6192128,"{'amenity': 'charging_station', 'name': 'پارکینگ'}"
6,node,3844165661,36.2771385,59.615559,"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes'}"
7,node,3844166061,36.2782676,59.6203124,"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'no', 'operator': 'شهرداری مشهد'}"
8,node,3844166158,36.2770215,59.6173907,"{'amenity': 'taxi', 'name': '۱۷ شهریور'}"
9,node,3871519783,36.27825,59.6209887,"{'amenity': 'townhall', 'name': 'منطقه ۶ شهرداری مشهد'}"
10,node,3874510908,36.2835909,59.6217061,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'bank', 'atm': 'yes', 'branch': 'صفوی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
11,node,3874510909,36.2844529,59.6208549,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
12,node,3874510910,36.2837924,59.6207385,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک سپه', 'name:en': 'Sepah Bank'}"
13,node,3874510916,36.2852155,59.6200403,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'place_of_worship', 'name': 'حسینیه پیروان دین نبوی', 'religion': 'muslim'}"
14,node,3874510917,36.285794,59.619366,"{'amenity': 'place_of_worship', 'name': 'مسجد قبله', 'religion': 'muslim'}"
15,node,3903490952,36.2865629,59.618578,"{'amenity': 'parking_entrance', 'parking': 'underground'}"
16,node,3903707359,36.2840393,59.6212052,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy'}"
17,node,3903707362,36.2847541,59.6206891,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'حسینیه', 'religion': 'muslim'}"
18,node,3903707363,36.2850607,59.6200282,{'amenity': 'fast_food'}
19,node,3903707364,36.2852662,59.619327,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'restaurant', 'name': 'رستوران شهرما'}"
20,node,3903707365,36.2853639,59.6192483,"{'amenity': 'restaurant', 'name': 'کبابی حاج محمود'}"
21,node,3903707367,36.2847512,59.6195879,"{'amenity': 'restaurant', 'name': 'رستوران سعادت'}"
22,node,3903707413,36.284629,59.6200005,"{'amenity': 'fast_food', 'name': 'اغذیه کاکتوس'}"
23,node,3936156897,36.2830748,59.621677,"{'amenity': 'atm', 'name': 'بانک ملت'}"
24,node,3945066711,36.2845265,59.6201366,"{'addr:street': 'شهید نواب صفوی', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}"
25,node,4046603930,36.281392,59.6236811,"{'amenity': 'police', 'name': 'پلیس راهور'}"
26,node,4348224442,36.285029,59.6231401,"{'amenity': 'parking', 'name': 'پارکینگ مجتمع آرمان'}"
27,node,4736784245,36.2818494,59.6233953,"{'amenity': 'police', 'name': 'ایستگاه نیروی انتظامی'}"
28,node,4807513436,36.2842801,59.6134004,{'amenity': 'restaurant'}
29,node,5006304023,36.2773384,59.6171555,{'amenity': 'ice_cream'}
30,node,5006304722,36.2781278,59.6210247,{'amenity': 'fast_food'}
31,node,5268799421,36.2827581,59.6122336,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'بیت'}"
32,node,5303378624,36.2801251,59.6159347,{'amenity': 'toilets'}
33,node,5775842453,36.2842346,59.6136313,"{'amenity': 'restaurant', 'name:ar': 'مطعم ابن الرضا فلافل'}"
34,node,5811407655,36.2841489,59.6192423,"{'amenity': 'motorcycle_parking', 'operator': 'پارکینگ'}"
35,node,6357939887,36.2836496,59.6198548,"{'amenity': 'motorcycle_parking', 'operator': 'پارکینگ بازارضامن'}"
36,node,7056255020,36.2817623,59.6238432,"{'amenity': 'cafe', 'name': 'شیوخ کافیشاپ'}"
37,node,8437818217,36.2811717,59.6151005,"{'addr:street': 'عیدگاه ۱۰', 'amenity': 'place_of_worship', 'name': 'قفل گرها', 'name:ar': 'حسينية قفل گرها'}"
38,node,8778223323,36.2814166,59.6174846,"{'amenity': 'place_of_worship', 'name': 'حسینیه شمشیر گرها'}"
39,node,8998636922,36.2861997,59.6180542,"{'amenity': 'parking_entrance', 'parking': 'underground'}"
40,node,9684043847,36.2857665,59.618648,"{'amenity': 'bus_station', 'name': 'ایستگاه زائربر', 'public_transport': 'station'}"
41,node,10164893002,36.2806726,59.6237428,"{'amenity': 'ice_cream', 'name': 'آبمیوه بستنی خاص'}"
