,type,id,lat,lon,tags
0,node,266219155,36.3202436,59.5218189,"{'amenity': 'school', 'name': 'هنرستان فنی'}"
1,node,650315297,36.3203383,59.5267839,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک خاتم', 'name:en': 'Khatam Day Clinic'}"
2,node,651567772,36.32142,59.52233,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر انصاری', 'name:en': 'Dr. Ansari Drugstore'}"
3,node,659720445,36.32029,59.52564,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'opening_hours': 'Sa-We 07:30-13:30; Th 07:30-12:30'}"
4,node,659720453,36.3210419,59.5233577,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
5,node,659720454,36.3294271,59.5268836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
6,node,1750032581,36.3315406,59.5176589,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه چمران', 'name:en': 'Chamran clinic', 'opening_hours': '24/7', 'phone': '+98 511 6065157'}"
7,node,1750032585,36.3237463,59.5114549,"{'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر نظری تولایی', 'name:en': 'Dr. Nazari drugstore', 'opening_hours': '24/7', 'phone': '+98 5118834289'}"
8,node,1750032600,36.3241697,59.5101127,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'operator': 'Mellat Bank'}"
9,node,1750032620,36.3237886,59.5113352,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی سینا', 'name:en': 'Sina clinic', 'opening_hours': '24/7'}"
10,node,2427123702,36.3224266,59.5253323,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': 'فارد فود', 'name:en': 'Fared Food'}"
11,node,2478638935,36.3298722,59.52302,"{'amenity': 'cafe', 'name': 'سنت سرای شن های سفید', 'name:en': 'White sands Cafe'}"
12,node,4143451292,36.3277443,59.528379,"{'amenity': 'atm', 'check_date': '2022-09-11', 'opening_hours': '24/7'}"
13,node,4222445563,36.3244273,59.5092978,"{'addr:street': 'هنرستان', 'amenity': 'taxi', 'name': 'تاکسی خطی هنرستان', 'opening_hours': 'Mo-Th, Sa, Su 07:00-22:00'}"
14,node,4235441394,36.3315619,59.5178787,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه شبانه\u200cروزی دکتر بنی اسد', 'name:en': 'Pharmacy', 'opening_hours': '24/7'}"
15,node,4235478789,36.3317857,59.5171923,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر مولوی', 'name:en': 'Dr.Molavi Pharmacy'}"
16,node,4337948892,36.3220718,59.5200119,"{'amenity': 'restaurant', 'cuisine': 'persian', 'description': 'كیفیت غذای عالی برنج عالی فضا معمولی رو به خوب', 'name': 'رستوران و کترینگ ریخته گرزاده', 'name:en': 'Rikhtegar zadeh catering'}"
17,node,4364715491,36.3277479,59.5279954,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر طلاساز'}"
18,node,4428117356,36.3245908,59.5121148,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'راستگو', 'name:en': 'Raastgoo Restaurant', 'outdoor_seating': 'no'}"
19,node,4428565995,36.3247246,59.5134331,"{'addr:street': 'سید رضی ۴', 'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'دکتر'}"
20,node,4540097839,36.3329489,59.5150512,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد غدیر باباعلی', 'religion': 'muslim'}"
21,node,4540097840,36.3308238,59.5194799,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
22,node,4584886690,36.3287316,59.5268023,"{'amenity': 'bank', 'brand': 'بانک مهر اقتصاد', 'brand:wikidata': 'Q5942921', 'brand:wikipedia': 'fa:بانک مهر اقتصاد', 'name': 'بانک مهر اقتصاد', 'name:en': 'Mehr Eqtesad Bank'}"
23,node,5143656468,36.3208885,59.5240206,"{'amenity': 'fast_food', 'cuisine': 'arab;pizza;fast_food', 'name': 'رستوران لیالی لبنان'}"
24,node,5219394322,36.3203617,59.513856,"{'amenity': 'parking', 'operator': 'پارکینگ آبان پلازا و هایپرمی'}"
25,node,5317032028,36.3324413,59.5150396,"{'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
26,node,5352126957,36.3208563,59.5146985,"{'amenity': 'bank', 'name': 'کارواش'}"
27,node,5779839559,36.3204886,59.5110003,"{'amenity': 'restaurant', 'name': 'هالیدیز', 'name:en': 'Holidays'}"
28,node,5856311095,36.3238176,59.5112349,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'دکتر نوشین کاوسی'}"
29,node,5871416987,36.3289334,59.5273607,{'amenity': 'toilets'}
30,node,5909938586,36.3238355,59.5111675,"{'amenity': 'nursing_home', 'name:ar': 'دكتوره نوشين كاوسي'}"
31,node,5940439998,36.3324437,59.5167451,"{'amenity': 'restaurant', 'name': 'کبابی بناب اصلی', 'name:en': 'kababi banab'}"
32,node,6166452922,36.3293531,59.5268912,"{'amenity': 'atm', 'operator': 'بانک کشاورزی'}"
33,node,6166452923,36.3308585,59.5209762,"{'amenity': 'atm', 'operator': 'Ansar Bank'}"
34,node,6166452924,36.3309241,59.5196184,"{'amenity': 'atm', 'operator': 'Saderat Bank'}"
35,node,6166452925,36.3322639,59.5155653,"{'amenity': 'atm', 'operator': 'Qarz Al-Hasane Mehr Bank'}"
36,node,6166452929,36.3333546,59.5122057,"{'addr:street': 'چهارراه دانش آموز', 'amenity': 'bank', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
37,node,6166453288,36.3333407,59.5121853,"{'amenity': 'atm', 'operator': 'بانک ملی'}"
38,node,6166454210,36.3294388,59.5245182,"{'amenity': 'atm', 'operator': 'Kar Afarin Bank'}"
39,node,6166454211,36.3305606,59.5211144,"{'amenity': 'atm', 'operator': 'Mellat Bank'}"
40,node,6166454212,36.3313087,59.5197333,"{'amenity': 'atm', 'operator': 'Refah Bank'}"
41,node,6166454213,36.3320085,59.5167441,"{'amenity': 'atm', 'operator': 'Tosea Taavon Bank'}"
42,node,6166454214,36.3321892,59.5158468,"{'amenity': 'atm', 'operator': 'Noor Bank'}"
43,node,6166454215,36.3331483,59.5137745,"{'amenity': 'atm', 'operator': 'بانک قوامین'}"
44,node,6166474885,36.3300608,59.5226176,"{'amenity': 'atm', 'operator': 'Sina Bank'}"
45,node,6353552785,36.3223276,59.5198775,"{'amenity': 'nursing_home', 'name': 'خونمون'}"
46,node,6689946285,36.3208941,59.5240087,"{'amenity': 'restaurant', 'name:ar': 'مطعم ليالي لبنان'}"
47,node,7008437669,36.3267041,59.5209582,"{'addr:city': 'مشهد', 'addr:housenumber': '214', 'addr:street': 'معاد ۱۶', 'amenity': 'school', 'denomination': 'shia', 'name': 'موسسه فرهنگی هنری شهر بهشت', 'religion': 'muslim'}"
48,node,7120285385,36.3328976,59.5135717,"{'amenity': 'car_wash', 'name': 'کارواش ولیعصر', 'name:en': 'Vali Asr Carwash'}"
49,node,7178563036,36.3231007,59.513629,"{'amenity': 'ice_cream', 'name': 'بستنی مک لی'}"
50,node,7500204985,36.3244933,59.5120246,"{'addr:housenumber': 'No.505', 'addr:street': 'بلوار وکیل آباد بین ٢٣ و ٢۵', 'amenity': 'veterinary', 'name': 'کلینیک تخصصی حیوانات خانگی آراد', 'name:en': 'Arad Veterinary', 'phone': '05136017525'}"
