,type,id,lat,lon,tags
0,node,2990670289,36.3642727,59.4905487,"{'addr:housenumber': 'میثاق 31', 'addr:street': 'بلوار میثاق', 'amenity': 'pharmacy', 'name': 'داروخانه رضوانی', 'name:en': 'Rezvani Drag store'}"
1,node,2996086838,36.3606195,59.4947629,"{'amenity': 'fast_food', 'name': 'فست فود سایه', 'phone': '+985135212070'}"
2,node,4147825289,36.3575203,59.5029087,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر میرخزیمه'}"
3,node,4147825290,36.3603297,59.4942475,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر محمدیان'}"
4,node,4192578294,36.3543024,59.4882686,{'amenity': 'waste_basket'}
5,node,4192644394,36.3553256,59.4878002,"{'amenity': 'recycling', 'recycling_type': 'container'}"
6,node,4251236290,36.3607263,59.4959447,"{'addr:street': 'فلاحی ۱۳', 'amenity': 'bank', 'name': 'بانک سپه (انصار سابق)', 'opening_hours': 'Sa-Th 07:00-14:00'}"
7,node,4305805665,36.3572561,59.488678,"{'amenity': 'pharmacy', 'name': 'داروخانه شبانه روزی دکتر مهرافشان'}"
8,node,4500589831,36.3557697,59.5016457,"{'addr:housenumber': '1', 'addr:street': 'شاهد ۳۲', 'amenity': 'dentist', 'email': 'reza.sheykhi25@gmail.com', 'name': 'تعطیل', 'name:en': 'closed', 'opening_hours': 'Mo-Su 22:00-09:00', 'phone': '+98 12 3947 88958'}"
9,node,4536451690,36.3522124,59.5030135,{'amenity': 'telephone'}
10,node,4536476989,36.3521759,59.5023753,{'amenity': 'drinking_water'}
11,node,4561870790,36.361345,59.4963224,"{'amenity': 'bank', 'name': 'بانک سپه'}"
12,node,4598473354,36.3571297,59.488436,"{'amenity': 'restaurant', 'name': 'رستوران آقاجون'}"
13,node,4859614422,36.3573909,59.4888301,"{'amenity': 'bank', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
14,node,4917746594,36.3643118,59.4905734,"{'addr:street': 'میثاق ۳۱', 'amenity': 'clinic', 'name': 'درمانگاه شبانه روزی نسیم سلامت'}"
15,node,5155656162,36.3523069,59.498743,"{'addr:street': 'بولوار شریعتی', 'amenity': 'pharmacy', 'building': 'yes', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر کوهرخی'}"
16,node,5157339671,36.3529717,59.5018597,"{'amenity': 'fast_food', 'building': 'yes', 'cuisine': 'pizza;burger', 'name': 'فست فود دهکده'}"
17,node,5163197405,36.3523155,59.4980037,"{'amenity': 'bank', 'building': 'yes', 'name': 'بانک حکمت ایرانیان'}"
18,node,5163197406,36.3523128,59.4980875,"{'amenity': 'fast_food', 'building': 'yes', 'name': 'فست فود'}"
19,node,5163197521,36.3523142,59.4983135,"{'amenity': 'restaurant', 'building': 'yes', 'name': 'جگرکی'}"
20,node,5170830652,36.3551659,59.5015685,{'amenity': 'ice_cream'}
21,node,5302973307,36.358738,59.5055432,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابوالفضل', 'religion': 'muslim'}"
22,node,5302973315,36.3589429,59.50421,"{'amenity': 'cafe', 'name': 'آبمیوه هندونه'}"
23,node,5302973319,36.3638599,59.5055973,"{'amenity': 'restaurant', 'name': 'رستوران مایسا'}"
24,node,5313843034,36.3576739,59.4901222,"{'amenity': 'fast_food', 'name': 'فست فود ماندگار', 'name:en': 'Mandegar Fast food'}"
25,node,5313843036,36.3596482,59.4930673,"{'amenity': 'fast_food', 'name': 'کیان برگر', 'name:en': 'Kian Burger'}"
26,node,5315179586,36.3578241,59.4896409,"{'amenity': 'atm', 'operator': 'عابر بانک پارسیان'}"
27,node,5315179587,36.3572333,59.4892923,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه پارسیان'}"
28,node,5352127445,36.3571353,59.4890922,"{'amenity': 'internet_cafe', 'name': 'کافی نت'}"
29,node,5352131963,36.3541628,59.4878415,"{'amenity': 'restaurant', 'name': 'رستوران نارنجی'}"
30,node,5352149774,36.3620944,59.5030617,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name:en': 'Mosque', 'religion': 'muslim'}"
31,node,5463056383,36.3578413,59.4916803,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر صفاری', 'name:en': 'Dr.safari Pharmacy'}"
32,node,5593722225,36.3593574,59.5042888,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر صفرنژاد'}"
33,node,5961356978,36.3540642,59.4878453,"{'amenity': 'cafe', 'name': 'کافی شاپ طعمی نو'}"
34,node,6161996286,36.3528745,59.5018656,"{'addr:housenumber': '175 برج ایلماه', 'addr:street': '31', 'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'مطب دکتر بهزاد مهرابی', 'name:en': 'Dr. Behzad Mehrabi', 'name:fa': 'مطب دندانپزشکی دکتر بهزاد مهرابی'}"
35,node,6186304585,36.3526349,59.5019013,"{'addr:housenumber': '175برج ایلما', 'addr:street': '33', 'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'مطب دندانپزشکی دکتر بهزاد مهرابی', 'name:en': 'Dr. Behzad Mehrabi', 'opening_hours': 'Sa-We 10:00-20:30'}"
36,node,6346931685,36.3572684,59.5019181,"{'amenity': 'restaurant', 'name': 'کباب سنگی'}"
37,node,9515573897,36.3542095,59.4914129,"{'addr:city': 'شهر مشهد', 'addr:housenumber': '-1', 'addr:street': 'شریعتی ۴۷', 'air_conditioning': 'yes', 'amenity': 'library', 'description': 'یه سالن مطالعه خوب با نظارت مستقیم سرپرستان آموزش دیده از همه مهمتر مجوز رسمی اداره کتابخانه های استان ما در پنجمین سال فعالیت و به عنوان اولین سالن مطالعه مطالعه متمرکز در غرب مشهد توانستیم به لطف خدا دومین مجموعه در سطح استان باشیم', 'image': 'https://www.google.com/maps/uv?pb=!1s0x3f6c8d329583f839%3A0x4ad8e2dd4d61e96e!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOcooxNjz6FhVtdTjd5-JKZzhlo2tuU60WevV2-%3Dw130-h87-n-k-no!5z2LPYp9mE2YYg2YXYt9in2YTYudmHINmF2KfYr9ixIC0gR29vZ2xlIFN', 'internet_access': 'no', 'name': 'سالن مطالعه مادر', 'opening_hours': 'everyday 08:00-23:00', 'operator': 'Esmati Mohammadrza', 'operator:type': 'private', 'phone': '+989105795646'}"
38,node,10789130694,36.3547376,59.4933593,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر حجت نوروزی'}"
