,type,id,lat,lon,tags
0,node,658405611,36.3134078,59.5627071,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1801', 'fax': '+98-511-7640050', 'name': 'اقتصاد نوین', 'name:en': 'Eghtesad Novin-Sajad branch', 'operator': 'Eghtesad Novin', 'phone': '+98-511-7681011-12'}"
1,node,658439769,36.3144545,59.5614859,"{'access': 'yes', 'amenity': 'parking', 'capacity': '24', 'capacity:disabled': '24', 'email': 'info@optimpark.com', 'fee': 'yes', 'name': 'پارکینگ مکانیزه پیام', 'name:en': 'Payam mechanized parking', 'name:fa': 'پارکینگ مکانیزه پیام', 'operator': 'Mashhad Municipality', 'operator:type': 'government', 'park_ride': 'yes', 'parking': 'multi-storey', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'phone': '+982128111113', 'surface': 'steel', 'website': 'https://optimpark.com/'}"
2,node,667296553,36.3139027,59.5612836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'بولوار سجاد', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
3,node,667296554,36.314261,59.5615282,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'هدایت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
4,node,670076274,36.3120588,59.5599301,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'رستوران پسران کریم', 'name:en': ""Karim's Sons Restaurant""}"
5,node,670076280,36.311378,59.5619812,"{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'رستوران ایران ایتالیا', 'name:en': 'Iran-Italia Restaurant'}"
6,node,670899452,36.3144902,59.5637083,"{'amenity': 'library', 'name': 'کتابخانه هجرت', 'name:en': 'Hejrat Library', 'phone': '+98 511 7630094'}"
7,node,677097444,36.3116559,59.5578767,"{'amenity': 'library', 'name': 'کتابخانه مسجد قبا', 'name:en': 'Library of Quba Mosque'}"
8,node,679718762,36.3046817,59.5653599,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد المهدی', 'religion': 'muslim'}"
9,node,841752280,36.3059599,59.5659102,"{'amenity': 'fast_food', 'cuisine': 'chicken', 'name': 'مرغ بریان افشین', 'name:en': 'Afshin Grilled Chicken'}"
10,node,841764754,36.3113376,59.5622302,"{'amenity': 'fast_food', 'name': 'پیتزا و ساندویچ ۲ در ۱', 'name:en': 'pizza & sandwich 2x1'}"
11,node,841764760,36.3114154,59.5617689,"{'amenity': 'cafe', 'name': 'AX'}"
12,node,841772837,36.3142683,59.5605994,"{'amenity': 'cafe', 'name': 'فانوس طلایی'}"
13,node,3730227093,36.3134541,59.5628646,"{'addr:city': 'مشهد', 'addr:housenumber': 'واحد 11', 'addr:street': 'نبش بیستون مجتمع تک طبقه منهای یک', 'amenity': 'internet_cafe', 'description': 'نمایندگی رسمی صبانت در خراسان رضوي', 'internet_access': 'service', 'name': 'تکنیک رایانه (صبانت مشهد)', 'name:en': 'Sabanet Technic Rayaneh', 'opening_hours': 'Sa-Th 09:00-13:00', 'phone': '+98 51 3761 5917;+98 51 3761 2317', 'website': 'http://www.ctechnic.com'}"
14,node,4408345389,36.3113688,59.5616485,"{'addr:street': 'خیابان فرهاد', 'amenity': 'fast_food', 'name': 'خانه پیتزا', 'name:en': 'pizza house'}"
15,node,4417954259,36.3052989,59.5657128,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
16,node,4417954286,36.3143215,59.5608329,"{'amenity': 'bank', 'brand': 'بانک سرمایه', 'brand:en': 'Sarmayeh Bank', 'brand:wikidata': 'Q7424291', 'brand:wikipedia': 'en:Sarmayeh Bank', 'name': 'بانک سرمایه', 'name:en': 'Sarmayeh Bank'}"
17,node,4486488892,36.3024369,59.560291,{'amenity': 'atm'}
18,node,4536966391,36.3028722,59.5596407,"{'addr:street': 'نبش ملک آباد ۱', 'amenity': 'school', 'name': 'دبیرستان خیلج فارس، پارکینگ تالار معلم', 'name:en': 'Persian Gulf High School'}"
19,node,4536994089,36.3034889,59.560059,"{'addr:street': 'ملک آباد ۱، نبش قدس ۲، تالار معلم', 'amenity': 'restaurant', 'name': 'مرکز آموزشی و رفاهی فرهنگیان ناحیه ۳ خانه معلم', 'phone': '+98 51 376 83050;+98 51 376 82963'}"
20,node,4807534821,36.3073141,59.5619809,"{'addr:street': 'فلسطین ١٨', 'amenity': 'cafe', 'name': 'شبدیز', 'name:en': 'shabdiz'}"
21,node,4899748121,36.3096953,59.5541675,"{'addr:street': 'بولوار خیام', 'amenity': 'police', 'name': 'فرماندهی انتظامی استان خراسان رضوی', 'name:en': 'setad farmandehi naja'}"
22,node,4926066521,36.3051018,59.5626649,"{'amenity': 'school', 'name': 'مدرسه جدید یارن', 'name:en': 'Yaren Yeni okul'}"
23,node,4948814522,36.3117958,59.5617652,"{'addr:street': 'خیابان فرهاد', 'amenity': 'restaurant', 'name': 'کافه غذا', 'name:en': 'Cafe Ghaza', 'phone': '+98 51 3764 3693'}"
24,node,5254203429,36.310521,59.5668358,"{'addr:street': 'خیابان دستغیب ۱۹', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر قشمشم', 'name:en': 'Dr. Ghashamsham Pharmacy', 'opening_hours': '24/7'}"
25,node,5254253621,36.3126863,59.5637459,"{'addr:street': 'بولوار شهید آیت الله دستغیب', 'amenity': 'bank', 'name': 'بانک ملت', 'name:en': 'Mellat'}"
26,node,5256491353,36.3014318,59.5670582,"{'amenity': 'music_school', 'name': 'آموزشگاه موسیقی بیداد'}"
27,node,5256491354,36.3012863,59.564556,"{'amenity': 'music_school', 'name': 'آموزشگاه موسیقی سروش'}"
28,node,5258218043,36.3035688,59.5669976,"{'amenity': 'school', 'name': 'دبیرستان کیان', 'name:en': 'Kian Highschool'}"
29,node,5268385782,36.3098885,59.5625183,"{'amenity': 'fire_station', 'name': 'آتش\u200cنشانی'}"
30,node,5274920124,36.3086412,59.5564269,"{'amenity': 'car_wash', 'name': 'اینجا یک کوچه است', 'name:en': 'there is a road here'}"
31,node,5289187709,36.3050287,59.5614132,"{'amenity': 'school', 'name': 'رحمت', 'name:en': 'Rahmat'}"
32,node,5317032087,36.303246,59.5645183,"{'amenity': 'kindergarten', 'name': 'پیش دبستانی گلها', 'name:en': 'Golha Kindergarten'}"
33,node,5330998233,36.3058096,59.5563257,"{'amenity': 'restaurant', 'name': 'زیتون', 'name:en': 'Zeytoon'}"
34,node,5352149091,36.3057559,59.5658719,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه آرش'}"
35,node,5352209438,36.3076657,59.5640805,"{'amenity': 'fast_food', 'name': 'فست فود وسپا'}"
36,node,5370141821,36.311303,59.5546328,"{'addr:street': 'خیام ۱۰', 'amenity': 'cafe', 'name': 'کافه راد', 'name:en': 'Rad Cafe'}"
37,node,5588409022,36.3099944,59.555846,"{'amenity': 'fast_food', 'name': 'کروژ', 'name:en': 'koriuzh'}"
38,node,5695447964,36.3084963,59.5562263,"{'addr:street': 'هوشیار', 'amenity': 'restaurant', 'name': 'رستوران روژه', 'name:en': 'Roje Restaurant'}"
39,node,5841796786,36.3137451,59.5632889,"{'addr:city': 'مشهد', 'addr:street': 'بیستون', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک ایرانا', 'name:ar': 'مستشفی ایرانا', 'name:en': 'Irana Clinic', 'name:fa': 'ساختمان ایرانا', 'opening_hours': 'Sa-Th 08:00-18:00', 'opening_hours:covid19': 'open'}"
40,node,6066352085,36.3112131,59.5623845,"{'amenity': 'cafe', 'cuisine': 'cake;coffee_shop', 'internet_access': 'wlan', 'name': 'کافه تکسین', 'name:en': 'Taksin caffe', 'name:fr': 'Taksin café', 'opening_hours': 'Mo-Su 08:30-00:00', 'source:name': 'map.ir'}"
41,node,6564427562,36.3113752,59.5547545,"{'amenity': 'cafe', 'name': 'Souda Cafe Restaurant'}"
42,node,7426831439,36.3146378,59.5608357,{'amenity': 'bicycle_rental'}
43,node,8866831884,36.3114513,59.5625345,"{'amenity': 'car_wash', 'name': 'كارواش سينا', 'name:en': 'Sina Car Wash', 'phone': '+98 903 095 4340; +98 933 130 4235'}"
44,node,10077518130,36.3119085,59.560367,"{'addr:street': 'فرهادد ۲۲', 'amenity': 'cafe', 'cuisine': 'coffee_shop', 'internet_access': 'no', 'name': 'کافی شاپ پینات', 'outdoor_seating': 'yes', 'phone': '+9891540373'}"
45,node,10816456487,36.3090744,59.5539135,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر حسینی میلانی', 'phone': '05137658525'}"
