amenity,count
arts_centre,1
atm,15
bank,152
bar,1
bench,1
bicycle_parking,1
bicycle_rental,7
bureau_de_change,12
bus_station,1
cafe,44
car_wash,3
cinema,2
clinic,73
college,9
community_centre,1
conference_centre,3
courthouse,1
culture_center,1
dentist,11
doctors,37
drinking_water,5
events_venue,3
fast_food,44
fire_station,3
fountain,8
fuel,3
hospital,3
ice_cream,2
internet_cafe,1
kindergarten,2
library,12
motorcycle_parking,1
music_school,8
nursing_home,7
parking,11
parking_entrance,1
pharmacy,53
place_of_worship,37
police,7
post_box,2
post_office,1
pub,1
publication,1
recycling,2
restaurant,49
school,60
studio,1
taxi,11
telephone,8
toilets,15
townhall,1
university,2
waste_disposal,2
water_point,1
