,type,id,lat,lon,tags
0,node,266219155,36.3202436,59.5218189,"{'amenity': 'school', 'name': 'هنرستان فنی'}"
1,node,516164903,36.3282683,59.501213,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۵', 'name:en': 'Fire Station No. 5'}"
2,node,650315297,36.3203383,59.5267839,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک خاتم', 'name:en': 'Khatam Day Clinic'}"
3,node,650593032,36.3154725,59.5450151,"{'amenity': 'university', 'name': 'موسسه آموزش عالی غیرانتفاعی تابران ۱'}"
4,node,651567764,36.31998,59.526783,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر بهداد', 'name:en': 'Dr. Behada drugstore'}"
5,node,651567772,36.32142,59.52233,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر انصاری', 'name:en': 'Dr. Ansari Drugstore'}"
6,node,658439767,36.3248954,59.5395596,"{'amenity': 'parking', 'capacity': '10', 'fee': 'yes', 'park_ride': 'yes', 'parking': 'multi-storey'}"
7,node,659720445,36.32029,59.52564,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'opening_hours': 'Sa-We 07:30-13:30; Th 07:30-12:30'}"
8,node,659720446,36.3201924,59.5259006,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک سلامت کودک', 'name:en': ""Children's Clinic""}"
9,node,659720449,36.3302971,59.5025986,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'ملی'}"
10,node,659720453,36.3210419,59.5233577,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
11,node,659720454,36.3294271,59.5268836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
12,node,667325422,36.3185021,59.5311188,"{'amenity': 'telephone', 'payment:coins': 'yes', 'payment:telephone_cards': 'yes'}"
13,node,667327776,36.3299546,59.5306638,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1004', 'branch': 'آزادشهر', 'brand': 'بانک پاسارگاد', 'brand:en': 'Bank Pasargad', 'brand:wikidata': 'Q4855962', 'brand:wikipedia': 'en:Bank Pasargad', 'fax': '+98-511-6066005', 'name': 'بانک پاسارگاد', 'name:en': 'Bank Pasargad', 'phone': '+98-511-6066001-3'}"
14,node,670076245,36.3192065,59.5447104,"{'amenity': 'library', 'name': 'کتابخانه مسجد سجاد', 'name:en': 'Library of Sajad Mosque'}"
15,node,676994712,36.3280368,59.52852,"{'amenity': 'bank', 'atm': 'no', 'branch': 'ایرج میرزا', 'brand': 'بانک پارسیان', 'brand:en': 'Parsian Bank', 'brand:wikidata': 'Q2410404', 'brand:wikipedia': 'en:Parsian Bank', 'name': 'بانک پارسیان', 'name:en': 'Parsian Bank'}"
16,node,679718757,36.3167771,59.5222032,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'مرکز باروری و ناباروری نوین', 'name:en': 'Novin fertility and infertility Center'}"
17,node,693713106,36.3434762,59.5330402,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالرضا', 'name:en': 'Masjed-Ol-Reza Mosque', 'religion': 'muslim'}"
18,node,694204508,36.321788,59.4775246,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسین', 'name:en': 'Emam Hosein mosque', 'religion': 'muslim'}"
19,node,768619032,36.3173383,59.5026545,{'amenity': 'car_wash'}
20,node,875819758,36.3264688,59.4928131,"{'amenity': 'fuel', 'compressed_air': 'no', 'fuel:cng': 'yes', 'name': 'پمپ گاز حافظ'}"
21,node,985613713,36.3458905,59.5091915,"{'amenity': 'fuel', 'fuel:cng': 'yes'}"
22,node,1081996558,36.3169876,59.5217897,"{'amenity': 'library', 'name': 'کتابخانه فرهنگ', 'name:en': 'Farhang Public Library', 'phone': '+98 511 8839199'}"
23,node,1290359721,36.3401321,59.4625669,{'amenity': 'atm'}
24,node,1290365303,36.3331946,59.484706,"{'amenity': 'pharmacy', 'name': 'داروخانه', 'name:en': 'Pharmacy'}"
25,node,1434015469,36.341074,59.4903056,"{'amenity': 'college', 'building': 'yes', 'name': 'دانشگاه علمی کاربردی زندان'}"
26,node,1566661391,36.3174929,59.5227002,{'amenity': 'school'}
27,node,1750032581,36.3315406,59.5176589,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه چمران', 'name:en': 'Chamran clinic', 'opening_hours': '24/7', 'phone': '+98 511 6065157'}"
28,node,1750032585,36.3237463,59.5114549,"{'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر نظری تولایی', 'name:en': 'Dr. Nazari drugstore', 'opening_hours': '24/7', 'phone': '+98 5118834289'}"
29,node,1750032589,36.3378852,59.4956763,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه فردوس', 'name:en': 'Ferdows clinic', 'opening_hours': '24/7', 'phone': '+98 511 8686155'}"
