amenity,count
arts_centre,1
atm,29
bank,19
bench,5
bicycle_rental,4
bus_station,1
cafe,9
car_rental,1
car_wash,6
clinic,13
college,2
community_centre,1
conference_centre,1
courthouse,2
dentist,5
doctors,3
drinking_water,2
driving_school,2
fast_food,19
fire_station,2
fountain,2
fuel,4
ice_cream,2
internet_cafe,2
library,3
nursing_home,1
parking,4
pharmacy,24
place_of_worship,20
police,6
post_office,3
recycling,3
restaurant,26
school,11
shower,1
taxi,5
telephone,2
toilets,13
townhall,1
veterinary,1
waste_basket,2
