highway,count,length
construction,162,72769.861
cycleway,12,7627.952
footway,1810,110921.571
living_street,167,18790.813
motorway,6,11765.125
path,10,632.898
pedestrian,46,5703.299
primary,133,87439.893
primary_link,64,3584.937
raceway,2,498.397
residential,5534,978365.233
rest_area,2,49.166
road,7,1546.809
secondary,420,156635.113
secondary_link,109,4120.835
service,588,101029.866
steps,123,2272.06
tertiary,391,169023.496
tertiary_link,33,785.136
track,95,38811.178
trunk,174,81470.764
trunk_link,155,32257.11
unclassified,357,161778.101
