amenity,count
arts_centre,1
atm,61
bank,125
bench,1
bicycle_parking,1
bicycle_rental,7
bureau_de_change,3
bus_station,1
cafe,54
car_rental,1
car_sharing,1
car_wash,8
casino,2
cinema,1
clinic,67
clock,1
college,5
community_centre,2
conference_centre,6
courthouse,3
culture_center,1
dentist,4
doctors,16
drinking_water,2
driving_school,1
events_venue,3
fast_food,50
fire_station,7
food_court,1
fountain,2
fuel,4
hospital,2
ice_cream,7
internet_cafe,1
kindergarten,1
library,17
marketplace,1
music_school,3
nursing_home,7
parking,15
parking_entrance,3
pharmacy,47
place_of_worship,47
police,9
post_office,2
restaurant,51
school,49
shelter,8
shower,2
social_centre,1
studio,2
taxi,8
telephone,4
theatre,2
toilets,19
townhall,1
university,2
veterinary,3
waste_basket,2
waste_disposal,2
