,type,id,lat,lon,tags
0,node,262495882,36.3033738,59.6239586,{'amenity': 'taxi'}
1,node,266219155,36.3202436,59.5218189,"{'amenity': 'school', 'name': 'هنرستان فنی'}"
2,node,286961069,36.3292009,59.5830029,{'amenity': 'fountain'}
3,node,287263918,36.3611467,59.5320481,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام سجاد', 'name:en': 'Emam Sajjad Mosque', 'religion': 'muslim'}"
4,node,344463542,36.301873,59.5932674,"{'amenity': 'bank', 'name': 'بانک مسکن', 'name:en': 'Maskan', 'operator': 'Maskan Bank'}"
5,node,344463563,36.3013282,59.5920795,"{'amenity': 'bank', 'bci': '8555', 'branch': 'تختی', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
6,node,344463748,36.3014541,59.5924248,"{'amenity': 'bank', 'branch': 'سعدآباد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
7,node,344464839,36.3012227,59.5840234,"{'amenity': 'bank', 'bic': '8507', 'branch': 'سناباد', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'Melli Bank'}"
8,node,344464846,36.3008846,59.5838327,"{'amenity': 'bank', 'branch': 'سناباد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:fa': 'بانک صادرات', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'name:fa': 'بانک صادرات', 'operator': 'Saderat Bank'}"
9,node,344467756,36.3150627,59.5601805,{'amenity': 'police'}
10,node,475070332,36.318183,59.554288,"{'amenity': 'fast_food', 'cuisine': 'sandwich', 'name': 'جاسمین', 'name:en': 'Jasmin', 'phone': '+98 51 3761 1111'}"
11,node,475079104,36.3184124,59.5536682,"{'amenity': 'cafe', 'name': 'خانه چای', 'name:en': 'T House'}"
12,node,475079106,36.3178677,59.5520583,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1001', 'branch': 'سجاد', 'brand': 'بانک پاسارگاد', 'brand:en': 'Bank Pasargad', 'brand:wikidata': 'Q4855962', 'brand:wikipedia': 'en:Bank Pasargad', 'fax': '+98-511-7653100', 'name': 'بانک پاسارگاد', 'name:en': 'Bank Pasargad', 'phone': '+98-511-7654476-9'}"
13,node,475079108,36.3190901,59.551943,"{'amenity': 'pharmacy', 'name': 'هلال احمر', 'name:en': 'Helal-Ahmar'}"
14,node,584116803,36.3480738,59.5621279,"{'amenity': 'parking', 'parking': 'surface', 'surface': 'asphalt'}"
15,node,645361381,36.3178264,59.5528528,"{'amenity': 'bank', 'atm': 'yes', 'bic': '9303', 'branch': 'سجاد', 'brand': 'بانک سامان', 'brand:en': 'Saman Bank', 'brand:wikidata': 'Q4117676', 'brand:wikipedia': 'en:Saman Bank', 'fax': '+98-511-7674046', 'name': 'بانک سامان', 'name:en': 'Saman Bank', 'phone': '+98-511-7648208-9'}"
16,node,649201566,36.3062437,59.5724595,"{'amenity': 'university', 'name': 'دانشگاه آزاد علوم پایه', 'name:en': 'Azad University'}"
17,node,650315297,36.3203383,59.5267839,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک خاتم', 'name:en': 'Khatam Day Clinic'}"
18,node,650593032,36.3154725,59.5450151,"{'amenity': 'university', 'name': 'موسسه آموزش عالی غیرانتفاعی تابران ۱'}"
19,node,651567764,36.31998,59.526783,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر بهداد', 'name:en': 'Dr. Behada drugstore'}"
20,node,651567772,36.32142,59.52233,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر انصاری', 'name:en': 'Dr. Ansari Drugstore'}"
21,node,658405611,36.3134078,59.5627071,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1801', 'fax': '+98-511-7640050', 'name': 'اقتصاد نوین', 'name:en': 'Eghtesad Novin-Sajad branch', 'operator': 'Eghtesad Novin', 'phone': '+98-511-7681011-12'}"
22,node,658439767,36.3248954,59.5395596,"{'amenity': 'parking', 'capacity': '10', 'fee': 'yes', 'park_ride': 'yes', 'parking': 'multi-storey'}"
