,type,id,lat,lon,tags
0,node,266219155,36.3202436,59.5218189,"{'amenity': 'school', 'name': 'هنرستان فنی'}"
1,node,266360127,36.3103916,59.5089446,{'amenity': 'parking'}
2,node,286499684,36.2880721,59.5581399,"{'amenity': 'fuel', 'name': 'پمپ بنزین میدان تلویزیون'}"
3,node,344467756,36.3150627,59.5601805,{'amenity': 'police'}
4,node,475070332,36.318183,59.554288,"{'amenity': 'fast_food', 'cuisine': 'sandwich', 'name': 'جاسمین', 'name:en': 'Jasmin', 'phone': '+98 51 3761 1111'}"
5,node,475079104,36.3184124,59.5536682,"{'amenity': 'cafe', 'name': 'خانه چای', 'name:en': 'T House'}"
6,node,475079106,36.3178677,59.5520583,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1001', 'branch': 'سجاد', 'brand': 'بانک پاسارگاد', 'brand:en': 'Bank Pasargad', 'brand:wikidata': 'Q4855962', 'brand:wikipedia': 'en:Bank Pasargad', 'fax': '+98-511-7653100', 'name': 'بانک پاسارگاد', 'name:en': 'Bank Pasargad', 'phone': '+98-511-7654476-9'}"
7,node,475079108,36.3190901,59.551943,"{'amenity': 'pharmacy', 'name': 'هلال احمر', 'name:en': 'Helal-Ahmar'}"
8,node,516164903,36.3282683,59.501213,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۵', 'name:en': 'Fire Station No. 5'}"
9,node,645361381,36.3178264,59.5528528,"{'amenity': 'bank', 'atm': 'yes', 'bic': '9303', 'branch': 'سجاد', 'brand': 'بانک سامان', 'brand:en': 'Saman Bank', 'brand:wikidata': 'Q4117676', 'brand:wikipedia': 'en:Saman Bank', 'fax': '+98-511-7674046', 'name': 'بانک سامان', 'name:en': 'Saman Bank', 'phone': '+98-511-7648208-9'}"
10,node,650315297,36.3203383,59.5267839,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک خاتم', 'name:en': 'Khatam Day Clinic'}"
11,node,650593032,36.3154725,59.5450151,"{'amenity': 'university', 'name': 'موسسه آموزش عالی غیرانتفاعی تابران ۱'}"
12,node,651567764,36.31998,59.526783,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر بهداد', 'name:en': 'Dr. Behada drugstore'}"
13,node,651567772,36.32142,59.52233,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر انصاری', 'name:en': 'Dr. Ansari Drugstore'}"
14,node,658405611,36.3134078,59.5627071,"{'amenity': 'bank', 'atm': 'yes', 'bic': '1801', 'fax': '+98-511-7640050', 'name': 'اقتصاد نوین', 'name:en': 'Eghtesad Novin-Sajad branch', 'operator': 'Eghtesad Novin', 'phone': '+98-511-7681011-12'}"
15,node,658439767,36.3248954,59.5395596,"{'amenity': 'parking', 'capacity': '10', 'fee': 'yes', 'park_ride': 'yes', 'parking': 'multi-storey'}"
16,node,658439769,36.3144545,59.5614859,"{'access': 'yes', 'amenity': 'parking', 'capacity': '24', 'capacity:disabled': '24', 'email': 'info@optimpark.com', 'fee': 'yes', 'name': 'پارکینگ مکانیزه پیام', 'name:en': 'Payam mechanized parking', 'name:fa': 'پارکینگ مکانیزه پیام', 'operator': 'Mashhad Municipality', 'operator:type': 'government', 'park_ride': 'yes', 'parking': 'multi-storey', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'phone': '+982128111113', 'surface': 'steel', 'website': 'https://optimpark.com/'}"
17,node,659720445,36.32029,59.52564,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'opening_hours': 'Sa-We 07:30-13:30; Th 07:30-12:30'}"
18,node,659720446,36.3201924,59.5259006,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک سلامت کودک', 'name:en': ""Children's Clinic""}"
19,node,659720449,36.3302971,59.5025986,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran', 'operator': 'ملی'}"
20,node,659720453,36.3210419,59.5233577,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
21,node,659720454,36.3294271,59.5268836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'ایرج میرزا', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
22,node,667296553,36.3139027,59.5612836,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'بولوار سجاد', 'brand': 'بانک کشاورزی', 'brand:en': 'Bank Keshavarzi Iran', 'brand:wikidata': 'Q6395007', 'brand:wikipedia': 'en:Bank Keshavarzi Iran', 'name': 'بانک کشاورزی', 'name:en': 'Bank Keshavarzi Iran', 'operator': 'Agriculture Bank'}"
23,node,667296554,36.314261,59.5615282,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'هدایت', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
