amenity,count
atm,8
bank,95
bar,2
bicycle_parking,1
bicycle_rental,2
bureau_de_change,10
cafe,5
car_rental,2
car_wash,1
clinic,16
college,1
conference_centre,1
dentist,2
doctors,12
drinking_water,6
fast_food,12
fire_station,1
fountain,7
hospital,2
ice_cream,4
kindergarten,2
library,4
marketplace,1
motorcycle_parking,2
nursing_home,2
parking,7
pharmacy,26
place_of_worship,34
police,5
post_box,1
post_office,1
publication,1
recycling,1
restaurant,29
school,14
social_facility,1
taxi,2
telephone,6
toilets,9
university,1
water_point,1
