,type,id,lat,lon,tags
0,node,676994790,36.3679445,59.5089552,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر موسوی', 'name:en': 'Dr.Mousavi Drugstore'}"
1,node,985613315,36.3648858,59.4945824,"{'amenity': 'doctors', 'name': 'مرکز بهداشتی درمانی شهرک لشکر', 'name:en': 'Health center of Sharak E Lashkar'}"
2,node,985613713,36.3458905,59.5091915,"{'amenity': 'fuel', 'fuel:cng': 'yes'}"
3,node,2260295141,36.3523199,59.5169332,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
4,node,2460095131,36.3467597,59.5143887,"{'amenity': 'cafe', 'name': 'سنت سرای سندروس'}"
5,node,2491145745,36.3646676,59.49499,"{'amenity': 'taxi', 'name': 'آژانس پرستو', 'name:en': 'Parastu Taxi service', 'phone': '+98 21 3522 5444'}"
6,node,2756422535,36.3590104,59.5120073,"{'amenity': 'bank', 'atm': 'yes', 'name': 'بانک سپه'}"
7,node,2756437123,36.3576647,59.5096041,"{'amenity': 'school', 'name': 'دبستان شهدای راه آهن'}"
8,node,2756448380,36.356939,59.5144401,"{'amenity': 'parking', 'capacity': '190'}"
9,node,2758279363,36.3588741,59.5124896,"{'amenity': 'atm', 'operator': 'تجارت'}"
10,node,2990670289,36.3642727,59.4905487,"{'addr:housenumber': 'میثاق 31', 'addr:street': 'بلوار میثاق', 'amenity': 'pharmacy', 'name': 'داروخانه رضوانی', 'name:en': 'Rezvani Drag store'}"
11,node,2996086838,36.3606195,59.4947629,"{'amenity': 'fast_food', 'name': 'فست فود سایه', 'phone': '+985135212070'}"
12,node,3261948890,36.3710164,59.5023306,"{'amenity': 'school', 'name': 'دبستان آیات', 'name:en': 'Ayat School'}"
13,node,3261949238,36.3709246,59.5017625,"{'amenity': 'school', 'name': 'مرکز توانبخشی معلولان ذهنی مهرآوران', 'name:en': 'Zehn Avaran Helply center'}"
14,node,3261949670,36.3647164,59.5115051,"{'amenity': 'school', 'name': 'دبیرستان عبدالحسین قفلی'}"
15,node,3598757408,36.3578914,59.483707,{'amenity': 'car_wash'}
16,node,3809203626,36.357857,59.483038,{'amenity': 'taxi'}
17,node,3815945759,36.356788,59.4858009,"{'amenity': 'restaurant', 'name': 'غذای زارع'}"
18,node,3816023357,36.3565197,59.4854994,"{'amenity': 'car_wash', 'name': 'کارواش آزاده', 'wheelchair': 'yes'}"
19,node,3871284573,36.3564634,59.5159693,"{'amenity': 'fast_food', 'name': 'اغذیه افریقا'}"
20,node,3871293764,36.3564418,59.5146067,{'amenity': 'library'}
21,node,3913989757,36.3595349,59.5079186,{'amenity': 'bicycle_rental'}
22,node,4081025196,36.3580725,59.4849592,{'amenity': 'fountain'}
23,node,4107313798,36.3582621,59.4843182,{'amenity': 'drinking_water'}
24,node,4108451000,36.3601067,59.4763271,"{'addr:street': 'بوستان', 'amenity': 'school', 'name': 'مدرسه راهنمایی دخترانه نیایش'}"
25,node,4109057394,36.3616675,59.4688238,"{'addr:street': 'بوستان', 'amenity': 'doctors', 'name': 'مطب دکتر گلکار و مرکز بهداشت'}"
26,node,4109094089,36.3504034,59.4737602,"{'amenity': 'veterinary', 'name': 'غ'}"
27,node,4109355590,36.3614658,59.4716189,"{'amenity': 'atm', 'opening_hours': '24/7'}"
28,node,4109806991,36.3647709,59.4667559,{'amenity': 'atm'}
29,node,4147825289,36.3575203,59.5029087,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر میرخزیمه'}"
30,node,4147825290,36.3603297,59.4942475,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر محمدیان'}"
31,node,4147825389,36.3705752,59.5137928,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر وحیدی منش'}"
32,node,4169185680,36.3587141,59.4844536,"{'amenity': 'fountain', 'layer': '1'}"
33,node,4192578294,36.3543024,59.4882686,{'amenity': 'waste_basket'}
34,node,4192644394,36.3553256,59.4878002,"{'amenity': 'recycling', 'recycling_type': 'container'}"
35,node,4192653898,36.3562927,59.4861312,{'amenity': 'waste_basket'}
36,node,4192666891,36.3560474,59.4866499,"{'amenity': 'bench', 'material': 'metal', 'seats': '4'}"
37,node,4195078679,36.3583151,59.4840234,{'amenity': 'recycling'}
38,node,4195078680,36.3584366,59.4839416,{'amenity': 'recycling'}
39,node,4251236290,36.3607263,59.4959447,"{'addr:street': 'فلاحی ۱۳', 'amenity': 'bank', 'name': 'بانک سپه (انصار سابق)', 'opening_hours': 'Sa-Th 07:00-14:00'}"
40,node,4279889992,36.3582374,59.4841086,"{'amenity': 'bench', 'backrest': 'yes', 'colour': 'white', 'material': 'metal', 'seats': '3'}"
41,node,4279890192,36.3583118,59.4840947,"{'amenity': 'bench', 'backrest': 'yes', 'colour': 'white', 'material': 'metal', 'seats': '3'}"
42,node,4279890193,36.3582736,59.4841453,"{'amenity': 'bench', 'backrest': 'yes', 'colour': 'white', 'material': 'metal', 'seats': '3'}"
43,node,4279922189,36.3582883,59.4839683,"{'amenity': 'bench', 'backrest': 'yes', 'colour': 'white', 'material': 'metal', 'seats': '3'}"
44,node,4305792885,36.3609871,59.471868,{'amenity': 'police'}
45,node,4305792886,36.3609137,59.4720075,"{'amenity': 'atm', 'name': 'خودپرداز بانک'}"
46,node,4305792887,36.3609561,59.4729443,"{'amenity': 'pharmacy', 'name': 'داروخانه'}"
47,node,4305805664,36.3608162,59.4839563,{'amenity': 'car_wash'}
48,node,4305805665,36.3572561,59.488678,"{'amenity': 'pharmacy', 'name': 'داروخانه شبانه روزی دکتر مهرافشان'}"
49,node,4322634770,36.3607097,59.4724446,"{'amenity': 'toilets', 'name': 'سرویس بهداشتی', 'unisex': 'yes'}"
50,node,4381123893,36.3516814,59.4911796,"{'amenity': 'atm', 'name': 'خودپرداز اقتصاد نوین'}"
51,node,4383006991,36.3719738,59.5136648,"{'addr:street': 'میدان حجاب', 'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank', 'opening_hours': 'Sa-Th 07:30-13:00'}"
52,node,4385155292,36.358884,59.5139455,"{'addr:city': 'مشهد', 'addr:street': 'میدان مادر', 'amenity': 'post_office', 'name': 'مرکز پست شماره ۵', 'name:en': 'Post Office', 'opening_hours': 'Sa-Th 07:30-13:00'}"
53,node,4392730499,36.3719529,59.5137018,"{'addr:street': 'میدان حجاب', 'amenity': 'bank', 'name': 'پست بانک', 'name:en': 'Post Bank', 'opening_hours': 'Sa-Th 07:30-13:00'}"
54,node,4395003296,36.3720454,59.5136732,{'amenity': 'bank'}
55,node,4395014391,36.3720486,59.5136351,{'amenity': 'bank'}
56,node,4395074289,36.3720905,59.5135004,{'amenity': 'fast_food'}
57,node,4395074290,36.3720583,59.51358,"{'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank'}"
58,node,4419262995,36.3596467,59.47863,"{'amenity': 'police', 'name': 'پلیس+۱۰'}"
59,node,4500589831,36.3557697,59.5016457,"{'addr:housenumber': '1', 'addr:street': 'شاهد ۳۲', 'amenity': 'dentist', 'email': 'reza.sheykhi25@gmail.com', 'name': 'تعطیل', 'name:en': 'closed', 'opening_hours': 'Mo-Su 22:00-09:00', 'phone': '+98 12 3947 88958'}"
60,node,4515160924,36.3732053,59.5035164,{'amenity': 'bicycle_rental'}
61,node,4536091493,36.3518665,59.5034571,"{'addr:street': 'بولوار شریعتی', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی عطا', 'name:en': 'Ata clinic', 'opening_hours': '24/7', 'phone': '+98 51 36630407'}"
62,node,4536143591,36.3518686,59.5033646,"{'addr:street': 'بولوار شریعتی', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر آیت اللهی', 'name:en': 'Dr. Ayatollahi pharmacy', 'opening_hours': 'Sa-Th 08:00-13:00, 16:00-22:30'}"
63,node,4536451690,36.3522124,59.5030135,{'amenity': 'telephone'}
64,node,4536476989,36.3521759,59.5023753,{'amenity': 'drinking_water'}
65,node,4550917051,36.3645589,59.4661397,"{'addr:street': 'سجادیه ۸', 'amenity': 'atm', 'name': 'خودپرداز'}"
66,node,4561854892,36.3628469,59.5142439,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'Pasargad ATM'}"
67,node,4561870790,36.361345,59.4963224,"{'amenity': 'bank', 'name': 'بانک سپه'}"
68,node,4579242990,36.3645054,59.478322,{'amenity': 'clinic'}
69,node,4598473354,36.3571297,59.488436,"{'amenity': 'restaurant', 'name': 'رستوران آقاجون'}"
70,node,4616054589,36.3590408,59.5108652,"{'amenity': 'restaurant', 'name': 'رستوران عبدالهی'}"
71,node,4648062293,36.3585106,59.5173742,"{'amenity': 'restaurant', 'name': 'رستوران پردیس', 'name:en': 'Paradise Restaurant'}"
72,node,4690094991,36.3597778,59.5147794,{'amenity': 'toilets'}
73,node,4690336101,36.3712424,59.4810103,"{'amenity': 'atm', 'operator': 'ATM Sepah Bank'}"
74,node,4697671390,36.3684793,59.5033189,"{'addr:housenumber': '43', 'addr:street': 'فلاحی ۵۰/۱۴ (راستی۴۰)', 'amenity': 'car_rental', 'name': 'آژانس ایزین', 'name:en': 'Izin taxi', 'phone': '+98 51 3620 4060'}"
75,node,4712886789,36.3740365,59.4771141,"{'amenity': 'townhall', 'name': 'شهرداری منطقه ۱۲', 'name:en': 'Municipality District 12', 'office': 'government'}"
76,node,4781456521,36.3681439,59.5088112,"{'amenity': 'atm', 'operator': 'Aiandeh Bank ATM'}"
77,node,4791565122,36.3649742,59.47317,"{'addr:street': 'بزرگراه میثاق،شهرک غرب،بلوار مجیدیه، مجیدیه ۱۷.۱ پلاک ۱۲ ساختمان پاژ', 'amenity': 'restaurant', 'name': 'آشپزخانه و کترینگ پاژ', 'phone': '+98 51 3513 1852'}"
78,node,4859614422,36.3573909,59.4888301,"{'amenity': 'bank', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
79,node,4917746594,36.3643118,59.4905734,"{'addr:street': 'میثاق ۳۱', 'amenity': 'clinic', 'name': 'درمانگاه شبانه روزی نسیم سلامت'}"
80,node,4918074769,36.3473937,59.4809255,"{'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'no', 'indoor': 'no', 'wheelchair': 'yes'}"
81,node,5155656162,36.3523069,59.498743,"{'addr:street': 'بولوار شریعتی', 'amenity': 'pharmacy', 'building': 'yes', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر کوهرخی'}"
82,node,5157339671,36.3529717,59.5018597,"{'amenity': 'fast_food', 'building': 'yes', 'cuisine': 'pizza;burger', 'name': 'فست فود دهکده'}"
83,node,5163197405,36.3523155,59.4980037,"{'amenity': 'bank', 'building': 'yes', 'name': 'بانک حکمت ایرانیان'}"
84,node,5163197406,36.3523128,59.4980875,"{'amenity': 'fast_food', 'building': 'yes', 'name': 'فست فود'}"
85,node,5163197521,36.3523142,59.4983135,"{'amenity': 'restaurant', 'building': 'yes', 'name': 'جگرکی'}"
86,node,5170830652,36.3551659,59.5015685,{'amenity': 'ice_cream'}
87,node,5178186031,36.3519446,59.4972556,"{'amenity': 'taxi', 'name': 'آژانس'}"
88,node,5218109623,36.3727493,59.4875617,"{'amenity': 'toilets', 'operator': 'روبروی دانشگاه سما ، مسجد'}"
89,node,5302973272,36.3562349,59.5095209,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد علی ابن ابی طالب', 'name:en': 'Imam Ali Mosque', 'religion': 'muslim'}"
90,node,5302973273,36.3563568,59.5116359,"{'amenity': 'community_centre', 'name': 'فرهنگسرای خانواده'}"
91,node,5302973307,36.358738,59.5055432,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابوالفضل', 'religion': 'muslim'}"
92,node,5302973315,36.3589429,59.50421,"{'amenity': 'cafe', 'name': 'آبمیوه هندونه'}"
93,node,5302973319,36.3638599,59.5055973,"{'amenity': 'restaurant', 'name': 'رستوران مایسا'}"
94,node,5302973431,36.3561851,59.5097942,"{'amenity': 'restaurant', 'name': 'رستوران و کترینگ خاتم'}"
95,node,5302973432,36.364276,59.5092352,"{'amenity': 'atm', 'name': 'خودپرداز رسالت'}"
96,node,5311800705,36.3670382,59.5134973,"{'amenity': 'fast_food', 'name': 'فستفود'}"
97,node,5311825063,36.3533789,59.5097821,"{'amenity': 'place_of_worship', 'name': 'نمازخانه دبیرستان صفورا', 'religion': 'muslim'}"
98,node,5311828412,36.3532434,59.5086887,"{'amenity': 'taxi', 'name': 'آژانس همزه'}"
99,node,5313843029,36.3583306,59.4829285,"{'amenity': 'pharmacy', 'name': 'داروخانه دکترطیرانی', 'name:en': 'Dr.Tayarani Pharmacy'}"
