,type,id,lat,lon,tags
0,node,584116803,36.3480738,59.5621279,"{'amenity': 'parking', 'parking': 'surface', 'surface': 'asphalt'}"
1,node,667345819,36.3427186,59.6008529,"{'addr:city': 'مشهد', 'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۲۱', 'name:en': 'No. 21 FireStation'}"
2,node,667355731,36.3605538,59.5518006,"{'addr:city': 'مشهد', 'addr:street': 'بولوار توس', 'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۱۴', 'name:en': 'FireStation No. 14'}"
3,node,779046580,36.3474368,59.5497958,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
4,node,1842625965,36.3428267,59.5548291,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد جوادالائمه', 'religion': 'muslim'}"
5,node,2563730918,36.3582324,59.5548067,"{'addr:city': 'مشهد', 'amenity': 'fuel', 'fuel:cng': 'yes', 'fuel:diesel': 'no', 'name': 'جایگاه گاز طبیعی'}"
6,node,3073475924,36.3452943,59.5697522,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امام حسن مجتبی علیه\u200cالسلام', 'religion': 'muslim'}"
7,node,4409041889,36.3452907,59.5765475,"{'amenity': 'atm', 'name': 'عابر بانک', 'name:en': 'ATM', 'opening_hours': '24/7'}"
8,node,4423569492,36.3483634,59.5743714,"{'amenity': 'atm', 'opening_hours': '24/7'}"
9,node,4423580294,36.3418794,59.5751432,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'بانک مسکن'}"
10,node,4423606089,36.3431751,59.5739453,"{'amenity': 'atm', 'opening_hours': '24/7', 'operator': 'بانک ملت'}"
11,node,4861699121,36.3555382,59.5495629,{'amenity': 'atm'}
12,node,5018148402,36.3364335,59.5817025,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد محسن ابن علی (علیه\u200cالسلام)', 'religion': 'muslim'}"
13,node,5104410022,36.3419385,59.5890778,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر شعبانی', 'name:en': 'Pharmacy'}"
14,node,5104410024,36.341472,59.588545,"{'amenity': 'atm', 'operator': 'بانک انصار'}"
15,node,5323257595,36.3373702,59.589715,"{'amenity': 'restaurant', 'name': 'رستوران خسروی'}"
16,node,5350314548,36.3396909,59.5868161,"{'amenity': 'restaurant', 'name': 'پیتزا گپ'}"
17,node,5350343376,36.3403316,59.5875492,"{'amenity': 'events_venue', 'building': 'yes', 'name': 'تالار عروسی مروارید'}"
18,node,5350357908,36.3390065,59.5851548,"{'amenity': 'fast_food', 'name': 'پیتزا بلوط'}"
19,node,5350357909,36.3389488,59.5850896,"{'amenity': 'fast_food', 'name': 'پیتزا ژابیز'}"
20,node,5350357910,36.3396965,59.5859689,"{'amenity': 'restaurant', 'name': 'کباب و حلیم ملک'}"
21,node,5350371946,36.3387874,59.584505,"{'amenity': 'restaurant', 'name': 'حلیم نیشابوری اصیل'}"
22,node,5350476627,36.3380316,59.5905092,"{'addr:city': 'mashhad', 'amenity': 'car_wash'}"
23,node,5350536173,36.3379361,59.5866098,"{'amenity': 'restaurant', 'name': 'کباب مخصوص عبداالهی'}"
24,node,5350574182,36.3376532,59.5864794,"{'amenity': 'atm', 'operator': 'خود پرداز بانک رفاه کارگران'}"
25,node,5350586087,36.3376946,59.5883676,"{'amenity': 'fast_food', 'name': 'ساندویچ سن استین'}"
26,node,5350586091,36.3376838,59.5881905,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر اکملی'}"
27,node,5350594151,36.337682,59.5876954,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک زنان و زایمان'}"
28,node,5350594936,36.3376737,59.5879012,"{'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'palliative', 'name': 'مرکز درمان اعتیاد پردیسان'}"
29,node,5350594937,36.3376746,59.5878529,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی گوهر سلامت'}"
30,node,5350603447,36.3373706,59.5882778,{'amenity': 'car_wash'}
31,node,5350604568,36.3373616,59.5879128,"{'amenity': 'fast_food', 'name': 'پیتزا یک ، دو ، سه'}"
32,node,5350606870,36.3373641,59.5878848,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'کلینیک درمان اعتیاد مهر افروزان'}"
33,node,5350606874,36.3373854,59.5876649,"{'amenity': 'atm', 'name': 'خود پرداز', 'operator': 'خود پرداز بانک وسسه ملل'}"
34,node,5836445487,36.3649095,59.5793237,"{'amenity': 'casino', 'name': 'باغ تالار ترنج', 'name:en': 'Bagh Talar Toranj'}"
35,node,6280455285,36.340234,59.6105325,"{'addr:street': '۲۲ بهمن ۴', 'amenity': 'pharmacy', 'name': 'داروخانه دکتر خباز', 'name:en': 'Dr. Khabaz pharmacy', 'operator': 'dr.khabaz'}"
36,node,6385108085,36.3383003,59.5509986,"{'amenity': 'doctors', 'name': 'مطب دکتر'}"
37,node,6602303037,36.3521348,59.5774079,"{'addr:street': 'کشاورز 1', 'amenity': 'restaurant', 'name': 'آشپزخانه دلپذیر', 'phone': '+98 51 3690 9335'}"
38,node,8112536624,36.3365976,59.5480572,{'amenity': 'school'}
