,type,id,lat,lon,tags
0,node,667327174,36.3071903,59.6459031,"{'addr:street': 'خیابان طلوع', 'amenity': 'fuel', 'name': 'پمب بنزین', 'operator': 'Indipend. 128'}"
1,node,667333100,36.3150476,59.6578295,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۸', 'name:en': 'Firestation Number 8'}"
2,node,731425393,36.3076168,59.646836,"{'amenity': 'bank', 'branch': 'بعثت', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
3,node,2184577437,36.3404078,59.6549535,{'amenity': 'fuel'}
4,node,3612319953,36.3234684,59.6354219,{'amenity': 'fast_food'}
5,node,3612319957,36.3175286,59.6388296,{'amenity': 'police'}
6,node,3733174956,36.3231326,59.6416019,"{'addr:street': 'رسالت ۵۵/۳', 'amenity': 'office', 'name': 'پلیس +۱۰', 'office': 'government'}"
7,node,3824186357,36.3245494,59.6423028,"{'amenity': 'internet_cafe', 'internet_access:fee': '2400', 'name': 'کافی نت جامع'}"
8,node,3824186358,36.3212176,59.640833,"{'access': 'yes', 'amenity': 'shower', 'name': 'عدالتیان'}"
9,node,3824186457,36.324966,59.6417561,"{'amenity': 'internet_cafe', 'internet_access': 'کافینت ریحان', 'internet_access:fee': '2400'}"
10,node,3824186557,36.3212386,59.6413267,"{'amenity': 'internet_cafe', 'internet_access': 'wired', 'internet_access:fee': '2400', 'name': 'کافی نت قائم'}"
11,node,3842463966,36.3245312,59.642447,"{'amenity': 'restaurant', 'cuisine': 'coffee_shop'}"
12,node,4244964889,36.308625,59.6474779,"{'addr:street': 'طبرسی', 'amenity': 'clinic', 'internet_access': 'wlan', 'name': 'درمانگاه و خیریه اصغریه', 'name:en': 'Asghari Hospital and Health Center'}"
13,node,4555365697,36.3125104,59.6371668,"{'addr:street': 'رسالت ۴۰', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی روح الله', 'name:en': 'Rooh-O-Allah clinic', 'opening_hours': '24/7', 'phone': '+98 51 3271 0008'}"
14,node,4555434189,36.3123288,59.6371633,"{'addr:street': 'رسالت ۴۰', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر اکبریان', 'name:en': 'Dr. َAkbarian drugstore'}"
15,node,4768157723,36.3316982,59.6506487,"{'amenity': 'atm', 'opening_hours': '24/7'}"
16,node,4783995423,36.3351453,59.6383797,"{'amenity': 'school', 'name': 'دبیرستان نیمه اول یاوران اسلام'}"
17,node,4783996521,36.3346945,59.6389815,"{'amenity': 'school', 'name': 'کارودانش پژوهش'}"
18,node,4784732721,36.3148456,59.6380555,"{'addr:street': 'رسالت ۴۶', 'amenity': 'bank', 'branch': 'رسالت', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
19,node,4851628971,36.3258573,59.6421345,{'amenity': 'police'}
20,node,5013740622,36.3091464,59.67242,"{'addr:street': 'بولوار پنج تن', 'amenity': 'nursing_home', 'email': 'jesus.heidari@gmail.com', 'name': 'فارسی', 'phone': '+98 936 110 8119'}"
21,node,5072717721,36.3029949,59.6508901,"{'addr:street': 'وحید', 'amenity': 'bank', 'branch': 'دریا', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
22,node,5072718021,36.3031847,59.6512222,"{'amenity': 'bank', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
23,node,5121441734,36.3316788,59.6513253,"{'addr:housenumber': '81', 'addr:street': 'بولوار رسالت', 'amenity': 'community_centre', 'name': 'شهرک امید', 'name:en': 'omid residential town', 'opening_hours': 'Sa-Th 08:00-18:00', 'phone': '+98 51 3242 2021', 'website': 'https://omidcdco.ir/'}"
24,node,5323444342,36.3136595,59.6354642,"{'amenity': 'restaurant', 'name': 'اغذیه دانیال'}"
25,node,5323444358,36.3125324,59.6386195,"{'amenity': 'internet_cafe', 'name': 'کافی نت مقداد'}"
26,node,5323444361,36.3158254,59.6388842,"{'amenity': 'restaurant', 'name': 'رستوران میلاد'}"
27,node,5323444367,36.3116326,59.6369806,"{'amenity': 'bank', 'atm': 'yes', 'name': 'موسسه اعتباری ملل'}"
28,node,5323444368,36.3102387,59.6366452,"{'amenity': 'bank', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
29,node,5323444371,36.3140831,59.6358053,"{'addr:street': 'بولوارحبیب ابن مظاهر', 'amenity': 'internet_cafe', 'name': 'کافی نت سارسل', 'name:en': 'Sarsel internet coffee'}"
30,node,5323444373,36.314778,59.636236,"{'amenity': 'kindergarten', 'name': 'مهد کودک ملائکه'}"
31,node,5333555656,36.314076,59.635802,"{'addr:city': 'مشهد', 'addr:street': 'رسالت ۴۲', 'amenity': 'internet_cafe', 'name': 'کافی نت یاس نبی'}"
32,node,5349617827,36.315377,59.6345606,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد چهارده معصوم', 'name:en': '14 Masoom mosque', 'religion': 'muslim'}"
33,node,5349632567,36.3141063,59.6352407,"{'amenity': 'car_rental', 'name': 'Rookesh Barook'}"
34,node,5349674115,36.3135191,59.6356843,"{'amenity': 'marketplace', 'name': 'فروشگاه اتکا', 'name:en': 'Forooshgah Etka'}"
35,node,5349677987,36.3141612,59.6358795,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'دکتر قلوبی', 'name:en': 'Doctor Gholoobi'}"
36,node,5349678690,36.3144724,59.6360827,"{'amenity': 'bank', 'name': 'Bank Mellat'}"
37,node,5380851092,36.3385647,59.6551877,"{'addr:city': 'مشهد', 'addr:postcode': '9149161111', 'addr:street': 'رسالت ۹۷', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد حضرت ابوالفضلی (علیه السلام)', 'religion': 'muslim', 'service_times': 'موقع های اذان'}"
38,node,5582899422,36.3039201,59.6346036,"{'addr:street': 'شیخ صدوق ۱۲', 'amenity': 'restaurant', 'name': 'غذای آماده ممتاز', 'name:en': 'momtaz'}"
39,node,5582899621,36.305141,59.6345221,"{'addr:street': 'شیخ صدوق ۱۵', 'amenity': 'restaurant', 'name': 'رستوران غفوریان', 'name:en': 'ghafourian restaurant'}"
40,node,6206286186,36.3060486,59.6343133,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر انصاریان', 'name:en': 'Ansarian'}"
41,node,6457214140,36.3180759,59.6438398,"{'amenity': 'place_of_worship', 'religion': 'muslim'}"
42,node,6503236579,36.3259716,59.6493285,{'amenity': 'marketplace'}
43,node,6711621653,36.333441,59.6542435,"{'addr:city': 'مشهد', 'addr:postcode': '9149164476', 'addr:street': 'رسالت ۸۱', 'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجد امیر المومنین (علیه السلام)', 'religion': 'muslim', 'service_times': 'مواقع اذان'}"
44,node,6712057211,36.3390961,59.6546202,"{'addr:city': 'مشهد', 'addr:postcode': '9149161111', 'addr:street': 'رسالت ۹۷', 'amenity': 'internet_cafe', 'internet_access': 'wlan', 'internet_access:fee': 'yes', 'internet_access:ssid': 'شاتل', 'name': 'کافی نت رسالت', 'opening_hours': '09:00-21:00', 'operator': 'مهدی دادخواه', 'phone': '+985132422546'}"
45,node,6887586685,36.305544,59.6423889,"{'addr:street': '۱ شیخ صدوق', 'amenity': 'school', 'name': 'حوزه علمیه', 'name:en': 'seminary'}"
46,node,7271482742,36.3133313,59.6378647,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر عطاران', 'name:en': 'Dr. Attaran drugstore'}"
47,node,7271482743,36.3151435,59.6381892,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر منبتی', 'name:en': 'Dr. Monabati drugstore', 'opening_hours': '24/7'}"
48,node,8040620732,36.3180724,59.681825,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسن مجتبی', 'religion': 'muslim'}"
49,node,8040643035,36.3066557,59.6765763,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۴۲'}"
50,node,8040662779,36.3200882,59.6676328,"{'addr:city': 'شهر مشهد', 'addr:street': 'خیابان طبرسی شمالی ۱۷', 'amenity': 'pharmacy', 'dispensing': 'yes', 'drive_through': 'no', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر طبق فروش', 'opening_hours': '24/7', 'opening_hours:covid19': 'open', 'payment:cards': 'yes', 'payment:cash': 'yes', 'phone': '00985132120006', 'start_date': '1377'}"
51,node,8115493086,36.3279671,59.6451494,"{'amenity': 'fire_station', 'name': 'ایستگاه ۳۷ آتش نشانی'}"
52,node,8150579765,36.3033766,59.6664418,"{'amenity': 'school', 'name': 'دبستان شاهد رحیمی'}"
53,node,8150579769,36.3039041,59.6674777,"{'amenity': 'school', 'name': 'مدرسه حضرت خدیجه'}"
54,node,8150579770,36.3037864,59.6667755,"{'amenity': 'school', 'name': 'هنرستان خیامی'}"
55,node,8150579779,36.3031291,59.6679719,"{'amenity': 'school', 'name': 'هنرستان الزهرا'}"
56,node,8150672228,36.3135991,59.6540532,"{'amenity': 'place_of_worship', 'name': 'مسجد امام رضا', 'religion': 'muslim'}"
57,node,8772957753,36.3157703,59.6417351,"{'amenity': 'clinic', 'name': 'مرکز بهداشت امام رضا'}"
58,node,8773032701,36.3188597,59.6824068,"{'amenity': 'clinic', 'name': 'مرکز بهداشت برادران رحیمی'}"
59,node,8778839520,36.3178688,59.6606306,"{'amenity': 'clinic', 'name': 'مرکز سلامت شهری انصار'}"
60,node,9123865737,36.3080342,59.6630353,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی ثارالله'}"
61,node,9296559686,36.3033486,59.640545,"{'addr:city': 'شهر مشهد', 'addr:housenumber': '51', 'addr:street': 'خیابان طبرسی جنوبی', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر جلالیان حسینی'}"
62,node,9509377714,36.3200375,59.6675741,"{'addr:city': 'شهر مشهد', 'addr:street': 'خیابان طبرسی شمالی ۱۷', 'air_conditioning': 'yes', 'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general;دیالیز;آزمایشگاه;عمومی;دندانپزشکی', 'name': 'درمانگاه شبانه روزی طبرسی', 'opening_hours': '24/7', 'opening_hours:covid19': 'open', 'phone': '+98 51 3212 0006', 'start_date': '1377'}"
63,node,10100508917,36.3095041,59.6361642,{'amenity': 'atm'}
64,node,10249313241,36.3136264,59.6571444,"{'addr:city': 'شهر مشهد', 'addr:housenumber': 'بین 1 و 3 پشت ایستگاه', 'addr:street': 'طبرسی شمالی 1', 'amenity': 'internet_cafe', 'internet_access': 'yes', 'name': 'کافی نت رضا', 'phone': '+98 933 488 1991'}"
65,node,10798685565,36.3114401,59.6398482,"{'amenity': 'cafe', 'name': 'قهوه مرتضی'}"
