,type,id,lat,lon,tags
0,node,667327174,36.3071903,59.6459031,"{'addr:street': 'خیابان طلوع', 'amenity': 'fuel', 'name': 'پمب بنزین', 'operator': 'Indipend. 128'}"
1,node,667345817,36.2969601,59.6654833,"{'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۱۸', 'name:en': 'FireStation No. 18'}"
2,node,723151440,36.3016774,59.6645953,{'amenity': 'car_wash'}
3,node,731425393,36.3076168,59.646836,"{'amenity': 'bank', 'branch': 'بعثت', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah', 'operator': 'Sepah Bank'}"
4,node,776533575,36.300416,59.6450895,{'amenity': 'parking'}
5,node,2202218923,36.3001154,59.6600749,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'religion': 'muslim'}"
6,node,4244964889,36.308625,59.6474779,"{'addr:street': 'طبرسی', 'amenity': 'clinic', 'internet_access': 'wlan', 'name': 'درمانگاه و خیریه اصغریه', 'name:en': 'Asghari Hospital and Health Center'}"
7,node,5072717721,36.3029949,59.6508901,"{'addr:street': 'وحید', 'amenity': 'bank', 'branch': 'دریا', 'brand': 'بانک ملی', 'brand:en': 'Bank Melli Iran', 'brand:wikidata': 'Q806640', 'brand:wikipedia': 'en:Bank Melli Iran', 'name': 'بانک ملی', 'name:en': 'Bank Melli Iran'}"
8,node,5072718021,36.3031847,59.6512222,"{'amenity': 'bank', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
9,node,5317031958,36.2936923,59.6452307,"{'amenity': 'fast_food', 'name': 'فست فود', 'office': 'educational_institution'}"
10,node,5323226072,36.2992488,59.6516742,{'amenity': 'fast_food'}
11,node,5323226073,36.2994044,59.6512183,"{'amenity': 'fast_food', 'name': 'سعید'}"
12,node,5323226083,36.2987667,59.6511913,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'name': 'مسجد حضرت رفیه', 'religion': 'muslim'}"
13,node,5323226084,36.297691,59.6511515,"{'amenity': 'bank', 'name': 'بانک سپه', 'name:en': 'Sepah Bank', 'source:name': 'map.ir'}"
14,node,5323255051,36.2996613,59.6482401,{'amenity': 'fast_food'}
15,node,5323255053,36.2995336,59.6479832,"{'amenity': 'place_of_worship', 'building': 'mosque', 'denomination': 'shia', 'religion': 'muslim'}"
16,node,5323255056,36.2991704,59.6503382,{'amenity': 'pharmacy'}
17,node,5323255085,36.3003394,59.6467925,"{'amenity': 'bank', 'name': 'بانک سپه'}"
18,node,5323255086,36.3002961,59.646712,"{'amenity': 'clinic', 'name': 'درمانگاه تخصصی اطفال نشاط کودک', 'name:en': 'Neshat-e koodak clinic'}"
19,node,5323255087,36.300227,59.6465886,"{'amenity': 'pharmacy', 'name': 'داروخانه'}"
20,node,5323268805,36.2967212,59.6532876,"{'amenity': 'cafe', 'name': 'آبمیوه'}"
21,node,5323268806,36.2971861,59.6531918,"{'amenity': 'bank', 'name': 'بانک صادرات', 'name:en': 'Saderat Bank'}"
22,node,5323268814,36.2974116,59.6487205,"{'amenity': 'taxi', 'name': 'آزاانس تاکسی تلفنی آلاله'}"
23,node,5323268815,36.2977168,59.6488408,"{'amenity': 'taxi', 'name': 'تاکسی بانوان'}"
24,node,5323285035,36.2937647,59.6459381,"{'amenity': 'fast_food', 'name': 'فست فود جناب خان'}"
25,node,6799464187,36.299438,59.6604775,"{'amenity': 'hospital', 'name': 'بيمارستان ٢٢بهمن', 'name:en': '22th bahman hospital'}"
26,node,6883981685,36.2994487,59.6457774,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین(ع)', 'name:en': 'emam hoseyn hospital'}"
27,node,6883981785,36.2993786,59.6457036,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین (ع)'}"
28,node,6883981885,36.2993826,59.6457135,"{'amenity': 'hospital', 'name': 'بیمارستان امام حسین (ع)'}"
29,node,8897776095,36.2961966,59.6532027,"{'addr:city': 'مشهد', 'addr:street': 'علامه طباطبایی 23', 'amenity': 'school', 'grades': '10-12', 'name': 'دبیرستان جماران'}"
30,node,8897776096,36.2958854,59.6526018,"{'addr:city': 'مشهد', 'addr:street': 'طباطبایی ۲۳ + نبوت ۳۸', 'amenity': 'school', 'grades': '7-9', 'name': 'دبیرستان خواجه نصیرالدین طوسی'}"
31,node,8897776115,36.2952919,59.6569693,"{'amenity': 'place_of_worship', 'name': 'مسجد فاطمه الزهرا س', 'religion': 'muslim'}"
32,node,8897776116,36.2955835,59.6547263,"{'amenity': 'place_of_worship', 'name': 'مسجد امام حسین ع', 'religion': 'muslim'}"
33,node,8898041101,36.295431,59.6519054,"{'amenity': 'school', 'name': 'دبستان پسرانه شهید خطیبی'}"
34,node,8898041102,36.298745,59.6512603,"{'amenity': 'atm', 'currency:rial': 'yes', 'name': 'خودپرداز بانک سپه', 'operator': 'Sepah Bank'}"
35,node,8898041103,36.2976617,59.6511613,"{'amenity': 'atm', 'operator': 'Sepah Bank'}"
36,node,8898041104,36.2971514,59.6531861,"{'amenity': 'atm', 'operator': 'Saderat Bank'}"
37,node,8898041105,36.2971877,59.6528491,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'داروخانه دکتر جعفری نژاد'}"
38,node,8898146459,36.2965643,59.6534151,{'amenity': 'bench'}
39,node,8898146460,36.2965274,59.6533389,{'amenity': 'bench'}
40,node,8898146461,36.2965307,59.6534486,{'amenity': 'bench'}
41,node,9123865737,36.3080342,59.6630353,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه شبانه روزی ثارالله'}"
42,node,10922376577,36.2955527,59.6491198,"{'amenity': 'bus_station', 'name': 'امت ۲۰'}"
