amenity,count
atm,13
bank,79
bicycle_parking,2
bicycle_rental,2
bureau_de_change,8
bus_station,2
cafe,6
car_wash,4
cinema,1
clinic,18
college,1
community_centre,3
conference_centre,1
doctors,12
fast_food,14
fire_station,4
food_court,1
fountain,6
fuel,2
hospital,3
ice_cream,2
internet_cafe,1
kindergarten,1
library,3
nursing_home,3
parking,2
pharmacy,29
place_of_worship,39
police,9
post_box,2
post_office,1
pub,1
publication,1
recycling,1
restaurant,24
school,26
social_facility,1
taxi,7
telephone,9
toilets,14
water_point,1
