,type,id,lat,lon,tags
0,node,1183434611,36.2715102,59.595575,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'دهم مهتاب', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
1,node,1183434798,36.2726115,59.5944944,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'امام خمینی', 'brand': 'بانک مسکن', 'brand:en': 'Bank Maskan', 'brand:wikidata': 'Q4855942', 'brand:wikipedia': 'en:Bank Maskan', 'name': 'بانک مسکن', 'name:en': 'Bank Maskan'}"
2,node,1183434820,36.2696131,59.5974716,"{'amenity': 'bank', 'atm': 'yes', 'branch': '۱۵ خرداد', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت'}"
3,node,1219618439,36.273583,59.6041089,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'خیابان تهران', 'brand': 'بانک تجارت', 'brand:wikidata': 'Q7695198', 'brand:wikipedia': 'en:Tejarat Bank', 'name': 'بانک تجارت', 'name:en': 'Tejarat- Tehran street branch', 'operator': 'Tejarat Bank'}"
4,node,1219647700,36.2718283,59.5952624,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'داروخانه روشن', 'name:en': 'Roshan'}"
5,node,1219647740,36.2686332,59.5995022,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'میدان ۱۵ خرداد', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran', 'operator': 'Saderat Bank'}"
6,node,1750032594,36.2688786,59.5997033,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه امام حسین', 'name:en': 'Imam Hosein clinic', 'opening_hours': '24/7', 'phone': '+98 511 8591200'}"
7,node,2900631602,36.2668103,59.5996642,"{'amenity': 'bank', 'atm': 'yes', 'branch': '۱۵ خرداد', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat', 'website': 'https://www.bankmellat.ir'}"
8,node,2900631603,36.2666979,59.5998037,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک سرمایه', 'brand:en': 'Sarmayeh Bank', 'brand:wikidata': 'Q7424291', 'brand:wikipedia': 'en:Sarmayeh Bank', 'name': 'بانک سرمایه', 'name:en': 'Sarmayeh Bank'}"
9,node,2990420186,36.2691595,59.5971961,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'بانک مهر اقتصاد', 'brand:wikidata': 'Q5942921', 'brand:wikipedia': 'fa:بانک مهر اقتصاد', 'name': 'بانک مهر اقتصاد', 'name:en': 'Mehr Eqtesad Bank'}"
