,type,id,lat,lon,tags
0,node,652482831,36.2327411,59.6118764,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه صبا(امامیه)', 'name:en': 'Saba Clinic', 'opening_hours': '24/7', 'phone': '+98 511 3859646'}"
1,node,652482835,36.2379566,59.6087908,"{'amenity': 'clinic', 'name': 'درمانگاه آرین فردوس', 'name:en': 'Arian Ferdows Clinic', 'opening_hours': '24/7', 'phone': '+98 511 3870376'}"
2,node,663800804,36.2326354,59.61189,"{'amenity': 'telephone', 'payment:coins': 'yes', 'payment:telephone_cards': 'yes'}"
3,node,667339024,36.2374185,59.6239748,"{'addr:city': 'مشهد', 'amenity': 'fire_station', 'name': 'ایستگاه آتش نشانی شماره ۹', 'name:en': 'FireStation No. 9'}"
4,node,1750032579,36.2452189,59.6049758,"{'amenity': 'place_of_worship', 'denomination': 'shia', 'name': 'مسجدالزهرا', 'name:en': 'Al-Zahra Mosque', 'religion': 'muslim'}"
5,node,1750032587,36.2404382,59.6044696,"{'amenity': 'pharmacy', 'name': 'داروخانه دکتر سبزی', 'name:en': 'Dr. Sabzi pharmacy', 'opening_hours': '24/7', 'phone': '+98 511 3856013'}"
6,node,1750032593,36.2420679,59.6048938,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'درمانگاه امام هادی', 'name:en': 'Imam Hadi clinic', 'opening_hours': '24/7', 'phone': '+98 511 3850489'}"
7,node,1750032601,36.2472694,59.6014481,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'المهدی', 'brand': 'بانک ملت', 'brand:en': 'Bank Mellat', 'brand:wikidata': 'Q4855944', 'brand:wikipedia': 'en:Bank Mellat', 'name': 'بانک ملت', 'name:en': 'Bank Mellat'}"
8,node,1750032611,36.2461315,59.6034371,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'سیدی', 'brand': 'بانک صادرات', 'brand:en': 'Bank Saderat Iran', 'brand:wikidata': 'Q2882608', 'brand:wikipedia': 'en:Bank Saderat Iran', 'name': 'بانک صادرات', 'name:en': 'Bank Saderat Iran'}"
9,node,1750032615,36.2480314,59.6009216,"{'amenity': 'bank', 'atm': 'yes', 'branch': 'المهدی', 'brand': 'بانک سپه', 'brand:en': 'Bank Sepah', 'brand:wikidata': 'Q2882624', 'brand:wikipedia': 'en:Bank Sepah', 'name': 'بانک سپه', 'name:en': 'Bank Sepah'}"
10,node,6387825282,36.2518031,59.6085093,"{'amenity': 'toilets', 'name': 'سرویس های بهداشتی'}"
11,node,6387825457,36.2521721,59.6080038,"{'amenity': 'place_of_worship', 'name': 'مصلی الزهراء (س)'}"
12,node,6417917186,36.2485719,59.600505,"{'amenity': 'atm', 'operator': 'خانه'}"
13,node,8041955438,36.2540481,59.6200025,"{'amenity': 'car_wash', 'operator': 'ETKA'}"
14,node,8128808013,36.2540601,59.624603,"{'amenity': 'place_of_worship', 'religion': 'muslim'}"
15,node,10282969739,36.2318687,59.596376,"{'amenity': 'fuel', 'name': 'پمپ بنزین'}"
