,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱,22,5,266,1145,4,52,35,163,55,100.0,"[(36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143), (36.2864007, 59.5570641), (36.2834663, 59.5597406), (36.2833058, 59.5635863), (36.2910495, 59.5859518), (36.2864007, 59.5570641), (36.2864007, 59.5570641), (36.300124, 59.5632375), (36.2872233, 59.5571248), (36.2864007, 59.5570641), (36.315082, 59.540596), (36.3073821, 59.5523129), (36.3150536, 59.540658), (36.315082, 59.540596), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3177391, 59.5412765), (36.3154192, 59.5406726), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3261639, 59.543501), (36.326077, 59.5434779), (36.32597, 59.5434495), (36.3198422, 59.541824), (36.3183929, 59.5414781), (36.3261639, 59.543501), (36.3254486, 59.5480326), (36.325304, 59.5504701), (36.3261639, 59.543501)]"
منطقه ۱۱,4,1,685,1163,1,68,11,181,50,100.0,"[(36.3183929, 59.5414781), (36.3261639, 59.543501), (36.326077, 59.5434779), (36.32597, 59.5434495), (36.3198422, 59.541824), (36.3183929, 59.5414781), (36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3450991, 59.5366175), (36.3451315, 59.5462898), (36.3452517, 59.5480044), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3450844, 59.5347624), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3451788, 59.5152022), (36.3451174, 59.5229737), (36.3451026, 59.531234), (36.3451709, 59.5171366), (36.3451788, 59.5152022), (36.3453784, 59.5026735), (36.3452006, 59.5087562), (36.3451828, 59.5141432), (36.3453784, 59.5026735), (36.3466136, 59.4879713), (36.3456257, 59.4986637), (36.3454167, 59.5010733), (36.3463877, 59.4924016), (36.3466136, 59.4879713), (36.3466893, 59.476801), (36.3466136, 59.4879713), (36.3466668, 59.4834177), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.348718, 59.4684415), (36.3478828, 59.4694029), (36.347164, 59.470692), (36.346727, 59.4726217), (36.3466902, 59.4742376), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.3415513, 59.4605236), (36.3405088, 59.4605894), (36.340156, 59.460644), (36.3510607, 59.4658001), (36.350458, 59.4652103), (36.3483159, 59.4638136), (36.3464888, 59.4627841), (36.3423793, 59.4607511), (36.3415513, 59.4605236), (36.319233, 59.5276973), (36.315082, 59.540596), (36.315455, 59.5398959), (36.319233, 59.5276973), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3177391, 59.5412765), (36.3154192, 59.5406726), (36.315082, 59.540596)]"
منطقه ۵,8,0,198,1432,3,10,4,92,9,88.89,"[(36.2891431, 59.630525), (36.2924812, 59.6310097), (36.2918053, 59.6309105), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2866933, 59.6297017), (36.2868402, 59.6298749), (36.2872324, 59.6301699), (36.2876325, 59.6303236), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2815723, 59.6241526), (36.2864575, 59.6293681), (36.2854104, 59.6276522), (36.2848448, 59.6269173), (36.2843413, 59.6264097), (36.2830539, 59.6252507), (36.2815723, 59.6241526), (36.2815723, 59.6241526), (36.2812767, 59.6248211), (36.27692, 59.6407552), (36.279049, 59.6347421), (36.2815723, 59.6241526), (36.27692, 59.6407552), (36.2767341, 59.6411034), (36.2764914, 59.6416641), (36.2702972, 59.6571442), (36.27692, 59.6407552), (36.2750014, 59.6841268), (36.2738344, 59.6858883), (36.2732019, 59.6869196), (36.2715782, 59.6896166), (36.2704218, 59.6915732), (36.2750014, 59.6841268), (36.28033, 59.68297), (36.2703952, 59.6920176), (36.2722124, 59.705013), (36.2847581, 59.7049426), (36.28033, 59.68297), (36.2863088, 59.6858272), (36.311902, 59.7040813), (36.2945128, 59.6897506), (36.2863088, 59.6858272), (36.3058221, 59.6813835), (36.3061331, 59.6824978), (36.3080511, 59.6893406), (36.3064869, 59.6837147), (36.3058221, 59.6813835), (36.3024213, 59.6727193), (36.3046786, 59.6789859), (36.3058221, 59.6813835), (36.3027909, 59.673502), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2971069, 59.6626228), (36.2971032, 59.6628756), (36.2972371, 59.6632986), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2880812, 59.6590606), (36.2916513, 59.660165), (36.2939896, 59.6608522), (36.2880812, 59.6590606), (36.293476, 59.6458698), (36.2915236, 59.6477341), (36.2910321, 59.6483637), (36.2908283, 59.6487086), (36.2900147, 59.6502771), (36.2894731, 59.6524839), (36.2880812, 59.6590606), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2910335, 59.6417537), (36.2915748, 59.6428395), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.290371, 59.6391142), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2898251, 59.6335471), (36.2893688, 59.6343697), (36.2892256, 59.6348052), (36.2894972, 59.6358306), (36.2924812, 59.6310097)]"
منطقه ۶,21,0,202,1415,3,8,5,154,5,88.89,"[(36.2513942, 59.7047338), (36.2446702, 59.7212537), (36.2518874, 59.7237396), (36.2561787, 59.7178172), (36.2564209, 59.712882), (36.2513942, 59.7047338), (36.2503147, 59.704017), (36.2395952, 59.7080227), (36.2379737, 59.7121524), (36.2381208, 59.716042), (36.2410543, 59.719448), (36.2446702, 59.7212537), (36.2503147, 59.704017), (36.2440711, 59.6672216), (36.2462372, 59.682003), (36.2545277, 59.6926138), (36.2496534, 59.6767344), (36.2440711, 59.6672216), (36.2572374, 59.6245872), (36.2447073, 59.6523664), (36.2472589, 59.6579812), (36.2579202, 59.6427186), (36.2584047, 59.6417101), (36.2580623, 59.6260974), (36.2572374, 59.6245872), (36.2580623, 59.6260974), (36.2594811, 59.6275243), (36.2641699, 59.6314564), (36.260662, 59.6283504), (36.2580623, 59.6260974), (36.2708723, 59.6258223), (36.2651845, 59.6296753), (36.2641699, 59.6314564), (36.2668236, 59.6311521), (36.2692591, 59.628483), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2760721, 59.6175185), (36.2739972, 59.6191335), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2765014, 59.6173075), (36.2766674, 59.6183165), (36.2767591, 59.618582), (36.2775513, 59.6200627), (36.2777471, 59.6203358), (36.2812779, 59.6238701), (36.2765014, 59.6173075), (36.2815723, 59.6241526), (36.2812767, 59.6248211), (36.27692, 59.6407552), (36.279049, 59.6347421), (36.2815723, 59.6241526), (36.27692, 59.6407552), (36.2767341, 59.6411034), (36.2764914, 59.6416641), (36.2702972, 59.6571442), (36.27692, 59.6407552), (36.2750014, 59.6841268), (36.2738344, 59.6858883), (36.2732019, 59.6869196), (36.2715782, 59.6896166), (36.2704218, 59.6915732), (36.2750014, 59.6841268), (36.2569999, 59.6903398), (36.2669475, 59.6989516), (36.2703044, 59.6917953), (36.2701178, 59.6917213), (36.2569999, 59.6903398)]"
منطقه ثامن,15,0,190,282,4,14,1,101,6,88.89,"[(36.2891431, 59.630525), (36.2924812, 59.6310097), (36.2918053, 59.6309105), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2866933, 59.6297017), (36.2868402, 59.6298749), (36.2872324, 59.6301699), (36.2876325, 59.6303236), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2815723, 59.6241526), (36.2864575, 59.6293681), (36.2854104, 59.6276522), (36.2848448, 59.6269173), (36.2843413, 59.6264097), (36.2830539, 59.6252507), (36.2815723, 59.6241526), (36.2765014, 59.6173075), (36.2766674, 59.6183165), (36.2767591, 59.618582), (36.2775513, 59.6200627), (36.2777471, 59.6203358), (36.2812779, 59.6238701), (36.2765014, 59.6173075), (36.2838522, 59.6122353), (36.2765014, 59.6173075), (36.2774738, 59.6175466), (36.2776728, 59.6174165), (36.2778031, 59.6173309), (36.2779404, 59.6172366), (36.2781143, 59.6171099), (36.2784678, 59.6168199), (36.2828385, 59.6132179), (36.2838522, 59.6122353), (36.2909554, 59.6063187), (36.2838522, 59.6122353), (36.2881847, 59.6086612), (36.2909554, 59.6063187), (36.2909554, 59.6063187), (36.2939669, 59.6102006), (36.2921808, 59.607842), (36.2911992, 59.606547), (36.2909554, 59.6063187), (36.2939669, 59.6102006), (36.2955886, 59.6123862), (36.2997119, 59.6178421), (36.2990367, 59.6169187), (36.2939669, 59.6102006), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2967156, 59.627901), (36.2971298, 59.6276637), (36.2980847, 59.6269616), (36.3020813, 59.6232616), (36.3025406, 59.6228012), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2956341, 59.6283694), (36.2947008, 59.6288994), (36.2939399, 59.6295914), (36.2924812, 59.6310097), (36.2959034, 59.6282883)]"
منطقه ۳,23,0,462,2959,7,39,11,472,23,88.89,"[(36.3362895, 59.6062435), (36.3648893, 59.6225393), (36.3590943, 59.614411), (36.3362895, 59.6062435), (36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243), (36.3031026, 59.609197), (36.3032125, 59.6093045), (36.3074113, 59.6118982), (36.3115763, 59.6144362), (36.3031026, 59.609197), (36.2939669, 59.6102006), (36.2955886, 59.6123862), (36.2997119, 59.6178421), (36.2990367, 59.6169187), (36.2939669, 59.6102006), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2967156, 59.627901), (36.2971298, 59.6276637), (36.2980847, 59.6269616), (36.3020813, 59.6232616), (36.3025406, 59.6228012), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2963061, 59.6290589), (36.2991494, 59.633549), (36.2959034, 59.6282883), (36.3000303, 59.6349233), (36.3018205, 59.6378606), (36.3017298, 59.6377099), (36.3000303, 59.6349233), (36.320111, 59.6673381), (36.3288348, 59.6813656), (36.3321467, 59.6839915), (36.320111, 59.6673381), (36.4038415, 59.67683), (36.3932195, 59.6803034), (36.4012231, 59.6832021), (36.4023947, 59.6829713), (36.4066841, 59.6768525), (36.4038415, 59.67683), (36.3828157, 59.6746449), (36.3823542, 59.6748322), (36.384213, 59.6787038), (36.3851879, 59.6795076), (36.3864784, 59.6800685), (36.387463, 59.6804143), (36.3896021, 59.6804836), (36.3925902, 59.6803562), (36.3932195, 59.6803034), (36.3837458, 59.6748757), (36.3828157, 59.6746449), (36.3792118, 59.6631562), (36.3762525, 59.6639177), (36.3703287, 59.6717049), (36.3696854, 59.674509), (36.369935, 59.6767229), (36.3736453, 59.6787669), (36.3776107, 59.6791934), (36.3784664, 59.6791472), (36.379936, 59.6782239), (36.3823542, 59.6748322), (36.3826522, 59.669795), (36.3800861, 59.6631562), (36.3792118, 59.6631562), (36.3928957, 59.6668333), (36.3826522, 59.669795), (36.384936, 59.6703634), (36.3963997, 59.6695592), (36.3939698, 59.667041), (36.3928957, 59.6668333), (36.430812, 59.661154), (36.4267941, 59.6617538), (36.4085655, 59.6658429), (36.4051378, 59.6667414), (36.3963997, 59.6695592), (36.4066841, 59.6768525), (36.4076138, 59.6771756), (36.4087296, 59.6773141), (36.410087, 59.677268), (36.4269311, 59.6722575), (36.4315822, 59.6622369), (36.430812, 59.661154)]"
منطقه ۸,23,3,185,1050,9,98,20,393,52,100.0,"[(36.2864007, 59.5570641), (36.2834663, 59.5597406), (36.2833058, 59.5635863), (36.2910495, 59.5859518), (36.2864007, 59.5570641), (36.2777989, 59.5548083), (36.2773747, 59.5548136), (36.2766051, 59.5549093), (36.2851098, 59.5564823), (36.2859054, 59.5563767), (36.2777989, 59.5548083), (36.2727759, 59.5384071), (36.2766051, 59.5549093), (36.2765914, 59.5528118), (36.2765714, 59.5523316), (36.2764411, 59.551192), (36.2762649, 59.5501497), (36.2759254, 59.5483607), (36.2755653, 59.5468667), (36.2752313, 59.5457683), (36.2740463, 59.5421943), (36.2727759, 59.5384071), (36.2677017, 59.5274363), (36.2727759, 59.5384071), (36.2716114, 59.5336385), (36.2708077, 59.5312048), (36.2698453, 59.5293107), (36.269418, 59.5286913), (36.2688756, 59.5282345), (36.2677017, 59.5274363), (36.2677017, 59.5274363), (36.2611751, 59.5396146), (36.25936, 59.5436814), (36.2586502, 59.546186), (36.2570924, 59.5542039), (36.2526622, 59.5816067), (36.2535433, 59.580108), (36.2545074, 59.5784046), (36.2677017, 59.5274363), (36.2526622, 59.5816067), (36.2521036, 59.59023), (36.2527785, 59.5908952), (36.2571497, 59.590989), (36.2526622, 59.5816067), (36.2571497, 59.590989), (36.2558809, 59.5988444), (36.2566112, 59.5965064), (36.256901, 59.5944384), (36.2571497, 59.590989), (36.2617398, 59.5932717), (36.2594751, 59.5940883), (36.2558809, 59.5988444), (36.2563647, 59.5989006), (36.2572833, 59.5981336), (36.2617398, 59.5932717), (36.2909554, 59.6063187), (36.2838522, 59.6122353), (36.2881847, 59.6086612), (36.2909554, 59.6063187), (36.2909554, 59.6063187), (36.2939669, 59.6102006), (36.2921808, 59.607842), (36.2911992, 59.606547), (36.2909554, 59.6063187)]"
منطقه ۱۰,15,4,1094,2232,3,33,8,356,36,100.0,"[(36.3948069, 59.4980271), (36.3835242, 59.5199128), (36.3842327, 59.5197642), (36.3864355, 59.5174974), (36.3872837, 59.5164697), (36.3879012, 59.5151815), (36.3886988, 59.5132991), (36.3907026, 59.5084445), (36.3941515, 59.4998128), (36.3948069, 59.4980271), (36.380253, 59.5148767), (36.3827071, 59.5190836), (36.3835242, 59.5199128), (36.380253, 59.5148767), (36.3741481, 59.5042625), (36.380253, 59.5148767), (36.3783402, 59.5097732), (36.3779322, 59.5087333), (36.3766176, 59.506815), (36.3759099, 59.5059486), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3722688, 59.5018752), (36.3733659, 59.503398), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3675501, 59.4950656), (36.3688072, 59.4969599), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.362208, 59.4857312), (36.3628775, 59.4872577), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3579766, 59.476928), (36.3590443, 59.478748), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3510607, 59.4658001), (36.3562949, 59.4732138), (36.3556127, 59.4719881), (36.3544654, 59.4701806), (36.3520511, 59.4668873), (36.3510607, 59.4658001), (36.3510607, 59.4658001), (36.348718, 59.4684415), (36.3478828, 59.4694029), (36.347164, 59.470692), (36.346727, 59.4726217), (36.3466902, 59.4742376), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.3466893, 59.476801), (36.3466136, 59.4879713), (36.3466668, 59.4834177), (36.3466893, 59.476801), (36.3466136, 59.4879713), (36.3456257, 59.4986637), (36.3454167, 59.5010733), (36.3463877, 59.4924016), (36.3466136, 59.4879713), (36.3453784, 59.5026735), (36.3452006, 59.5087562), (36.3451828, 59.5141432), (36.3453784, 59.5026735), (36.3451788, 59.5152022), (36.3451174, 59.5229737), (36.3451026, 59.531234), (36.3451709, 59.5171366), (36.3451788, 59.5152022), (36.3450916, 59.5331941), (36.3450844, 59.5347624), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3450991, 59.5366175), (36.3451315, 59.5462898), (36.3452517, 59.5480044), (36.3450991, 59.5366175), (36.3452517, 59.5480044), (36.3477968, 59.5493289), (36.3575564, 59.5517976), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.360528, 59.5515458), (36.3620914, 59.5510623), (36.3624947, 59.5507462), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3662367, 59.5471211), (36.3656749, 59.5474742), (36.365188, 59.5478831), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3762947, 59.5418047), (36.3737483, 59.5429379), (36.3705057, 59.5448811), (36.3748853, 59.5427053), (36.3760334, 59.5420104), (36.3762947, 59.5418047), (36.3833005, 59.5295282), (36.3825443, 59.5308247), (36.3762947, 59.5418047), (36.3765589, 59.5415574), (36.3769729, 59.5409114), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3847816, 59.5271368), (36.3839435, 59.5283863), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3869328, 59.5245251), (36.3878799, 59.5234457), (36.3997806, 59.5101929), (36.3958944, 59.5144219), (36.3930916, 59.51755), (36.3878799, 59.5234457), (36.3904389, 59.5206637), (36.3997806, 59.5101929), (36.3948069, 59.4980271), (36.3974423, 59.5062613), (36.3987181, 59.5086824), (36.3997806, 59.5101929), (36.3965213, 59.5003404), (36.3948069, 59.4980271)]"
منطقه ۹,149,0,1295,2606,8,62,38,876,50,88.89,"[(36.2777989, 59.5548083), (36.2773747, 59.5548136), (36.2766051, 59.5549093), (36.2851098, 59.5564823), (36.2859054, 59.5563767), (36.2777989, 59.5548083), (36.2727759, 59.5384071), (36.2766051, 59.5549093), (36.2765914, 59.5528118), (36.2765714, 59.5523316), (36.2764411, 59.551192), (36.2762649, 59.5501497), (36.2759254, 59.5483607), (36.2755653, 59.5468667), (36.2752313, 59.5457683), (36.2740463, 59.5421943), (36.2727759, 59.5384071), (36.2677017, 59.5274363), (36.2727759, 59.5384071), (36.2716114, 59.5336385), (36.2708077, 59.5312048), (36.2698453, 59.5293107), (36.269418, 59.5286913), (36.2688756, 59.5282345), (36.2677017, 59.5274363), (36.2778697, 59.5016722), (36.2768062, 59.5036119), (36.2748084, 59.5072916), (36.2677017, 59.5274363), (36.2696379, 59.5244638), (36.2704337, 59.5228751), (36.2717199, 59.5202492), (36.2724763, 59.5185895), (36.2778697, 59.5016722), (36.2832081, 59.4943888), (36.2815187, 59.4966298), (36.2778697, 59.5016722), (36.2797388, 59.4992125), (36.2832081, 59.4943888), (36.2865753, 59.4869501), (36.2832081, 59.4943888), (36.2845131, 59.492149), (36.2865753, 59.4869501), (36.2920832, 59.471573), (36.2911807, 59.4739525), (36.2865753, 59.4869501), (36.2891362, 59.4818708), (36.2906006, 59.4768316), (36.2920832, 59.471573), (36.3064071, 59.4646318), (36.3005711, 59.4653322), (36.2987492, 59.4658121), (36.2970891, 59.466332), (36.2951224, 59.4677318), (36.2934305, 59.4692116), (36.2920832, 59.471573), (36.3082125, 59.4650515), (36.3064071, 59.4646318), (36.3264392, 59.4575936), (36.3243616, 59.4578141), (36.3225556, 59.4584339), (36.3082125, 59.4650515), (36.3196546, 59.4633925), (36.3264392, 59.4575936), (36.3296378, 59.4361146), (36.3285865, 59.4374288), (36.3264392, 59.4575936), (36.331633, 59.4401276), (36.3316016, 59.4390682), (36.3307793, 59.436769), (36.3296378, 59.4361146), (36.337628, 59.4397469), (36.331633, 59.4401276), (36.3333421, 59.4429266), (36.347341, 59.4424436), (36.3473063, 59.4422488), (36.3472392, 59.442069), (36.3471293, 59.4419314), (36.3463165, 59.4414609), (36.3454049, 59.4409717), (36.3445844, 59.4405635), (36.337628, 59.4397469), (36.347341, 59.4424436), (36.3446734, 59.4467617), (36.3432454, 59.4508815), (36.3430307, 59.4515365), (36.3424788, 59.4532661), (36.340156, 59.460644), (36.346666, 59.4444901), (36.3469982, 59.4434856), (36.347341, 59.4424436), (36.319233, 59.5276973), (36.315082, 59.540596), (36.315455, 59.5398959), (36.319233, 59.5276973), (36.315082, 59.540596), (36.3073821, 59.5523129), (36.3150536, 59.540658), (36.315082, 59.540596), (36.2864007, 59.5570641), (36.300124, 59.5632375), (36.2872233, 59.5571248), (36.2864007, 59.5570641)]"
منطقه ۷,57,0,619,1432,7,14,1,427,8,88.89,"[(36.2526622, 59.5816067), (36.2459691, 59.5853269), (36.2482274, 59.5852411), (36.2526622, 59.5816067), (36.2386731, 59.5841514), (36.2375106, 59.5878412), (36.2459691, 59.5853269), (36.2437602, 59.5847953), (36.2409058, 59.5843284), (36.2386731, 59.5841514), (36.2375106, 59.5878412), (36.2303236, 59.5918267), (36.237178, 59.5906089), (36.2375106, 59.5878412), (36.2303236, 59.5918267), (36.2273935, 59.5921995), (36.2218063, 59.5938282), (36.2203286, 59.5944042), (36.2113044, 59.5994713), (36.2303236, 59.5918267), (36.1988196, 59.6041747), (36.1968204, 59.6049226), (36.1883457, 59.6086775), (36.1845764, 59.6206927), (36.1946401, 59.6459328), (36.199023, 59.6460763), (36.1988196, 59.6041747), (36.199023, 59.6460763), (36.1990377, 59.6466781), (36.1991814, 59.6523413), (36.1997092, 59.6588985), (36.2006325, 59.6631038), (36.199023, 59.6460763), (36.2006325, 59.6631038), (36.200244, 59.6683647), (36.2007999, 59.6638662), (36.2006325, 59.6631038), (36.200244, 59.6683647), (36.1998309, 59.6718528), (36.2007943, 59.6764577), (36.2049335, 59.6840086), (36.2111911, 59.691778), (36.2129229, 59.6932281), (36.2266951, 59.6817309), (36.200244, 59.6683647), (36.2572374, 59.6245872), (36.2447073, 59.6523664), (36.2472589, 59.6579812), (36.2579202, 59.6427186), (36.2584047, 59.6417101), (36.2580623, 59.6260974), (36.2572374, 59.6245872), (36.2580623, 59.6260974), (36.2594811, 59.6275243), (36.2641699, 59.6314564), (36.260662, 59.6283504), (36.2580623, 59.6260974), (36.2708723, 59.6258223), (36.2651845, 59.6296753), (36.2641699, 59.6314564), (36.2668236, 59.6311521), (36.2692591, 59.628483), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2760721, 59.6175185), (36.2739972, 59.6191335), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2838522, 59.6122353), (36.2765014, 59.6173075), (36.2774738, 59.6175466), (36.2776728, 59.6174165), (36.2778031, 59.6173309), (36.2779404, 59.6172366), (36.2781143, 59.6171099), (36.2784678, 59.6168199), (36.2828385, 59.6132179), (36.2838522, 59.6122353), (36.2617398, 59.5932717), (36.2594751, 59.5940883), (36.2558809, 59.5988444), (36.2563647, 59.5989006), (36.2572833, 59.5981336), (36.2617398, 59.5932717), (36.2571497, 59.590989), (36.2558809, 59.5988444), (36.2566112, 59.5965064), (36.256901, 59.5944384), (36.2571497, 59.590989), (36.2526622, 59.5816067), (36.2521036, 59.59023), (36.2527785, 59.5908952), (36.2571497, 59.590989), (36.2526622, 59.5816067)]"
