,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱,83,8,708,2982,10,164,73,657,195,100.0,"{'minlat': 36.2833058, 'minlon': 59.540596, 'maxlat': 36.3261639, 'maxlon': 59.6059469}"
منطقه ۱۱,14,1,1357,2553,5,102,32,523,86,100.0,"{'minlat': 36.315082, 'minlon': 59.4605236, 'maxlat': 36.3510607, 'maxlon': 59.5480593}"
منطقه ۵,23,0,489,3291,7,50,18,273,30,88.89,"{'minlat': 36.2691398, 'minlon': 59.6241526, 'maxlat': 36.315177, 'maxlon': 59.7065735}"
منطقه ۶,29,0,332,2430,7,18,6,306,14,88.89,"{'minlat': 36.2379737, 'minlon': 59.6173075, 'maxlat': 36.28274, 'maxlon': 59.7237396}"
منطقه ثامن,22,0,294,792,8,43,13,342,23,88.89,"{'minlat': 36.2765014, 'minlon': 59.6063187, 'maxlat': 36.3029718, 'maxlon': 59.6310097}"
منطقه ۳,61,0,735,5547,10,73,21,783,46,88.89,"{'minlat': 36.2939669, 'minlon': 59.6059469, 'maxlat': 36.4315822, 'maxlon': 59.6839915}"
منطقه ۸,57,5,772,2149,16,196,63,874,158,100.0,"{'minlat': 36.2521036, 'minlon': 59.5274363, 'maxlat': 36.2979703, 'maxlon': 59.6122353}"
منطقه ۱۰,24,4,1599,3716,6,43,11,552,47,100.0,"{'minlat': 36.3450844, 'minlon': 59.4658001, 'maxlat': 36.3997806, 'maxlon': 59.5519828}"
منطقه ۹,204,3,2537,4903,15,152,66,1273,127,100.0,"{'minlat': 36.2677017, 'minlon': 59.4361146, 'maxlat': 36.347341, 'maxlon': 59.5632375}"
منطقه ۷,120,1,980,4202,20,104,19,915,52,100.0,"{'minlat': 36.1845764, 'minlon': 59.5816067, 'maxlat': 36.2838522, 'maxlon': 59.6932281}"
منطقه ۱۲,123,4,2072,6012,5,52,15,848,50,100.0,"{'minlat': 36.340156, 'minlon': 59.4201994, 'maxlat': 36.4989467, 'maxlon': 59.5465819}"
منطقه ۴,23,0,486,2898,8,40,13,263,30,88.89,"{'minlat': 36.2880812, 'minlon': 59.6282883, 'maxlat': 36.3321467, 'maxlon': 59.7065735}"
منطقه ۲,179,8,2415,8308,14,188,63,1508,156,100.0,"{'minlat': 36.2979703, 'minlon': 59.5101929, 'maxlat': 36.4022119, 'maxlon': 59.6240169}"
ناحیه۱ منطقه ۱,52,5,567,1766,6,103,59,378,150,100.0,"{'minlat': 36.2833058, 'minlon': 59.540596, 'maxlat': 36.3261639, 'maxlon': 59.5859518}"
